"","metodologia","mse","accuracy","n","seed"
"108","Lasso mod 50",50.8833342436532,0.6,1533,11
"109","Naive",53.6690163534938,0.4,200,11
"110","Oracle",48.2634780357089,1,497,11
"111","Lasso",61.4563880964827,0.64,408,12
"112","Ada Lasso",58.3738591447252,0.7,836,12
"113","Local prior",62.3923473164539,0.66,1415,12
"114","Non local",62.3923473164539,0.66,1415,12
"115","Lasso mod 10000",63.2147705258318,0.58,328,12
"116","Lasso mod 200",63.2675499670049,0.62,375,12
"117","Lasso mod 100",62.9657263636849,0.6,317,12
"118","Lasso mod 50",58.8760840329653,0.66,876,12
"119","Naive",67.4295113867968,0.4,200,12
"120","Oracle",58.5443090456999,1,497,12
"121","Lasso",36.8841738071376,0.62,375,13
"122","Ada Lasso",36.3862402266051,0.7,1150,13
"123","Local prior",37.2673158146616,0.68,1314,13
"124","Non local",37.9034934932096,0.7,1533,13
"125","Lasso mod 10000",37.2687917759244,0.6,408,13
"126","Lasso mod 200",35.5473573904814,0.7,766,13
"127","Lasso mod 100",36.4818115100735,0.68,1150,13
"128","Lasso mod 50",36.4818115100735,0.68,1150,13
"129","Naive",39.859233516527,0.4,200,13
"130","Oracle",35.0262906497838,1,497,13
"131","Lasso",61.8356075528523,0.7,766,14
"132","Ada Lasso",61.8356075528523,0.7,766,14
"133","Local prior",65.5602454320134,0.64,2628,14
"134","Non local",67.970853495074,0.64,9200,14
"135","Lasso mod 10000",66.2900962257004,0.74,2300,14
"136","Lasso mod 200",66.2416809013243,0.7,3680,14
"137","Lasso mod 100",66.2416809013243,0.7,3680,14
"138","Lasso mod 50",66.2416809013243,0.7,3680,14
"139","Naive",64.4366306738175,0.4,200,14
"140","Oracle",59.7611835202646,1,541,14
"141","Lasso",77.4005250248444,0.68,766,15
"142","Ada Lasso",77.1843885361174,0.66,876,15
"143","Local prior",88.8662933180255,0.64,2044,15
"144","Non local",84.4016767327463,0.66,1672,15
"145","Lasso mod 10000",77.017886133982,0.66,613,15
"146","Lasso mod 200",77.017886133982,0.66,613,15
"147","Lasso mod 100",79.1071030148617,0.62,3680,15
"148","Lasso mod 50",78.9424322331161,0.64,1840,15
"149","Naive",81.1734404627037,0.4,200,15
"150","Oracle",71.8716900414096,1,541,15
"151","Lasso",28.6269506012366,0.66,766,16
"152","Ada Lasso",29.2739974214319,0.7,1150,16
"153","Local prior",32.2123804357247,0.66,4600,16
"154","Non local",31.2517853924809,0.64,6133,16
"155","Lasso mod 10000",28.3564395526181,0.72,1022,16
"156","Lasso mod 200",28.3564395526181,0.72,1022,16
"157","Lasso mod 100",28.3564395526181,0.72,1022,16
"158","Lasso mod 50",28.3564395526181,0.72,1022,16
"159","Naive",30.0055081527783,0.4,200,16
"160","Oracle",26.3370598556226,1,525,16
"161","Lasso",86.1591499440843,0.54,383,17
"162","Ada Lasso",80.7958186592264,0.58,634,17
"163","Local prior",97.6403721553998,0.6,1840,17
"164","Non local",98.6879447878793,0.62,9200,17
"165","Lasso mod 10000",82.0140306414368,0.66,613,17
"166","Lasso mod 200",81.4898051595374,0.7,681,17
"167","Lasso mod 100",98.6772860689731,0.58,6133,17
"168","Lasso mod 50",98.4183558605132,0.56,9200,17
"169","Naive",90.6126628431226,0.4,200,17
"170","Oracle",78.7971365963502,1,484,17
"171","Lasso",55.1826740795339,0.68,920,18
"172","Ada Lasso",55.8397066595147,0.68,1226,18
"173","Local prior",58.7500886409228,0.68,2300,18
"174","Non local",59.9421180323865,0.66,2628,18
"175","Lasso mod 10000",53.3063953340618,0.64,408,18
"176","Lasso mod 200",53.7691520043726,0.68,1082,18
"177","Lasso mod 100",53.7691520043726,0.68,1082,18
"178","Lasso mod 50",60.9717839548267,0.6,2628,18
"179","Naive",56.197754660598,0.4,200,18
"180","Oracle",51.563349755684,1,593,18
"181","Lasso",42.1033635180917,0.58,497,19
"182","Ada Lasso",45.2719260344193,0.64,4600,19
"183","Local prior",43.2542567397397,0.62,1840,19
"184","Non local",46.0781818999317,0.62,9200,19
"185","Lasso mod 10000",42.3487501452173,0.4,317,19
"186","Lasso mod 200",44.0582127184438,0.6,1840,19
"187","Lasso mod 100",44.0582127184438,0.6,1840,19
"188","Lasso mod 50",44.694050060355,0.62,2628,19
"189","Naive",42.8362467448022,0.4,200,19
"190","Oracle",40.2635110054717,1,497,19
"191","Lasso",57.8126562895439,0.64,484,20
"192","Ada Lasso",57.6143907848906,0.7,707,20
"193","Local prior",59.6917861644103,0.72,1150,20
"194","Non local",64.2469452356813,0.64,2300,20
"195","Lasso mod 10000",58.1674859752559,0.6,471,20
"196","Lasso mod 200",58.3084451117738,0.6,525,20
"197","Lasso mod 100",58.2251584618464,0.66,634,20
"198","Lasso mod 50",57.9416789079931,0.68,657,20
"199","Naive",63.8806296009878,0.4,200,20
"200","Oracle",58.1632036923669,1,471,20
"201","Lasso",33.2294965880007,0.7,418,21
"202","Ada Lasso",35.1260356974517,0.66,1150,21
"203","Local prior",36.1754559587443,0.68,1314,21
"204","Non local",35.607921335935,0.68,2044,21
"205","Lasso mod 10000",33.3820396432941,0.66,511,21
"206","Lasso mod 200",33.346295151995,0.68,471,21
"207","Lasso mod 100",33.4528901339283,0.72,707,21
"208","Lasso mod 50",34.184060928869,0.64,1226,21
"209","Naive",35.1101398906678,0.4,200,21
"210","Oracle",32.1089239458788,1,511,21
"211","Lasso",60.8508155897456,0.58,460,22
"212","Ada Lasso",60.1887219871963,0.6,575,22
"213","Local prior",65.2496048382613,0.68,2628,22
"214","Non local",68.1486184497574,0.64,6133,22
"215","Lasso mod 10000",63.121679264497,0.62,400,22
"216","Lasso mod 200",63.1612191493105,0.68,2044,22
"217","Lasso mod 100",63.1612191493105,0.68,2044,22
"218","Lasso mod 50",68.1486184497574,0.64,6133,22
