"","metodologia","mse","accuracy","n","seed"
"1","Lasso",2.31203767257176,0.66,270,1
"2","Ada Lasso",2.23515982755873,0.82,408,1
"3","Local prior",2.23975290473663,0.86,525,1
"4","Non local",2.37229105957226,0.88,613,1
"5","Ada mod",2.31203767257176,0.66,270,1
"6","Lasso mod",2.38596432503512,0.6,262,1
"7","Naive",2.42068889108688,0.4,200,1
"8","Oracle",2.22963137592012,1,471,1
"9","Lasso",2.22861894367798,0.74,360,2
"10","Ada Lasso",2.1957110632252,0.78,484,2
"11","Local prior",2.17148083964304,0.9,736,2
"12","Non local",3.06090125329908,0.76,968,2
"13","Ada mod",2.23848937710084,0.72,353,2
"14","Lasso mod",2.18766815375006,0.76,375,2
"15","Naive",2.39084772615334,0.4,200,2
"16","Oracle",2.13597546608369,1,557,2
"17","Lasso",3.31079419660645,0.5,245,3
"18","Ada Lasso",3.27181049202854,0.88,634,3
"19","Local prior",3.38094096366829,0.88,736,3
"20","Non local",3.48610557730932,0.84,736,3
"21","Ada mod",5.45976120588874,0.38,328,3
"22","Lasso mod",3.43945503753961,0.5,248,3
"23","Naive",3.37222915053687,0.4,200,3
"24","Oracle",3.12238765660909,1,525,3
"25","Lasso",2.70623665391178,0.64,278,4
"26","Ada Lasso",2.59308869705104,0.9,427,4
"27","Local prior",2.77540189291466,0.86,613,4
"28","Non local",2.77540189291466,0.86,613,4
"29","Ada mod",22.6357402933257,0.58,18400,4
"30","Lasso mod",2.62133890713118,0.76,418,4
"31","Naive",2.80117629863606,0.4,200,4
"32","Oracle",2.52821797870937,1,471,4
"33","Lasso",0.833641368381859,0.54,255,5
"34","Ada Lasso",0.791833280128266,0.84,438,5
"35","Local prior",0.78908480013407,0.92,575,5
"36","Non local",0.789458632405261,0.88,511,5
"37","Ada mod",0.860521823076572,0.48,227,5
"38","Lasso mod",0.831025615862676,0.58,274,5
"39","Naive",0.865305535751061,0.4,200,5
"40","Oracle",0.755355665598309,1,511,5
"41","Lasso",2.49902521275649,0.72,334,6
"42","Ada Lasso",2.48523329070179,0.8,593,6
"43","Local prior",2.47799133794662,0.86,736,6
"44","Non local",2.49322801866244,0.84,800,6
"45","Ada mod",2.49596525622227,0.7,328,6
"46","Lasso mod",2.51604012160057,0.68,383,6
"47","Naive",2.60253753658611,0.4,200,6
"48","Oracle",2.43191054478419,1,541,6
"49","Lasso",2.10577449297698,0.72,438,7
"50","Ada Lasso",2.15349586179311,0.86,836,7
"51","Local prior",2.15349586179311,0.86,836,7
"52","Non local",2.16279138037089,0.84,968,7
"53","Ada mod",2.10661076759222,0.72,391,7
"54","Lasso mod",2.14003989779553,0.74,525,7
"55","Naive",2.19593733274167,0.4,200,7
"56","Oracle",2.06335125771676,1,525,7
"57","Lasso",2.24350666555582,0.7,301,8
"58","Ada Lasso",2.14948661603776,0.88,418,8
"59","Local prior",2.25994630665023,0.92,613,8
"60","Non local",3.34053932231467,0.8,1314,8
"61","Ada mod",2.24641599923514,0.72,311,8
"62","Lasso mod",2.28778364053055,0.66,306,8
"63","Naive",2.37501510985212,0.4,200,8
"64","Oracle",2.1298793082546,1,575,8
"65","Lasso",1.90227368583672,0.62,278,9
"66","Ada Lasso",1.90482521218279,0.78,391,9
"67","Local prior",1.89800555814843,0.9,484,9
"68","Non local",1.89685470642929,0.84,438,9
"69","Ada mod",2.00354412736436,0.58,287,9
"70","Lasso mod",1.92899331442983,0.54,266,9
"71","Naive",1.92601229813778,0.4,200,9
"72","Oracle",1.82559979447821,1,448,9
"73","Lasso",1.90135715008413,0.72,311,10
"74","Ada Lasso",1.87099974185571,0.98,484,10
"75","Local prior",1.99881258520947,0.94,613,10
"76","Non local",3.16790155270026,0.82,707,10
"77","Ada mod",1.90178507127942,0.78,340,10
"78","Lasso mod",1.91285396032611,0.72,317,10
"79","Naive",1.95180415095199,0.4,200,10
"80","Oracle",1.87219557681233,1,511,10
"81","Lasso",2.12737601602035,0.7,347,11
"82","Ada Lasso",2.13901420046851,0.9,557,11
"83","Local prior",2.37810234338211,0.88,657,11
"84","Non local",2.37810234338211,0.88,657,11
"85","Ada mod",2.12737601602035,0.7,347,11
"86","Lasso mod",2.10087959094678,0.7,368,11
"87","Naive",2.23380329922433,0.4,200,11
"88","Oracle",2.02879648897484,1,497,11
"89","Lasso",2.87843763798569,0.64,270,12
"90","Ada Lasso",2.71712751216558,0.86,391,12
"91","Local prior",2.9132062123439,0.84,681,12
"92","Non local",3.2243129260254,0.82,800,12
"93","Ada mod",2.89870168275236,0.68,296,12
"94","Lasso mod",2.87661267880026,0.62,274,12
"95","Naive",2.95147925764108,0.4,200,12
"96","Oracle",2.60278629652111,1,497,12
"97","Lasso",1.61519554378439,0.66,375,13
"98","Ada Lasso",1.58471965549395,0.86,593,13
"99","Local prior",1.58647458747701,0.82,766,13
"100","Non local",1.84449001992288,0.78,968,13
"101","Ada mod",1.61649736843148,0.68,383,13
"102","Lasso mod",1.63061089388672,0.6,296,13
"103","Naive",1.72962368476023,0.4,200,13
"104","Oracle",1.53563383254761,1,497,13
"105","Lasso",2.63920015931885,0.76,353,14
"106","Ada Lasso",2.66493749341493,0.8,471,14
"107","Local prior",2.94088645413685,0.8,736,14
"108","Non local",2.99545058160834,0.84,920,14
"109","Ada mod",2.63920015931885,0.76,353,14
"110","Lasso mod",2.7430610489425,0.7,317,14
"111","Naive",2.78051371507796,0.4,200,14
"112","Oracle",2.45206347712974,1,541,14
"113","Lasso",2.89521378722869,0.74,347,15
"114","Ada Lasso",2.74588425827689,0.88,525,15
"115","Local prior",2.81199757086432,0.86,634,15
"116","Non local",2.78616009713765,0.86,766,15
"117","Ada mod",2.8929184509581,0.72,334,15
"118","Lasso mod",2.84622902410607,0.78,391,15
"119","Naive",3.15287019421309,0.4,200,15
"120","Oracle",2.67746037873159,1,541,15
"121","Lasso",1.47495785268391,0.48,235,16
"122","Ada Lasso",1.30325066781071,0.84,681,16
"123","Local prior",1.33038251796585,0.86,836,16
"124","Non local",1.53219872968632,0.82,836,16
"125","Ada mod",1.46644184107698,0.5,227,16
"126","Lasso mod",1.47348490204726,0.48,238,16
"127","Naive",1.48073517907475,0.4,200,16
"128","Oracle",1.28138486941409,1,525,16
"129","Lasso",3.28213394342855,0.68,368,17
"130","Ada Lasso",3.20083186178107,0.72,438,17
"131","Local prior",3.32725627128145,0.82,736,17
"132","Non local",3.63379595706986,0.8,836,17
"133","Ada mod",3.27026086306096,0.7,383,17
"134","Lasso mod",3.52014914117106,0.72,557,17
"135","Naive",3.44125880524883,0.4,200,17
"136","Oracle",3.06573579480001,1,484,17
"137","Lasso",2.59233958179298,0.72,334,18
"138","Ada Lasso",2.56771179655443,0.8,400,18
"139","Local prior",2.81973660780981,0.88,766,18
"140","Non local",2.88427580317032,0.86,800,18
"141","Ada mod",2.59233958179298,0.72,334,18
"142","Lasso mod",2.59083581266348,0.72,328,18
"143","Naive",2.74802907635348,0.4,200,18
"144","Oracle",2.45273833484365,1,593,18
"145","Lasso",1.99161779290591,0.68,287,19
"146","Ada Lasso",2.04897736069193,0.72,340,19
"147","Local prior",2.35527953119054,0.88,681,19
"148","Non local",3.61589130136399,0.66,1150,19
"149","Ada mod",1.99161779290591,0.68,287,19
"150","Lasso mod",2.06741680553715,0.62,278,19
"151","Naive",2.19752353816233,0.4,200,19
"152","Oracle",1.89155734899137,1,497,19
"153","Lasso",2.76472199319702,0.74,347,20
"154","Ada Lasso",2.74164748839315,0.78,391,20
"155","Local prior",3.02960588491055,0.88,541,20
"156","Non local",3.17128617996513,0.86,657,20
"157","Ada mod",2.76472199319702,0.74,347,20
"158","Lasso mod",2.80218209727455,0.64,311,20
"159","Naive",2.90766748479736,0.4,200,20
"160","Oracle",2.61743164275477,1,471,20
"161","Lasso",1.52298626875355,0.7,296,21
"162","Ada Lasso",1.45982817828163,0.88,557,21
"163","Local prior",1.4485358167878,0.86,766,21
"164","Non local",1.55383700618457,0.8,1082,21
"165","Ada mod",7.14997913026743,0.52,1022,21
"166","Lasso mod",1.47673346690261,0.72,311,21
"167","Naive",1.64763788241828,0.4,200,21
"168","Oracle",1.4132703132191,1,511,21
"169","Lasso",2.48070993064664,0.68,360,22
"170","Ada Lasso",2.53373070120958,0.8,920,22
"171","Local prior",2.52759777328833,0.82,1022,22
"172","Non local",2.52759777328833,0.82,1022,22
"173","Ada mod",2.48070993064664,0.68,360,22
"174","Lasso mod",2.47192298613885,0.66,360,22
"175","Naive",2.60334263619389,0.4,200,22
"176","Oracle",2.41732020248972,1,575,22
"177","Lasso",1.84542434133613,0.64,301,23
"178","Ada Lasso",1.84565818566477,0.68,418,23
"179","Local prior",2.09214532959525,0.74,634,23
"180","Non local",2.22936598436103,0.74,1022,23
"181","Ada mod",1.84146836819406,0.62,292,23
"182","Lasso mod",1.83480875766254,0.66,360,23
"183","Naive",1.88496361397091,0.4,200,23
"184","Oracle",1.71701328274523,1,484,23
"185","Lasso",1.82622778831233,0.64,322,24
"186","Ada Lasso",1.85821519543073,0.78,484,24
"187","Local prior",1.96254146065355,0.86,657,24
"188","Non local",2.09086889816496,0.76,766,24
"189","Ada mod",1.82701728571985,0.64,311,24
