"","metodologia","mse","accuracy","n","seed"
"1","Lasso",0.157094834181439,0.86,681,1
"2","Ada Lasso",0.156095924086169,1,1672,1
"3","Local prior",0.156095924086169,1,1672,1
"4","Non local",0.156095924086169,1,1672,1
"5","Ada mod",0.157206727237097,0.84,657,1
"6","Lasso mod",0.156682506506726,0.7,525,1
"7","Naive",0.172980157860494,0.1,200,1
"8","Oracle",0.156095924086169,1,1672,1
"9","Lasso",0.710178834150793,0.84,1082,2
"10","Ada Lasso",0.711904262985103,0.94,2044,2
"11","Local prior",0.694771920906663,0.94,2044,2
"12","Non local",0.702973826528922,0.96,3066,2
"13","Ada mod",0.71696739148137,0.9,1415,2
"14","Lasso mod",0.714744813856875,0.8,1082,2
"15","Naive",0.821749430720798,0.1,200,2
"16","Oracle",0.692014307734252,1,2628,2
"17","Lasso",0.419828883319616,0.72,634,3
"18","Ada Lasso",0.42107586822171,0.8,1022,3
"19","Local prior",0.418359958830696,0.94,3066,3
"20","Non local",0.418167534686865,0.96,3680,3
"21","Ada mod",0.419828883319616,0.72,634,3
"22","Lasso mod",0.418541093267688,0.72,766,3
"23","Naive",0.48092455057637,0.1,200,3
"24","Oracle",0.413611963777781,1,2044,3
"25","Lasso",0.372082440927101,0.72,460,4
"26","Ada Lasso",0.345793509920556,0.98,1533,4
"27","Local prior",0.345793509920556,0.98,1533,4
"28","Non local",0.399072094483783,0.96,1840,4
"29","Ada mod",0.365217669295815,0.8,593,4
"30","Lasso mod",0.368679759358552,0.72,593,4
"31","Naive",0.415781051716109,0.1,200,4
"32","Oracle",0.344161254743745,1,1840,4
"33","Lasso",0.714536011902306,0.92,1022,5
"34","Ada Lasso",0.736788499802917,0.98,2628,5
"35","Local prior",0.736788499802917,0.98,2628,5
"36","Non local",0.736788499802917,0.98,2628,5
"37","Ada mod",0.714536011902306,0.92,1022,5
"38","Lasso mod",0.753801564013697,0.9,2300,5
"39","Naive",0.787033224244152,0.1,200,5
"40","Oracle",0.71175705433948,1,1840,5
"41","Lasso",1.02280285507477,0.8,681,6
"42","Ada Lasso",1.00940479596466,1,2044,6
"43","Local prior",1.00940479596466,1,2044,6
"44","Non local",1.00940479596466,1,2044,6
"45","Ada mod",1.02771119019669,0.82,707,6
"46","Lasso mod",1.00095988415206,0.82,836,6
"47","Naive",1.07811073719137,0.1,200,6
"48","Oracle",1.00940479596466,1,2044,6
"49","Lasso",0.815437093090218,0.84,968,7
"50","Ada Lasso",0.807105691164945,0.92,2044,7
"51","Local prior",0.807105691164945,0.92,2044,7
"52","Non local",0.815816282298517,0.94,2628,7
"53","Ada mod",0.814053767564757,0.82,1150,7
"54","Lasso mod",0.8162202978417,0.78,1022,7
"55","Naive",0.881999761995495,0.1,200,7
"56","Oracle",0.795618205777407,1,1840,7
"57","Lasso",0.337775731303954,0.62,383,8
"58","Ada Lasso",0.329434440028834,0.98,1672,8
"59","Local prior",0.327346703185876,1,2044,8
"60","Non local",0.378742933878981,0.96,1840,8
"61","Ada mod",0.337734950084487,0.6,368,8
"62","Lasso mod",0.334943851708288,0.68,497,8
"63","Naive",0.364475494538336,0.1,200,8
"64","Oracle",0.327346703185876,1,2044,8
"65","Lasso",0.429600897852907,0.88,1150,9
"66","Ada Lasso",0.43001725366894,0.96,2044,9
"67","Local prior",0.43001725366894,0.96,2044,9
"68","Non local",0.43001725366894,0.96,2044,9
"69","Ada mod",0.648608015742543,0.86,1314,9
"70","Lasso mod",0.436054522889397,0.72,657,9
"71","Naive",0.47526295291079,0.1,200,9
"72","Oracle",0.428661196415883,1,2300,9
"73","Lasso",0.226297047328358,0.64,427,10
"74","Ada Lasso",0.223396734627661,0.86,968,10
"75","Local prior",0.217956818725065,0.96,2044,10
"76","Non local",0.229049639457527,0.98,2300,10
"77","Ada mod",0.226297047328358,0.64,427,10
"78","Lasso mod",0.223478767444537,0.66,575,10
"79","Naive",0.246448128302261,0.1,200,10
"80","Oracle",0.208543977445732,1,2044,10
"81","Lasso",0.876541932077772,0.82,800,11
"82","Ada Lasso",0.858133029609581,0.96,1672,11
"83","Local prior",0.851928142194315,0.98,1840,11
"84","Non local",0.905716491511042,0.96,2044,11
"85","Ada mod",0.876541932077772,0.82,800,11
"86","Lasso mod",0.878808779120292,0.76,736,11
"87","Naive",0.958691967061972,0.1,200,11
"88","Oracle",0.851280413610872,1,2628,11
"89","Lasso",0.216316890331492,0.94,1840,12
"90","Ada Lasso",0.188656478718744,0.88,920,12
"91","Local prior",0.186229358653476,0.96,1415,12
"92","Non local",0.216097927877046,0.96,2300,12
"93","Ada mod",0.216316890331492,0.94,1840,12
"94","Lasso mod",0.199732328025909,0.56,460,12
"95","Naive",0.219964077669257,0.1,200,12
"96","Oracle",0.185391661018996,1,2300,12
"97","Lasso",0.0806319462052004,0.92,1082,13
"98","Ada Lasso",0.0808413589381613,1,1840,13
"99","Local prior",0.0808413589381613,1,1840,13
"100","Non local",0.104065873168621,0.98,2044,13
"101","Ada mod",0.0806319462052004,0.92,1082,13
"102","Lasso mod",0.0815554557716101,0.78,736,13
"103","Naive",0.0973345854187934,0.1,200,13
"104","Oracle",0.0808413589381613,1,1840,13
"105","Lasso",0.720877706321832,0.74,634,14
"106","Ada Lasso",0.697548153921761,0.98,2628,14
"107","Local prior",0.700336384540565,0.96,2044,14
"108","Non local",0.697548153921761,0.98,2628,14
"109","Ada mod",2.01012010696995,0.74,736,14
"110","Lasso mod",0.722545551152156,0.7,657,14
"111","Naive",0.7797971427551,0.1,200,14
"112","Oracle",0.692559824036931,1,2300,14
"113","Lasso",1.26950566130134,0.84,1226,15
"114","Ada Lasso",1.27723504940892,0.94,3680,15
"115","Local prior",1.27723504940892,0.94,3680,15
"116","Non local",1.30904862936035,0.96,6133,15
"117","Ada mod",1.26271448819418,0.8,968,15
"118","Lasso mod",1.29464677035947,0.88,2628,15
"119","Naive",1.41338360394117,0.1,200,15
"120","Oracle",1.25696593946994,1,2628,15
"121","Lasso",0.705146488515068,0.7,484,16
"122","Ada Lasso",0.692171216685088,0.94,1082,16
"123","Local prior",0.681911824346828,0.98,1533,16
"124","Non local",0.762588494171747,0.98,2300,16
"125","Ada mod",0.696435875944959,0.74,541,16
"126","Lasso mod",0.709045588929989,0.68,525,16
"127","Naive",0.794869499969162,0.1,200,16
"128","Oracle",0.68069639190366,1,1672,16
"129","Lasso",0.0621760351638529,0.84,836,17
"130","Ada Lasso",0.0622226167195783,0.94,1533,17
"131","Local prior",0.0584893283954825,0.98,1533,17
"132","Non local",0.0624113251924566,0.96,2628,17
"133","Ada mod",0.0602950721628677,0.7,484,17
"134","Lasso mod",0.0603425667635944,0.62,484,17
"135","Naive",0.0671259039817305,0.1,200,17
"136","Oracle",0.0585954010911976,1,1672,17
"137","Lasso",0.338627480104241,0.86,1150,18
"138","Ada Lasso",0.334884339208374,0.96,2300,18
"139","Local prior",0.332118224255136,1,2300,18
"140","Non local",0.621408698748075,0.94,6133,18
"141","Ada mod",0.33734963798401,0.88,1226,18
"142","Lasso mod",0.340083936442076,0.88,1672,18
"143","Naive",0.394496541559088,0.1,200,18
"144","Oracle",0.332118224255136,1,2300,18
"145","Lasso",0.62388773392584,0.72,484,19
"146","Ada Lasso",0.616009127735603,0.92,876,19
"147","Local prior",0.612076274098028,0.96,1150,19
"148","Non local",0.608705563618208,1,1840,19
"149","Ada mod",0.643162724766484,0.64,408,19
"150","Lasso mod",0.639847392484183,0.52,347,19
"151","Naive",0.71044310091782,0.1,200,19
"152","Oracle",0.608705563618208,1,1840,19
"153","Lasso",0.0928235751114034,0.76,657,20
"154","Ada Lasso",0.0908597453321179,0.96,1672,20
"155","Local prior",0.0907192526412472,0.96,1533,20
"156","Non local",0.0910703289293509,1,2300,20
"157","Ada mod",0.0954990871044129,0.66,460,20
"158","Lasso mod",0.0934071273588863,0.72,613,20
"159","Naive",0.104880241596313,0.1,200,20
"160","Oracle",0.0910703289293509,1,2300,20
"161","Lasso",0.324309414265529,0.76,613,21
"162","Ada Lasso",0.319409200045971,1,2300,21
"163","Local prior",0.319409200045971,1,2300,21
"164","Non local",0.319409200045971,1,2300,21
"165","Ada mod",0.323696297654015,0.78,634,21
"166","Lasso mod",0.328607426360421,0.7,613,21
"167","Naive",0.358715276008167,0.1,200,21
"168","Oracle",0.319409200045971,1,2300,21
"169","Lasso",0.0956943666238985,0.76,681,22
"170","Ada Lasso",0.0942076520683492,0.94,1533,22
"171","Local prior",0.0942076520683492,0.94,1533,22
"172","Non local",0.0933080946893765,0.98,3066,22
"173","Ada mod",0.0958906437164841,0.74,657,22
"174","Lasso mod",0.0945381340819417,0.8,920,22
"175","Naive",0.106467131671325,0.1,200,22
