"","metodologia","mse","accuracy","n","seed"
"1","Lasso",1.27105162650296,0.68,418,1
"2","Ada Lasso",1.23254513397511,0.92,800,1
"3","Local prior",1.22172600972771,0.96,920,1
"4","Non local",1.3013833665125,0.96,1226,1
"5","Ada mod",1.26692020858725,0.6,340,1
"6","Lasso mod",1.27486403729363,0.62,408,1
"7","Naive",1.31665417868487,0.2,200,1
"8","Oracle",1.19573982472945,1,920,1
"9","Lasso",1.27699226030031,0.68,400,2
"10","Ada Lasso",1.17524714398839,0.94,1022,2
"11","Local prior",1.17214920549796,0.98,1226,2
"12","Non local",1.17214920549796,0.98,1226,2
"13","Ada mod",1.27699226030031,0.68,400,2
"14","Lasso mod",1.23476891578067,0.7,460,2
"15","Naive",1.37568971881426,0.2,200,2
"16","Oracle",1.17159912381816,1,1415,2
"17","Lasso",0.571987756562374,0.78,511,3
"18","Ada Lasso",0.569107029321609,0.96,1314,3
"19","Local prior",0.569107029321609,0.96,1314,3
"20","Non local",0.64852536471679,0.92,920,3
"21","Ada mod",0.572719922444428,0.74,471,3
"22","Lasso mod",0.570934959327005,0.78,541,3
"23","Naive",0.635764783547286,0.2,200,3
"24","Oracle",0.565506633368958,1,1082,3
"25","Lasso",0.654272542143516,0.6,340,4
"26","Ada Lasso",0.632446381364625,0.96,968,4
"27","Local prior",0.632446381364625,0.96,968,4
"28","Non local",0.632798382785387,0.98,1082,4
"29","Ada mod",0.652755712885726,0.62,347,4
"30","Lasso mod",0.643657696200669,0.62,383,4
"31","Naive",0.708756663207159,0.2,200,4
"32","Oracle",0.628015980708914,1,1022,4
"33","Lasso",1.33113259528841,0.76,460,5
"34","Ada Lasso",1.34262711041715,0.88,836,5
"35","Local prior",1.34367088386447,0.94,1082,5
"36","Non local",1.39863054104355,0.94,1226,5
"37","Ada mod",1.34285754026469,0.8,511,5
"38","Lasso mod",1.35764759556069,0.74,525,5
"39","Naive",1.44548766283512,0.2,200,5
"40","Oracle",1.30421539717875,1,920,5
"41","Lasso",0.801884764475647,0.78,707,6
"42","Ada Lasso",0.773714118101778,0.96,1533,6
"43","Local prior",0.780498400629587,0.94,1415,6
"44","Non local",0.771270319842055,0.94,1415,6
"45","Ada mod",0.810548695590809,0.64,497,6
"46","Lasso mod",0.814385598667294,0.58,484,6
"47","Naive",0.931688369311863,0.2,200,6
"48","Oracle",0.776678557881467,1,1082,6
"49","Lasso",0.647534422262127,0.78,541,7
"50","Ada Lasso",0.643460139311356,0.84,800,7
"51","Local prior",0.635865427619588,0.92,1314,7
"52","Non local",0.690045889693797,0.92,1840,7
"53","Ada mod",0.648389500873569,0.76,511,7
"54","Lasso mod",0.649345988718741,0.74,634,7
"55","Naive",0.71141491809015,0.2,200,7
"56","Oracle",0.628704016598533,1,1022,7
"57","Lasso",1.04629088509221,0.68,400,8
"58","Ada Lasso",1.01984991671492,0.92,968,8
"59","Local prior",1.02008270656385,0.96,1150,8
"60","Non local",1.01782896028892,0.98,1226,8
"61","Ada mod",1.05542552367667,0.66,375,8
"62","Lasso mod",1.04467475020276,0.6,383,8
"63","Naive",1.10892372426086,0.2,200,8
"64","Oracle",1.0002002349733,1,1022,8
"65","Lasso",0.520087785952377,0.8,557,9
"66","Ada Lasso",0.51550555562669,0.9,1022,9
"67","Local prior",0.51103110554197,0.96,1314,9
"68","Non local",0.748307390827903,0.8,1150,9
"69","Ada mod",6.28780130422066,0.78,18400,9
"70","Lasso mod",0.522207450945044,0.7,557,9
