"","metodologia","mse","accuracy","n","seed"
"108","Lasso mod 50",20.5351673706177,0.64,736,11
"109","Naive",21.9286423784974,0.4,200,11
"110","Oracle",19.001184826707,1,497,11
"111","Lasso",28.2809766443012,0.62,368,12
"112","Ada Lasso",27.0479694976693,0.72,707,12
"113","Local prior",26.946484055323,0.74,836,12
"114","Non local",26.946484055323,0.74,836,12
"115","Lasso mod 10000",28.0499273759196,0.56,334,12
"116","Lasso mod 200",27.7751296149456,0.62,391,12
"117","Lasso mod 100",28.0499273759196,0.56,334,12
"118","Lasso mod 50",28.4344652620745,0.74,1082,12
"119","Naive",30.3576808476496,0.4,200,12
"120","Oracle",26.5681026318052,1,497,12
"121","Lasso",14.4698171033856,0.68,322,13
"122","Ada Lasso",14.9564451102452,0.74,968,13
"123","Local prior",16.2561732740088,0.66,968,13
"124","Non local",15.2634009883912,0.72,1415,13
"125","Lasso mod 10000",14.500782561969,0.62,375,13
"126","Lasso mod 200",14.0297753285227,0.66,541,13
"127","Lasso mod 100",13.8197029446549,0.74,736,13
"128","Lasso mod 50",15.5676955091031,0.72,1022,13
"129","Naive",15.0890080185262,0.4,200,13
"130","Oracle",13.8917909866214,1,497,13
"131","Lasso",25.8817959858617,0.72,525,14
"132","Ada Lasso",27.7808146396012,0.72,968,14
"133","Local prior",28.6738289512586,0.66,2300,14
"134","Non local",28.6738289512586,0.66,2300,14
"135","Lasso mod 10000",26.2191583936337,0.72,681,14
"136","Lasso mod 200",27.8762009593563,0.76,2300,14
"137","Lasso mod 100",27.8762009593563,0.76,2300,14
"138","Lasso mod 50",27.8762009593563,0.76,2300,14
"139","Naive",27.8887239803229,0.4,200,14
"140","Oracle",24.9054812400118,1,541,14
"141","Lasso",29.283292745294,0.74,613,15
"142","Ada Lasso",31.2722522730548,0.66,1082,15
"143","Local prior",31.7560309546004,0.7,1415,15
"144","Non local",31.7560309546004,0.7,1415,15
"145","Lasso mod 10000",29.4598569864629,0.7,484,15
"146","Lasso mod 200",29.6440415041892,0.74,541,15
"147","Lasso mod 100",29.6440415041892,0.74,541,15
"148","Lasso mod 50",34.0630187871279,0.62,1672,15
"149","Naive",32.5401539170887,0.4,200,15
"150","Oracle",28.3855711514057,1,541,15
"151","Lasso",14.5945733157128,0.62,471,16
"152","Ada Lasso",16.7794455141603,0.68,1226,16
"153","Local prior",15.8102003235755,0.72,1840,16
"154","Non local",17.6162482674729,0.64,3680,16
"155","Lasso mod 10000",14.0657584504743,0.62,418,16
"156","Lasso mod 200",15.4893399212097,0.68,920,16
"157","Lasso mod 100",15.4176064187697,0.7,968,16
"158","Lasso mod 50",15.5361181284996,0.72,1022,16
"159","Naive",14.5983523703044,0.4,200,16
"160","Oracle",13.574253641062,1,525,16
"161","Lasso",32.8623097959444,0.62,375,17
"162","Ada Lasso",32.5544854200319,0.66,408,17
"163","Local prior",35.5736002200142,0.62,1022,17
"164","Non local",35.6791075788046,0.64,1226,17
"165","Lasso mod 10000",32.4617943625778,0.64,484,17
"166","Lasso mod 200",32.0957276578294,0.7,575,17
"167","Lasso mod 100",32.0957276578294,0.7,575,17
"168","Lasso mod 50",31.7469012252578,0.7,736,17
"169","Naive",36.81562153017,0.4,200,17
"170","Oracle",31.8792489600542,1,484,17
"171","Lasso",24.2574825366377,0.72,408,18
"172","Ada Lasso",25.1713561161576,0.74,920,18
"173","Local prior",25.0394366402427,0.74,1415,18
"174","Non local",25.0394366402427,0.74,1415,18
"175","Lasso mod 10000",24.2180051937939,0.7,427,18
"176","Lasso mod 200",24.8930905446781,0.74,800,18
"177","Lasso mod 100",24.8930905446781,0.74,800,18
"178","Lasso mod 50",24.7607938913371,0.7,920,18
"179","Naive",25.6439331472376,0.4,200,18
"180","Oracle",23.732295662741,1,593,18
"181","Lasso",20.2519293453666,0.58,497,19
"182","Ada Lasso",20.2519293453666,0.58,497,19
"183","Local prior",21.6405839343529,0.7,1840,19
"184","Non local",21.9610889180605,0.66,1840,19
"185","Lasso mod 10000",20.3486137591744,0.44,322,19
"186","Lasso mod 200",22.0362252851124,0.66,1533,19
"187","Lasso mod 100",22.0362252851124,0.66,1533,19
"188","Lasso mod 50",22.0362252851124,0.66,1533,19
