"","metodologia","mse","accuracy","n","seed"
"1","Lasso",236.675012347746,0.6,657,1
"2","Ada Lasso",237.922741145015,0.64,1314,1
"3","Local prior",245.111145573887,0.6,2300,1
"4","Non local",249.834722997615,0.6,6133,1
"5","Lasso mod 10000",236.780823327333,0.58,557,1
"6","Lasso mod 200",244.798090688828,0.54,2628,1
"7","Lasso mod 100",244.798090688828,0.54,2628,1
"8","Lasso mod 50",244.798090688828,0.54,2628,1
"9","Naive",256.2997783663,0.4,200,1
"10","Oracle",236.018144705854,1,471,1
"11","Lasso",230.33274845384,0.58,1082,2
"12","Ada Lasso",231.11182293501,0.64,4600,2
"13","Local prior",231.11182293501,0.64,4600,2
"14","Non local",236.313876350394,0.58,9200,2
"15","Lasso mod 10000",231.388513544304,0.64,1314,2
"16","Lasso mod 200",231.829423187547,0.64,1672,2
"17","Lasso mod 100",231.829423187547,0.64,1672,2
"18","Lasso mod 50",231.829423187547,0.64,1672,2
"19","Naive",267.668011969359,0.4,200,2
"20","Oracle",236.614138038216,1,557,2
"21","Lasso",291.488781754342,0.54,1226,3
"22","Ada Lasso",295.45808846609,0.62,3680,3
"23","Local prior",296.49436442163,0.64,6133,3
"24","Non local",312.290091863672,0.6,Inf,3
"25","Lasso mod 10000",312.290091863672,0.6,Inf,3
"26","Lasso mod 200",312.290091863672,0.6,Inf,3
"27","Lasso mod 100",312.290091863672,0.6,Inf,3
"28","Lasso mod 50",312.290091863672,0.6,Inf,3
"29","Naive",316.246491485342,0.4,200,3
"30","Oracle",281.613995129949,1,525,3
"31","Lasso",253.952369709467,0.58,1533,4
"32","Ada Lasso",257.733666052956,0.6,Inf,4
"33","Local prior",257.242194946656,0.56,6133,4
"34","Non local",257.733666052956,0.6,Inf,4
"35","Lasso mod 10000",252.360210994601,0.6,2300,4
"36","Lasso mod 200",252.360210994601,0.6,2300,4
"37","Lasso mod 100",257.733666052956,0.6,Inf,4
"38","Lasso mod 50",257.733666052956,0.6,Inf,4
"39","Naive",283.879725730819,0.4,200,4
"40","Oracle",247.301805252642,1,471,4
"41","Lasso",83.6460899967592,0.6,3680,5
"42","Ada Lasso",83.9260487035261,0.62,6133,5
"43","Local prior",83.9260487035261,0.62,6133,5
"44","Non local",83.9260487035261,0.62,6133,5
"45","Lasso mod 10000",82.8123407295244,0.5,383,5
"46","Lasso mod 200",83.3083168197098,0.54,448,5
"47","Lasso mod 100",84.2739298628501,0.6,Inf,5
"48","Lasso mod 50",84.2739298628501,0.6,Inf,5
"49","Naive",90.9144562496272,0.4,200,5
"50","Oracle",78.7156734686728,1,511,5
"51","Lasso",261.420609518543,0.58,1022,6
"52","Ada Lasso",267.48812132736,0.62,6133,6
"53","Local prior",267.48812132736,0.62,6133,6
"54","Non local",267.48812132736,0.62,6133,6
"55","Lasso mod 10000",255.465208170828,0.64,2044,6
"56","Lasso mod 200",255.465208170828,0.64,2044,6
"57","Lasso mod 100",255.465208170828,0.64,2044,6
"58","Lasso mod 50",255.465208170828,0.64,2044,6
"59","Naive",278.522574432068,0.4,200,6
"60","Oracle",252.531377185764,1,541,6
"61","Lasso",201.259360609792,0.66,634,7
"62","Ada Lasso",200.204199383939,0.7,2044,7
"63","Local prior",212.767328370504,0.64,6133,7
"64","Non local",212.767328370504,0.64,6133,7
"65","Lasso mod 10000",206.098244831582,0.66,1672,7
"66","Lasso mod 200",207.560282290111,0.62,2044,7
"67","Lasso mod 100",207.560282290111,0.62,2044,7
"68","Lasso mod 50",223.040818583999,0.6,Inf,7
"69","Naive",225.624552329017,0.4,200,7
"70","Oracle",200.25002426307,1,525,7
"71","Lasso",216.418221610632,0.58,800,8
"72","Ada Lasso",216.425705175427,0.6,2628,8
"73","Local prior",219.116439637478,0.62,3066,8
"74","Non local",220.782078737809,0.6,4600,8
"75","Lasso mod 10000",213.960785905279,0.66,920,8
"76","Lasso mod 200",209.279770217238,0.62,3680,8
"77","Lasso mod 100",209.279770217238,0.62,3680,8
"78","Lasso mod 50",225.170726777524,0.6,Inf,8
"79","Naive",241.680790669404,0.4,200,8
"80","Oracle",216.536071003235,1,575,8
"81","Lasso",185.707288809178,0.54,800,9
"82","Ada Lasso",187.606172889423,0.58,1082,9
"83","Local prior",193.23249721412,0.58,2628,9
