"","metodologia","mse","accuracy","n","seed"
"1","Lasso",128.826402738752,0.76,1533,1
"2","Ada Lasso",137.915668632716,0.8,Inf,1
"3","Local prior",133.352630529665,0.78,6133,1
"4","Non local",137.915668632716,0.8,Inf,1
"5","Lasso mod 10000",128.92716326464,0.7,1314,1
"6","Lasso mod 200",137.915668632716,0.8,Inf,1
"7","Lasso mod 100",135.616769685501,0.78,18400,1
"8","Lasso mod 50",137.915668632716,0.8,Inf,1
"9","Naive",136.169712860742,0.2,200,1
"10","Oracle",122.50791049275,1,920,1
"11","Lasso",125.66110165116,0.78,1840,2
"12","Ada Lasso",126.087642367444,0.78,2300,2
"13","Local prior",126.369329680265,0.82,4600,2
"14","Non local",131.352350126444,0.78,9200,2
"15","Lasso mod 10000",125.152514866591,0.8,1840,2
"16","Lasso mod 200",125.536488940042,0.8,2628,2
"17","Lasso mod 100",125.536488940042,0.8,2628,2
"18","Lasso mod 50",126.339611807919,0.82,3066,2
"19","Naive",140.033403834851,0.2,200,2
"20","Oracle",120.524158114359,1,1415,2
"21","Lasso",50.9466556686185,0.72,707,3
"22","Ada Lasso",52.7027284024557,0.76,1415,3
"23","Local prior",54.0977888958322,0.82,3680,3
"24","Non local",53.9318311847158,0.82,9200,3
"25","Lasso mod 10000",52.5611973291116,0.74,920,3
"26","Lasso mod 200",51.218793317787,0.76,681,3
"27","Lasso mod 100",53.9240780711842,0.82,2628,3
"28","Lasso mod 50",53.9240780711842,0.82,2628,3
"29","Naive",58.1252404258573,0.2,200,3
"30","Oracle",50.4021593090935,1,1082,3
"31","Lasso",64.305551292171,0.72,1840,4
"32","Ada Lasso",64.5390090551705,0.8,4600,4
"33","Local prior",64.5390090551705,0.8,4600,4
"34","Non local",66.35530309333,0.8,Inf,4
"35","Lasso mod 10000",60.584733678308,0.66,1082,4
"36","Lasso mod 200",63.5306134615529,0.68,2044,4
"37","Lasso mod 100",64.7627971721399,0.66,2300,4
"38","Lasso mod 50",66.35530309333,0.8,Inf,4
"39","Naive",62.3557113572143,0.2,200,4
"40","Oracle",59.2248132048464,1,1022,4
"41","Lasso",139.495074275191,0.68,557,5
"42","Ada Lasso",150.31074575623,0.8,Inf,5
"43","Local prior",141.634301744251,0.8,4600,5
"44","Non local",150.31074575623,0.8,Inf,5
"45","Lasso mod 10000",150.31074575623,0.8,Inf,5
"46","Lasso mod 200",150.31074575623,0.8,Inf,5
"47","Lasso mod 100",150.31074575623,0.8,Inf,5
"48","Lasso mod 50",150.31074575623,0.8,Inf,5
"49","Naive",151.677930108523,0.2,200,5
"50","Oracle",137.625661550353,1,920,5
"51","Lasso",92.0875981574367,0.72,736,6
"52","Ada Lasso",91.7024520355352,0.82,3680,6
"53","Local prior",91.7897772971177,0.84,4600,6
"54","Non local",91.7897772971177,0.84,4600,6
"55","Lasso mod 10000",90.966656786887,0.78,1226,6
"56","Lasso mod 200",90.9030550895923,0.74,2300,6
"57","Lasso mod 100",90.8905928833366,0.78,1672,6
"58","Lasso mod 50",92.5739697278176,0.82,18400,6
"59","Naive",102.763673931896,0.2,200,6
"60","Oracle",89.8201574776877,1,1082,6
"61","Lasso",66.7330808923289,0.78,1082,7
"62","Ada Lasso",66.3172811106976,0.84,1672,7
"63","Local prior",67.7044837127435,0.84,2628,7
"64","Non local",67.7115639464988,0.86,3680,7
"65","Lasso mod 10000",68.3368523763246,0.6,575,7
"66","Lasso mod 200",66.7252766924667,0.72,800,7
"67","Lasso mod 100",67.2588790058965,0.74,920,7
"68","Lasso mod 50",67.7453297937627,0.76,1415,7
"69","Naive",73.23414756124,0.2,200,7
"70","Oracle",66.0660488341477,1,1022,7
"71","Lasso",97.2800986490964,0.78,3680,8
"72","Ada Lasso",97.2800986490964,0.78,3680,8
"73","Local prior",97.1849195758316,0.8,6133,8
"74","Non local",97.4228113619181,0.82,9200,8
"75","Lasso mod 10000",96.9157947460624,0.72,2300,8
"76","Lasso mod 200",97.2722861250795,0.76,3066,8
"77","Lasso mod 100",97.2722861250795,0.76,3066,8
"78","Lasso mod 50",97.2722861250795,0.76,3066,8
"79","Naive",105.961389139659,0.2,200,8
"80","Oracle",94.4222579300069,1,1022,8
"81","Lasso",56.330389229478,0.78,2628,9
"82","Ada Lasso",56.3212900623738,0.78,3680,9
"83","Local prior",56.2348631509117,0.8,4600,9
"84","Non local",56.5837944477786,0.82,9200,9
"85","Lasso mod 10000",54.606743315418,0.74,1533,9
"86","Lasso mod 200",54.606743315418,0.74,1533,9
"87","Lasso mod 100",54.4387119553941,0.76,1840,9
"88","Lasso mod 50",54.4387119553941,0.76,1840,9
"89","Naive",61.0856491146883,0.2,200,9
"90","Oracle",53.4247462047451,1,1082,9
"91","Lasso",56.7464434751969,0.88,2628,10
"92","Ada Lasso",57.2230507462805,0.84,6133,10
"93","Local prior",57.2230507462805,0.84,6133,10
"94","Non local",57.4544648310027,0.82,9200,10
"95","Lasso mod 10000",55.2921028229096,0.76,1150,10
"96","Lasso mod 200",56.1445586150354,0.8,2628,10
"97","Lasso mod 100",56.1445586150354,0.8,2628,10
"98","Lasso mod 50",56.1445586150354,0.8,2628,10
"99","Naive",60.5745718960518,0.2,200,10
"100","Oracle",55.1862564843806,1,1022,10
"101","Lasso",126.499317606202,0.7,1150,11
"102","Ada Lasso",126.350286488404,0.76,2300,11
"103","Local prior",127.859017120577,0.78,2628,11
"104","Non local",128.375425002941,0.82,6133,11
"105","Lasso mod 10000",125.517540693785,0.72,836,11
"106","Lasso mod 200",125.517540693785,0.72,836,11
"107","Lasso mod 100",125.517540693785,0.72,836,11
"108","Lasso mod 50",124.966612891828,0.76,2628,11
"109","Naive",139.749199432197,0.2,200,11
"110","Oracle",119.54993397138,1,1022,11
"111","Lasso",112.906472944088,0.76,1082,12
"112","Ada Lasso",111.367304388149,0.78,1840,12
"113","Local prior",120.204145076189,0.76,3066,12
"114","Non local",120.732078379384,0.8,Inf,12
"115","Lasso mod 10000",113.583358822132,0.82,18400,12
"116","Lasso mod 200",113.583358822132,0.82,18400,12
"117","Lasso mod 100",113.583358822132,0.82,18400,12
"118","Lasso mod 50",113.583358822132,0.82,18400,12
"119","Naive",128.762042351106,0.2,200,12
"120","Oracle",110.30602921962,1,1150,12
"121","Lasso",107.651438332204,0.72,766,13
"122","Ada Lasso",110.478131861556,0.76,1314,13
"123","Local prior",111.715934046149,0.8,3680,13
"124","Non local",112.747446787827,0.78,9200,13
"125","Lasso mod 10000",109.322650709963,0.7,2628,13
"126","Lasso mod 200",106.603979148385,0.66,876,13
"127","Lasso mod 100",109.322650709963,0.7,2628,13
"128","Lasso mod 50",115.200364119756,0.8,Inf,13
"129","Naive",117.32430238284,0.2,200,13
