"","metodologia","mse","accuracy","n","seed"
"1","Lasso",1.59151182731998,0.88,1150,1
"2","Ada Lasso",1.60180420607006,0.94,1840,1
"3","Local prior",1.58477788149874,0.96,2628,1
"4","Non local",1.58477788149874,0.96,2628,1
"5","Ada mod",1.59151182731998,0.88,1150,1
"6","Lasso mod",1.59278531805428,0.88,1314,1
"7","Naive",1.74660806437441,0.1,200,1
"8","Oracle",1.50704003897846,1,1672,1
"9","Lasso",7.44201569739773,0.9,1672,2
"10","Ada Lasso",7.44613340014358,0.94,2044,2
"11","Local prior",7.44200258581175,0.96,2300,2
"12","Non local",8.17989598238136,0.94,9200,2
"13","Ada mod",7.44201569739773,0.9,1672,2
"14","Lasso mod",7.45477352479605,0.84,1226,2
"15","Naive",9.15175148412604,0.1,200,2
"16","Oracle",7.45839395840901,1,2628,2
"17","Lasso",4.37166549122025,0.7,593,3
"18","Ada Lasso",4.29774856663606,0.8,1226,3
"19","Local prior",4.2626808701189,0.88,2300,3
"20","Non local",4.18513277489327,0.94,9200,3
"21","Ada mod",4.37166549122025,0.7,593,3
"22","Lasso mod",4.23541747416799,0.76,920,3
"23","Naive",4.90968562854058,0.1,200,3
"24","Oracle",4.18095124608053,1,2044,3
"25","Lasso",3.91154531737703,0.7,484,4
"26","Ada Lasso",3.83247350930764,0.88,920,4
"27","Local prior",3.80744597562278,0.96,1840,4
"28","Non local",3.96777148345322,0.94,2300,4
"29","Ada mod",3.85840495241611,0.82,736,4
"30","Lasso mod",3.86691899141868,0.76,736,4
"31","Naive",4.16025232321708,0.1,200,4
"32","Oracle",3.69938150355707,1,1840,4
"33","Lasso",8.18257146148604,0.9,2044,5
"34","Ada Lasso",8.32922704665234,0.92,3680,5
"35","Local prior",8.34286169087961,0.94,6133,5
"36","Non local",8.34286169087961,0.94,6133,5
"37","Ada mod",8.18257146148604,0.9,2044,5
"38","Lasso mod",8.15869805793696,0.92,2628,5
"39","Naive",9.03814648371282,0.1,200,5
"40","Oracle",8.11602988145906,1,1840,5
