"","metodologia","mse","accuracy","n","seed"
"1","Lasso",40.7780027658054,0.44,525,1
"2","Ada Lasso",43.8821852857854,0.32,1022,1
"3","Local prior",44.1829464495234,0.3,1314,1
"4","Non local",49.6896528790087,0.26,4600,1
"5","Ada mod",40.6182354903696,0.46,497,1
"6","Lasso mod",42.6066722281466,0.36,836,1
"7","Naive",41.4621195184893,0.8,200,1
"8","Oracle",41.4696804454551,1,245,1
"9","Lasso",48.7207278888232,0.6,375,2
"10","Ada Lasso",50.1852716932607,0.46,575,2
"11","Local prior",53.0237883315491,0.38,1150,2
"12","Non local",52.3619283532621,0.32,1533,2
"13","Ada mod",47.90359320616,0.58,427,2
"14","Lasso mod",48.3504430198007,0.62,448,2
"15","Naive",48.6742450216858,0.8,200,2
"16","Oracle",46.773183899151,1,252,2
"17","Lasso",36.1879345514966,0.44,541,3
"18","Ada Lasso",36.6507184705833,0.38,657,3
"19","Local prior",40.6967812380904,0.34,1415,3
"20","Non local",44.8161508461066,0.28,2300,3
"21","Ada mod",36.1879345514966,0.44,541,3
"22","Lasso mod",36.0006044700322,0.46,525,3
"23","Naive",36.2604745436009,0.8,200,3
"24","Oracle",34.4024882113353,1,245,3
"25","Lasso",57.3549934361147,0.58,408,4
"26","Ada Lasso",58.1377524198582,0.52,575,4
"27","Local prior",59.1261028678101,0.38,1022,4
"28","Non local",72.3368979038035,0.32,1840,4
"29","Ada mod",58.4040758929686,0.5,484,4
"30","Lasso mod",57.6573220765884,0.5,427,4
"31","Naive",60.6868344597344,0.8,200,4
"32","Oracle",55.8187038950718,1,255,4
"33","Lasso",18.9092458412693,0.64,368,5
"34","Ada Lasso",18.8561391303909,0.6,383,5
"35","Local prior",20.307277924122,0.4,1022,5
"36","Non local",20.6809780684604,0.34,1314,5
"37","Ada mod",19.1527753548977,0.58,408,5
"38","Lasso mod",19.2935118680717,0.56,525,5
"39","Naive",19.4587477750209,0.8,200,5
"40","Oracle",19.3900840546912,1,262,5
"41","Lasso",51.7378306882818,0.6,438,6
"42","Ada Lasso",52.1399806933133,0.48,613,6
"43","Local prior",55.6701805071103,0.38,1314,6
"44","Non local",55.6701805071103,0.38,1314,6
"45","Ada mod",52.8156153000826,0.6,427,6
"46","Lasso mod",54.0523719425468,0.52,657,6
"47","Naive",57.9830933099031,0.8,200,6
"48","Oracle",53.7699397700269,1,259,6
"49","Lasso",34.9541712719868,0.6,353,7
"50","Ada Lasso",36.7975020444215,0.48,766,7
"51","Local prior",39.7262467483911,0.4,1226,7
"52","Non local",39.7262467483911,0.4,1226,7
"53","Ada mod",34.6066241230919,0.6,383,7
"54","Lasso mod",34.1739733976706,0.64,511,7
"55","Naive",36.1259619233908,0.8,200,7
"56","Oracle",34.9220218652435,1,270,7
"57","Lasso",28.3369679065824,0.6,301,8
"58","Ada Lasso",28.317371941966,0.58,334,8
"59","Local prior",31.2636070755239,0.32,1150,8
"60","Non local",31.2636070755239,0.32,1150,8
"61","Ada mod",29.2289597640325,0.64,266,8
"62","Lasso mod",29.1408163723509,0.68,274,8
"63","Naive",29.4317178893649,0.8,200,8
"64","Oracle",28.9668050520169,1,259,8
"65","Lasso",24.2561073542173,0.72,317,9
"66","Ada Lasso",24.1036170502056,0.6,497,9
"67","Local prior",24.9529143034042,0.4,968,9
"68","Non local",25.6865256854001,0.36,1150,9
"69","Ada mod",23.6673944031698,0.68,418,9
"70","Lasso mod",24.1308909396496,0.74,340,9
"71","Naive",25.4229848809922,0.8,200,9
"72","Oracle",24.3944023866618,1,245,9
"73","Lasso",46.4210116834037,0.64,274,10
"74","Ada Lasso",49.1871057422363,0.44,525,10
"75","Local prior",52.6904953996569,0.28,1314,10
"76","Non local",55.3737834010341,0.3,1840,10
"77","Ada mod",45.6928201568297,0.58,317,10
"78","Lasso mod",47.1595978592221,0.62,391,10
"79","Naive",47.7444470847292,0.8,200,10
"80","Oracle",46.2468445299457,1,252,10
"81","Lasso",39.8734113783431,0.66,322,11
"82","Ada Lasso",39.6678287950486,0.6,353,11
"83","Local prior",46.7375291797793,0.3,1226,11
"84","Non local",48.7309876302964,0.3,1672,11
"85","Ada mod",39.8954076163108,0.58,391,11
"86","Lasso mod",40.3642704635176,0.64,340,11
"87","Naive",39.6580083380223,0.8,200,11
"88","Oracle",39.4660170872562,1,245,11
"89","Lasso",26.8623652616613,0.68,301,12
"90","Ada Lasso",27.0621849742986,0.6,360,12
"91","Local prior",34.0359273268343,0.3,1840,12
"92","Non local",33.9836336991855,0.28,2044,12
"93","Ada mod",27.0832557052167,0.6,360,12
"94","Lasso mod",26.9076367508027,0.64,383,12
"95","Naive",27.0803925825972,0.8,200,12
"96","Oracle",26.3603960350967,1,248,12
"97","Lasso",51.1138075599644,0.56,368,13
"98","Ada Lasso",50.6558994379698,0.58,383,13
"99","Local prior",57.7696446597393,0.38,1022,13
"100","Non local",58.1772026328385,0.34,1226,13
"101","Ada mod",51.1138075599644,0.56,368,13
"102","Lasso mod",51.1151130869345,0.64,328,13
"103","Naive",54.5193686486107,0.8,200,13
"104","Oracle",52.5349751802756,1,255,13
"105","Lasso",69.7370079049595,0.38,1314,14
"106","Ada Lasso",72.5275800687138,0.28,2628,14
"107","Local prior",72.5275800687138,0.28,2628,14
"108","Non local",72.5275800687138,0.28,2628,14
"109","Ada mod",71.6262969061042,0.36,1533,14
"110","Lasso mod",66.3155821970172,0.54,707,14
"111","Naive",69.9673035170082,0.8,200,14
"112","Oracle",67.20066895574,1,262,14
"113","Lasso",54.2130970745497,0.68,270,15
"114","Ada Lasso",53.2491634374892,0.7,283,15
"115","Local prior",60.4724838125277,0.36,1415,15
"116","Non local",61.6546286994119,0.34,1314,15
"117","Ada mod",78.1778124519594,0.18,6133,15
"118","Lasso mod",53.237527055881,0.7,287,15
"119","Naive",56.4052326308658,0.8,200,15
"120","Oracle",52.8164615084466,1,252,15
"121","Lasso",96.5590783557833,0.6,408,16
"122","Ada Lasso",99.4022071697532,0.46,800,16
"123","Local prior",106.768835352476,0.36,1533,16
"124","Non local",106.971597223049,0.34,1840,16
"125","Ada mod",95.848145122859,0.56,471,16
"126","Lasso mod",98.2766106707981,0.62,438,16
"127","Naive",97.1359292483251,0.8,200,16
"128","Oracle",93.4245990437104,1,252,16
"129","Lasso",37.7406760815731,0.48,575,17
"130","Ada Lasso",38.9197616734726,0.44,707,17
"131","Local prior",39.9188524000067,0.42,920,17
"132","Non local",41.2452844158398,0.36,1226,17
"133","Ada mod",37.7406760815731,0.48,575,17
"134","Lasso mod",37.4499220508146,0.52,511,17
"135","Naive",39.6152695714794,0.8,200,17
"136","Oracle",38.174266577649,1,248,17
"137","Lasso",55.9319642555724,0.66,340,18
"138","Ada Lasso",55.2967867844691,0.58,408,18
"139","Local prior",56.8408691830879,0.36,1672,18
"140","Non local",59.576053466693,0.34,1840,18
"141","Ada mod",56.8197492420431,0.64,497,18
"142","Lasso mod",54.7858253166218,0.56,460,18
"143","Naive",57.3096023266139,0.8,200,18
"144","Oracle",56.8659588969434,1,262,18
"145","Lasso",32.0347720070918,0.48,400,19
"146","Ada Lasso",37.3940652802561,0.26,3680,19
"147","Local prior",35.5518646196683,0.28,1533,19
"148","Non local",37.3940652802561,0.26,3680,19
"149","Ada mod",32.0347720070918,0.48,400,19
