"","metodologia","mse","accuracy","n","seed"
"1","Lasso",24.5057450507651,0.7,448,1
"2","Ada Lasso",24.9401077552493,0.7,657,1
"3","Local prior",25.8496610243543,0.66,1226,1
"4","Non local",25.8604209625004,0.62,1840,1
"5","Ada mod",24.9925588085786,0.66,328,1
"6","Lasso mod",25.3857219171579,0.54,375,1
"7","Naive",26.4003322860303,0.4,200,1
"8","Oracle",23.3086061877426,1,471,1
"9","Lasso",22.561067129687,0.76,541,2
"10","Ada Lasso",25.4168227788934,0.68,1415,2
"11","Local prior",27.175616415719,0.66,2044,2
"12","Non local",26.1869470402245,0.68,3066,2
"13","Ada mod",22.561067129687,0.76,541,2
"14","Lasso mod",23.3029993710146,0.7,471,2
"15","Naive",23.9465532395797,0.4,200,2
"16","Oracle",21.9835508907909,1,557,2
"17","Lasso",31.2751142145814,0.72,438,3
"18","Ada Lasso",31.705320841069,0.68,613,3
"19","Local prior",31.9880747243833,0.72,1150,3
"20","Non local",35.9971012333109,0.62,1226,3
"21","Ada mod",31.2751142145814,0.72,438,3
"22","Lasso mod",32.607421072262,0.6,340,3
"23","Naive",34.6871532562125,0.4,200,3
"24","Oracle",30.9620518743747,1,525,3
"25","Lasso",26.3620828335506,0.66,334,4
"26","Ada Lasso",26.1250084102084,0.78,471,4
"27","Local prior",28.1627032398217,0.76,1082,4
"28","Non local",27.7262142445593,0.74,1415,4
"29","Ada mod",26.0812200603005,0.78,408,4
"30","Lasso mod",27.0788381901308,0.72,460,4
"31","Naive",27.2294215162862,0.4,200,4
"32","Oracle",25.045905543504,1,471,4
"33","Lasso",8.267236470517,0.62,266,5
"34","Ada Lasso",8.23455393216907,0.62,306,5
"35","Local prior",9.02172696898369,0.7,1082,5
"36","Non local",9.08891540071257,0.68,1150,5
"37","Ada mod",8.44810535845818,0.5,224,5
"38","Lasso mod",8.25257096140358,0.58,262,5
"39","Naive",8.55017459288861,0.4,200,5
"40","Oracle",8.00300661128151,1,511,5
"41","Lasso",23.5637648290768,0.66,368,6
"42","Ada Lasso",25.2516224585598,0.72,1314,6
"43","Local prior",25.5081631215604,0.72,1415,6
"44","Non local",25.7842789546068,0.72,1533,6
"45","Ada mod",23.6463268032348,0.62,353,6
"46","Lasso mod",23.1899469142524,0.68,448,6
"47","Naive",23.9997429138523,0.4,200,6
"48","Oracle",23.0178554666856,1,541,6
"49","Lasso",19.5526499536493,0.74,497,7
"50","Ada Lasso",19.4774476800755,0.8,876,7
"51","Local prior",21.7595576201389,0.7,1314,7
"52","Non local",21.7595576201389,0.7,1314,7
"53","Ada mod",19.5017226156435,0.76,541,7
"54","Lasso mod",18.9257562686178,0.76,634,7
"55","Naive",21.2032199380885,0.4,200,7
"56","Oracle",19.2867644683158,1,525,7
"57","Lasso",22.3705837763031,0.68,322,8
"58","Ada Lasso",23.1021875348875,0.78,707,8
"59","Local prior",26.5517446091637,0.7,1672,8
"60","Non local",27.6589195047059,0.72,2044,8
"61","Ada mod",22.2743773102112,0.7,340,8
"62","Lasso mod",22.1799266304277,0.7,575,8
"63","Naive",23.0868307594277,0.4,200,8
"64","Oracle",21.4928773080385,1,575,8
"65","Lasso",19.9917516791178,0.72,511,9
"66","Ada Lasso",20.9320131744863,0.68,736,9
"67","Local prior",22.9359815646526,0.62,1022,9
"68","Non local",22.9359815646526,0.62,1022,9
"69","Ada mod",20.264537952483,0.72,557,9
"70","Lasso mod",20.3384264141763,0.6,418,9
"71","Naive",21.6930249372857,0.4,200,9
"72","Oracle",19.4703321914149,1,448,9
"73","Lasso",23.0094177450342,0.72,511,10
"74","Ada Lasso",23.3848602496044,0.76,593,10
"75","Local prior",25.7919334842533,0.74,968,10
"76","Non local",25.697799813058,0.72,1150,10
"77","Ada mod",23.063345454022,0.74,525,10
"78","Lasso mod",23.4462324864799,0.68,541,10
"79","Naive",24.7822193350744,0.4,200,10
"80","Oracle",22.4093633268824,1,511,10
"81","Lasso",22.0205179508963,0.7,448,11
"82","Ada Lasso",22.0011893837128,0.68,511,11
"83","Local prior",25.5667446138649,0.7,1533,11
"84","Non local",24.9559140625616,0.72,1672,11
"85","Ada mod",23.3204547241565,0.52,634,11
"86","Lasso mod",22.5037864043295,0.62,593,11
"87","Naive",22.4269726199851,0.4,200,11
"88","Oracle",21.0066426030961,1,497,11
"89","Lasso",27.2412324178485,0.62,368,12
"90","Ada Lasso",24.960415499998,0.72,707,12
"91","Local prior",25.2349639458551,0.74,836,12
"92","Non local",25.2349639458551,0.74,836,12
"93","Ada mod",27.5160480991861,0.52,322,12
"94","Lasso mod",27.4998628428474,0.58,347,12
"95","Naive",29.2493029204695,0.4,200,12
"96","Oracle",24.9096607276304,1,497,12
"97","Lasso",14.0115331093343,0.68,322,13
"98","Ada Lasso",15.2426448533383,0.74,968,13
"99","Local prior",16.5664742190509,0.66,968,13
"100","Non local",15.2671016477514,0.72,1415,13
"101","Ada mod",13.8914642764173,0.72,438,13
"102","Lasso mod",14.3203561520471,0.54,328,13
"103","Naive",14.5899138735488,0.4,200,13
"104","Oracle",13.8492791277477,1,497,13
"105","Lasso",26.0142370921471,0.72,525,14
"106","Ada Lasso",27.930818879835,0.72,968,14
"107","Local prior",29.3421921823879,0.66,2300,14
"108","Non local",29.3421921823879,0.66,2300,14
"109","Ada mod",27.3016156649298,0.72,736,14
"110","Lasso mod",26.5105056816044,0.74,657,14
"111","Naive",29.2007757893846,0.4,200,14
"112","Oracle",25.144573781101,1,541,14
"113","Lasso",29.6155527621519,0.74,613,15
"114","Ada Lasso",31.2889140904305,0.66,1082,15
"115","Local prior",31.5312131642849,0.7,1415,15
"116","Non local",31.5312131642849,0.7,1415,15
"117","Ada mod",30.2624093590526,0.72,657,15
"118","Lasso mod",30.0038972556284,0.72,511,15
"119","Naive",33.534968463554,0.4,200,15
"120","Oracle",27.5015345640643,1,541,15
"121","Lasso",13.6335333842657,0.62,471,16
"122","Ada Lasso",15.9658454692892,0.68,1226,16
"123","Local prior",15.3889345663772,0.72,1840,16
"124","Non local",16.9141537280559,0.64,3680,16
"125","Ada mod",15.9225542476316,0.64,511,16
"126","Lasso mod",13.6440507591533,0.64,438,16
"127","Naive",14.3601218868953,0.4,200,16
"128","Oracle",13.204704860626,1,525,16
"129","Lasso",32.9611531928147,0.62,375,17
"130","Ada Lasso",32.5761616923031,0.66,408,17
"131","Local prior",35.1565077098919,0.62,1022,17
"132","Non local",35.1036402229902,0.64,1226,17
"133","Ada mod",34.1331813935916,0.62,427,17
"134","Lasso mod",32.2914993667209,0.7,575,17
"135","Naive",37.4575677615717,0.4,200,17
"136","Oracle",31.1459841034329,1,484,17
"137","Lasso",22.8466458768255,0.72,408,18
"138","Ada Lasso",22.385598232797,0.74,920,18
"139","Local prior",22.3543989929198,0.74,1415,18
"140","Non local",22.3543989929198,0.74,1415,18
"141","Ada mod",22.6783412316999,0.72,360,18
"142","Lasso mod",22.7473513985277,0.66,347,18
"143","Naive",24.0130660604195,0.4,200,18
"144","Oracle",21.2274007872199,1,593,18
"145","Lasso",21.7114384039567,0.58,497,19
"146","Ada Lasso",21.7114384039567,0.58,497,19
"147","Local prior",21.7401691447376,0.7,1840,19
"148","Non local",22.1601629843892,0.66,1840,19
"149","Ada mod",22.0340211080571,0.56,511,19
"150","Lasso mod",21.2829747557489,0.44,322,19
"151","Naive",22.0360910555912,0.4,200,19
"152","Oracle",20.4968629972673,1,497,19
"153","Lasso",26.2563955117125,0.64,391,20
"154","Ada Lasso",26.3086754182333,0.68,575,20
"155","Local prior",27.9682908641282,0.72,920,20
"156","Non local",27.963555604876,0.7,876,20
"157","Ada mod",25.6667550739554,0.66,427,20
"158","Lasso mod",26.2994424889359,0.54,400,20
"159","Naive",26.4467406796854,0.4,200,20
"160","Oracle",24.8245109530987,1,471,20
"161","Lasso",15.6853637584077,0.7,391,21
"162","Ada Lasso",15.4464840553512,0.8,613,21
"163","Local prior",15.3804350514754,0.78,1226,21
"164","Non local",15.2975676384946,0.76,1415,21
"165","Ada mod",15.6853637584077,0.7,391,21
"166","Lasso mod",15.9929446655523,0.7,448,21
"167","Naive",17.3407019353184,0.4,200,21
"168","Oracle",15.6950906548246,1,511,21
"169","Lasso",23.5071831843201,0.64,471,22
"170","Ada Lasso",23.6655666430268,0.68,1672,22
"171","Local prior",23.6913471771413,0.7,2300,22
"172","Non local",23.6913471771413,0.7,2300,22
"173","Ada mod",23.056057931684,0.64,471,22
"174","Lasso mod",23.4744063859111,0.68,375,22
"175","Naive",25.4363379401674,0.4,200,22
"176","Oracle",22.7235791584677,1,575,22
"177","Lasso",20.3933354953697,0.6,400,23
"178","Ada Lasso",21.4296137217889,0.62,1533,23
"179","Local prior",22.0314978404707,0.64,2300,23
"180","Non local",23.8253734468931,0.66,3066,23
"181","Ada mod",20.3933354953697,0.6,400,23
"182","Lasso mod",20.3855611185248,0.58,460,23
"183","Naive",22.4812805040605,0.4,200,23
"184","Oracle",20.1917319367926,1,484,23
"185","Lasso",18.5204768321387,0.6,334,24
"186","Ada Lasso",18.6012738893078,0.68,1314,24
"187","Local prior",19.0748627102736,0.64,1672,24
"188","Non local",19.0748627102736,0.64,1672,24
"189","Ada mod",17.5597740171569,0.76,557,24
"190","Lasso mod",18.3246651036402,0.58,368,24
"191","Naive",18.9667560139206,0.4,200,24
"192","Oracle",17.2722348039538,1,511,24
"193","Lasso",44.0192708406362,0.68,418,25
"194","Ada Lasso",47.4330760743858,0.7,1022,25
"195","Local prior",48.2640560512811,0.7,1314,25
"196","Non local",50.367120265706,0.7,2044,25
"197","Ada mod",46.6056874649346,0.64,557,25
"198","Lasso mod",44.6667452029607,0.62,340,25
"199","Naive",47.4234687579876,0.4,200,25
"200","Oracle",42.1267563062557,1,497,25
"201","Lasso",10.2462355039764,0.66,484,26
"202","Ada Lasso",10.4623818753285,0.7,836,26
"203","Local prior",10.7290937413834,0.7,1082,26
"204","Non local",11.453080720175,0.7,1533,26
"205","Ada mod",10.2432767556745,0.7,541,26
"206","Lasso mod",10.2572918769648,0.54,360,26
"207","Naive",10.0153771420923,0.4,200,26
"208","Oracle",9.31467389819388,1,438,26
"209","Lasso",21.8131116832776,0.62,375,27
"210","Ada Lasso",22.4711703823557,0.64,634,27
"211","Local prior",22.9721756294286,0.72,1082,27
"212","Non local",22.9136512352,0.7,968,27
"213","Ada mod",21.8131116832776,0.62,375,27
"214","Lasso mod",22.3814238085354,0.66,593,27
"215","Naive",23.4390431669441,0.4,200,27
"216","Oracle",20.9403495118592,1,557,27
"217","Lasso",28.1730203895362,0.58,274,28
"218","Ada Lasso",28.2600018668912,0.6,287,28
"219","Local prior",27.8677412442213,0.66,1150,28
