"","metodologia","mse","accuracy","n","seed"
"1","Lasso",16.0104940738248,0.88,1533,1
"2","Ada Lasso",16.1690612810743,0.9,3680,1
"3","Local prior",16.1690612810743,0.9,3680,1
"4","Non local",16.2527657688002,0.92,9200,1
"5","Lasso mod 10000",16.1948942203434,0.86,3680,1
"6","Lasso mod 200",16.2527657688002,0.92,9200,1
"7","Lasso mod 100",16.2527657688002,0.92,9200,1
"8","Lasso mod 50",16.2527657688002,0.92,9200,1
"9","Naive",17.184594770702,0.1,200,1
"10","Oracle",15.4694492942788,1,1672,1
"11","Lasso",72.4612454626193,0.88,2044,2
"12","Ada Lasso",72.0727516272418,0.9,3066,2
"13","Local prior",74.5024889876086,0.88,3680,2
"14","Non local",76.4465297356597,0.88,18400,2
"15","Lasso mod 10000",71.8374721506744,0.94,4600,2
"16","Lasso mod 200",71.8374721506744,0.94,4600,2
"17","Lasso mod 100",71.8374721506744,0.94,4600,2
"18","Lasso mod 50",71.8374721506744,0.94,4600,2
"19","Naive",82.2786294809218,0.1,200,2
"20","Oracle",72.1350204740803,1,2628,2
"21","Lasso",44.2220619746335,0.78,1533,3
"22","Ada Lasso",44.118672014989,0.74,800,3
"23","Local prior",43.5685525408661,0.88,4600,3
"24","Non local",43.4436426127263,0.92,18400,3
"25","Lasso mod 10000",44.0922707695067,0.8,2044,3
"26","Lasso mod 200",43.7185818258647,0.84,3066,3
"27","Lasso mod 100",43.7185818258647,0.84,3066,3
"28","Lasso mod 50",43.476074098162,0.9,9200,3
"29","Naive",48.1042015853617,0.1,200,3
"30","Oracle",43.8156630301252,1,2044,3
"31","Lasso",37.0582878219114,0.9,Inf,4
"32","Ada Lasso",37.0582878219114,0.9,Inf,4
"33","Local prior",36.9619575504944,0.88,9200,4
"34","Non local",37.0582878219114,0.9,Inf,4
"35","Lasso mod 10000",37.0582878219114,0.9,Inf,4
"36","Lasso mod 200",37.0582878219114,0.9,Inf,4
"37","Lasso mod 100",37.0582878219114,0.9,Inf,4
"38","Lasso mod 50",37.0582878219114,0.9,Inf,4
"39","Naive",39.0851088019962,0.1,200,4
