"","metodologia","mse","accuracy","n","seed"
"1","Lasso",12.8211079211992,0.68,471,1
"2","Ada Lasso",12.6452693586637,0.82,836,1
"3","Local prior",12.5844431389154,0.88,1150,1
"4","Non local",13.4993999060203,0.88,2044,1
"5","Lasso mod 10000",12.8797456695569,0.54,418,1
"6","Lasso mod 200",12.8404799632658,0.56,438,1
"7","Lasso mod 100",12.2588033131302,0.74,634,1
"8","Lasso mod 50",12.6866672108409,0.8,876,1
"9","Naive",13.8393806153955,0.2,200,1
"10","Oracle",12.1823462413224,1,920,1
"11","Lasso",13.5524375908685,0.64,427,2
"12","Ada Lasso",13.169618861247,0.74,634,2
"13","Local prior",14.2658069131119,0.88,2300,2
"14","Non local",14.2394431548946,0.9,3066,2
"15","Lasso mod 10000",13.778676752511,0.88,1226,2
"16","Lasso mod 200",13.778676752511,0.88,1226,2
"17","Lasso mod 100",13.778676752511,0.88,1226,2
"18","Lasso mod 50",13.856242015155,0.86,1672,2
"19","Naive",14.6418967431313,0.2,200,2
"20","Oracle",12.7528341036119,1,1415,2
"21","Lasso",5.315931739141,0.76,525,3
"22","Ada Lasso",5.23920057257479,0.9,1082,3
"23","Local prior",5.22841315083112,0.94,1415,3
"24","Non local",5.52075863001195,0.9,2044,3
"25","Lasso mod 10000",5.30580128489224,0.8,525,3
"26","Lasso mod 200",5.30580128489224,0.8,525,3
"27","Lasso mod 100",5.24020711513032,0.8,920,3
"28","Lasso mod 50",5.24020711513032,0.8,920,3
"29","Naive",5.98046073996633,0.2,200,3
"30","Oracle",5.14391799750112,1,1082,3
"31","Lasso",6.43942839161139,0.58,360,4
"32","Ada Lasso",6.29109311752879,0.92,1226,4
"33","Local prior",6.29109311752879,0.92,1226,4
"34","Non local",6.7792153923686,0.88,2628,4
"35","Lasso mod 10000",6.33008688584427,0.66,511,4
"36","Lasso mod 200",6.94135500362972,0.7,876,4
"37","Lasso mod 100",6.87482716582875,0.78,1150,4
"38","Lasso mod 50",6.87482716582875,0.78,1150,4
"39","Naive",6.75524877850897,0.2,200,4
"40","Oracle",5.91485018379176,1,1022,4
"41","Lasso",12.4300697802197,0.72,471,5
"42","Ada Lasso",12.6037715310117,0.9,1840,5
"43","Local prior",12.6037715310117,0.9,1840,5
"44","Non local",12.6037715310117,0.9,1840,5
"45","Lasso mod 10000",12.3658271925525,0.76,575,5
"46","Lasso mod 200",12.6227306800999,0.78,736,5
"47","Lasso mod 100",12.6227306800999,0.78,736,5
"48","Lasso mod 50",12.6522968463474,0.84,1226,5
"49","Naive",13.6891565768415,0.2,200,5
"50","Oracle",12.1634850426741,1,920,5
"51","Lasso",8.78468792897802,0.8,836,6
"52","Ada Lasso",8.79702685611409,0.84,968,6
"53","Local prior",8.23705848506711,0.94,1415,6
"54","Non local",10.3567497408747,0.84,1840,6
"55","Lasso mod 10000",8.43779730858917,0.68,613,6
"56","Lasso mod 200",8.68310954630027,0.84,1150,6
"57","Lasso mod 100",8.68310954630027,0.84,1150,6
"58","Lasso mod 50",8.68310954630027,0.84,1150,6
"59","Naive",9.43335370753726,0.2,200,6
"60","Oracle",8.23392001261559,1,1082,6
"61","Lasso",6.61467967837502,0.72,707,7
