"","metodologia","mse","accuracy","n","seed"
"1","Lasso",1.64219922213636,0.88,1150,1
"2","Ada Lasso",1.65030670955657,0.94,1840,1
"3","Local prior",1.64509838328758,0.96,2628,1
"4","Non local",1.64509838328758,0.96,2628,1
"5","Lasso mod 10000",1.64664525173623,0.86,1226,1
"6","Lasso mod 200",1.6425152448357,0.88,1314,1
"7","Lasso mod 100",1.6425152448357,0.88,1314,1
"8","Lasso mod 50",2.08148532351945,0.9,6133,1
"9","Naive",1.73250190801838,0.1,200,1
"10","Oracle",1.56561481222755,1,1672,1
"11","Lasso",7.36229887718441,0.9,1672,2
"12","Ada Lasso",7.3592854338696,0.94,2044,2
"13","Local prior",7.36241692482856,0.96,2300,2
"14","Non local",8.07144776272225,0.94,9200,2
"15","Lasso mod 10000",7.77594511454702,0.92,3680,2
"16","Lasso mod 200",7.77594511454702,0.92,3680,2
"17","Lasso mod 100",7.77594511454702,0.92,3680,2
"18","Lasso mod 50",7.77594511454702,0.92,3680,2
"19","Naive",8.50949559829297,0.1,200,2
"20","Oracle",7.35612838619812,1,2628,2
"21","Lasso",4.10377961185442,0.7,593,3
"22","Ada Lasso",4.13396711103851,0.8,1226,3
"23","Local prior",4.14105459601508,0.88,2300,3
"24","Non local",4.08898200902235,0.94,9200,3
"25","Lasso mod 10000",4.07565873952875,0.76,920,3
"26","Lasso mod 200",4.07881260784932,0.86,2628,3
"27","Lasso mod 100",4.08408749956434,0.88,3680,3
"28","Lasso mod 50",4.08736290512979,0.9,4600,3
"29","Naive",4.69659199754824,0.1,200,3
"30","Oracle",4.06989281030336,1,2044,3
"31","Lasso",3.91819798861581,0.7,484,4
"32","Ada Lasso",3.81348163606495,0.88,920,4
"33","Local prior",3.78326284033211,0.96,1840,4
"34","Non local",3.88125112946269,0.94,2300,4
"35","Lasso mod 10000",3.8546441549234,0.76,736,4
"36","Lasso mod 200",3.78143659890786,0.9,1415,4
"37","Lasso mod 100",3.78143659890786,0.9,1415,4
"38","Lasso mod 50",3.90043086630316,0.94,1840,4
"39","Naive",4.13303762369469,0.1,200,4
"40","Oracle",3.71532891712033,1,1840,4
"41","Lasso",7.5843682495149,0.9,2044,5
"42","Ada Lasso",7.6574574961386,0.92,3680,5
"43","Local prior",7.68412651313187,0.94,6133,5
"44","Non local",7.68412651313187,0.94,6133,5
"45","Lasso mod 10000",7.57124370935631,0.92,2628,5
"46","Lasso mod 200",7.55541972805452,0.94,3680,5
"47","Lasso mod 100",7.55541972805452,0.94,3680,5
"48","Lasso mod 50",7.55541972805452,0.94,3680,5
"49","Naive",8.54321825278143,0.1,200,5
"50","Oracle",7.56230336384284,1,1840,5
"51","Lasso",9.93604830563721,0.8,681,6
"52","Ada Lasso",10.2752569555087,0.96,2044,6
"53","Local prior",10.2944736859853,0.94,1533,6
"54","Non local",10.2752569555087,0.96,2044,6
"55","Lasso mod 10000",9.96054365238228,0.72,593,6
"56","Lasso mod 200",9.87317895184495,0.82,836,6
"57","Lasso mod 100",9.8787390005236,0.84,968,6
"58","Lasso mod 50",9.92746565520025,0.94,1533,6
"59","Naive",11.0995428060406,0.1,200,6
"60","Oracle",9.90533827982024,1,2044,6
"61","Lasso",8.27116172977165,0.82,1150,7
"62","Ada Lasso",8.17945167498626,0.94,2628,7
"63","Local prior",8.17945167498626,0.94,2628,7
"64","Non local",8.17945167498626,0.94,2628,7
"65","Lasso mod 10000",8.19580175990803,0.86,1672,7
"66","Lasso mod 200",8.19580175990803,0.86,1672,7
"67","Lasso mod 100",8.19580175990803,0.86,1672,7
"68","Lasso mod 50",8.19726516822344,0.9,2044,7
"69","Naive",9.0037991850912,0.1,200,7
"70","Oracle",8.18854487903756,1,1840,7
"71","Lasso",3.29695392656779,0.72,575,8
"72","Ada Lasso",3.16070870263749,0.98,1672,8
"73","Local prior",3.27731205422745,0.98,2300,8
"74","Non local",3.27731205422745,0.98,2300,8
"75","Lasso mod 10000",3.27747259042025,0.72,575,8
"76","Lasso mod 200",3.28208868496956,0.84,1226,8
"77","Lasso mod 100",3.29916593886092,0.88,1533,8
"78","Lasso mod 50",3.29916593886092,0.88,1533,8
"79","Naive",3.58391335892327,0.1,200,8
"80","Oracle",3.1609277519827,1,2044,8
"81","Lasso",4.05661558756489,0.86,1082,9
"82","Ada Lasso",4.03641903566893,0.92,1415,9
"83","Local prior",4.03574856031553,0.96,2044,9
"84","Non local",4.03574856031553,0.96,2044,9
"85","Lasso mod 10000",4.1667374299576,0.7,707,9
"86","Lasso mod 200",4.12783245411753,0.76,836,9
"87","Lasso mod 100",4.23711614439946,0.96,4600,9
"88","Lasso mod 50",4.23711614439946,0.96,4600,9
"89","Naive",4.69876610580108,0.1,200,9
"90","Oracle",4.01054824010002,1,2300,9
"91","Lasso",2.20746846996626,0.84,1672,10
"92","Ada Lasso",2.21501652222159,0.9,4600,10
"93","Local prior",2.26929167999096,0.92,18400,10
"94","Non local",2.26929167999096,0.92,18400,10
"95","Lasso mod 10000",2.26798524226553,0.86,4600,10
"96","Lasso mod 200",2.2652838876213,0.88,6133,10
"97","Lasso mod 100",2.26929167999096,0.92,18400,10
"98","Lasso mod 50",2.26929167999096,0.92,18400,10
"99","Naive",2.39785054781561,0.1,200,10
"100","Oracle",2.08317849709084,1,2044,10
"101","Lasso",10.3431171905779,0.76,707,11
"102","Ada Lasso",10.2999804850913,0.92,2044,11
"103","Local prior",10.2999804850913,0.92,2044,11
