"","metodologia","mse","accuracy","n","seed"
"1","Lasso",3.64120863929218,0.9,1226,1
"2","Ada Lasso",3.63102027247413,0.9,1415,1
"3","Local prior",3.64348943910379,0.96,2628,1
"4","Non local",3.8165969984345,0.94,3680,1
"5","Lasso mod 10000",3.61836773964702,0.82,1022,1
"6","Lasso mod 200",3.61836773964702,0.82,1022,1
"7","Lasso mod 100",4.08424719948159,0.9,6133,1
"8","Lasso mod 50",3.6339844868781,0.8,876,1
"9","Naive",3.86124819274049,0.1,200,1
"10","Oracle",3.56318092445536,1,1672,1
"11","Lasso",18.3716910661581,0.88,2044,2
"12","Ada Lasso",18.2848889367292,0.92,2628,2
"13","Local prior",18.7715483248821,0.9,3066,2
"14","Non local",18.7343555692762,0.94,9200,2
"15","Lasso mod 10000",18.4018898805057,0.84,1672,2
"16","Lasso mod 200",18.2912430963363,0.92,3680,2
"17","Lasso mod 100",18.2912430963363,0.92,3680,2
"18","Lasso mod 50",18.2912430963363,0.92,3680,2
"19","Naive",21.8376469083354,0.1,200,2
"20","Oracle",17.500365407544,1,2628,2
"21","Lasso",10.1220121462915,0.68,613,3
"22","Ada Lasso",9.90641859819395,0.82,1415,3
"23","Local prior",9.93040321664425,0.86,3680,3
"24","Non local",9.88993855131952,0.92,18400,3
"25","Lasso mod 10000",9.83186130067206,0.84,2044,3
"26","Lasso mod 200",9.7972918395514,0.86,2628,3
"27","Lasso mod 100",9.7972918395514,0.86,2628,3
"28","Lasso mod 50",9.83186130067206,0.84,2044,3
"29","Naive",10.9855916799896,0.1,200,3
"30","Oracle",9.68514871179522,1,2044,3
"31","Lasso",8.46926448426318,0.68,484,4
"32","Ada Lasso",8.15338816842942,0.88,920,4
"33","Local prior",8.09041821390674,0.94,2300,4
"34","Non local",8.34662481527821,0.96,3066,4
"35","Lasso mod 10000",8.27853080281307,0.78,766,4
"36","Lasso mod 200",8.17671581150989,0.8,836,4
"37","Lasso mod 100",8.42454263832507,0.9,2044,4
"38","Lasso mod 50",8.27853080281307,0.78,766,4
"39","Naive",9.50596564561445,0.1,200,4
"40","Oracle",7.98447368687028,1,1840,4
"41","Lasso",18.2906804454756,0.9,2628,5
"42","Ada Lasso",18.2557245158126,0.92,3680,5
"43","Local prior",18.2944735523505,0.94,6133,5
"44","Non local",19.3655956468668,0.9,6133,5
"45","Lasso mod 10000",18.2593897164965,0.96,4600,5
"46","Lasso mod 200",18.2593897164965,0.96,4600,5
"47","Lasso mod 100",18.2593897164965,0.96,4600,5
"48","Lasso mod 50",18.2593897164965,0.96,4600,5
"49","Naive",19.5640192718131,0.1,200,5
