"","metodologia","mse","accuracy","n","seed"
"1","Lasso",62.8866545219793,0.62,557,1
"2","Ada Lasso",60.7586442407092,0.62,1150,1
"3","Local prior",60.7964094869743,0.64,1415,1
"4","Non local",62.6648158712474,0.64,2300,1
"5","Lasso mod 10000",61.6226175229496,0.58,460,1
"6","Lasso mod 200",62.2132293697987,0.54,525,1
"7","Lasso mod 100",62.2132293697987,0.54,525,1
"8","Lasso mod 50",61.6226175229496,0.58,460,1
"9","Naive",67.1460185365995,0.4,200,1
"10","Oracle",60.454955777279,1,471,1
"11","Lasso",53.3314092817403,0.64,876,2
"12","Ada Lasso",55.0998624807898,0.62,1840,2
"13","Local prior",54.9147258874088,0.66,2044,2
"14","Non local",56.7931515853982,0.64,4600,2
"15","Lasso mod 10000",52.4722746866542,0.7,541,2
"16","Lasso mod 200",51.6704093348391,0.68,968,2
"17","Lasso mod 100",51.6704093348391,0.68,968,2
"18","Lasso mod 50",51.9552963777298,0.72,681,2
"19","Naive",58.1507555942165,0.4,200,2
"20","Oracle",51.5689960205932,1,557,2
"21","Lasso",70.6685625624254,0.6,497,3
"22","Ada Lasso",69.9558499249783,0.66,681,3
"23","Local prior",72.2744034937545,0.62,1226,3
"24","Non local",77.529935141744,0.58,1672,3
"25","Lasso mod 10000",70.4583247714914,0.68,736,3
"26","Lasso mod 200",71.5809212475672,0.64,920,3
"27","Lasso mod 100",71.360529716394,0.68,1226,3
"28","Lasso mod 50",71.8765229744567,0.6,497,3
"29","Naive",79.1454950381752,0.4,200,3
"30","Oracle",69.3637615269903,1,525,3
"31","Lasso",56.5914073458411,0.74,511,4
"32","Ada Lasso",56.6388215803265,0.72,681,4
"33","Local prior",61.1798002373854,0.66,2300,4
"34","Non local",69.8426413746719,0.58,9200,4
"35","Lasso mod 10000",57.5979455826338,0.62,541,4
"36","Lasso mod 200",57.7748562564285,0.62,657,4
"37","Lasso mod 100",61.5963067455611,0.62,1840,4
"38","Lasso mod 50",57.5979455826338,0.62,541,4
"39","Naive",63.7655121069988,0.4,200,4
"40","Oracle",55.494329417473,1,471,4
"41","Lasso",21.083656529357,0.56,283,5
"42","Ada Lasso",21.1008013766226,0.68,736,5
"43","Local prior",21.2517682749106,0.66,1226,5
"44","Non local",21.6189631435938,0.66,1226,5
"45","Lasso mod 10000",21.3682481558751,0.5,296,5
"46","Lasso mod 200",20.6870905977534,0.54,400,5
"47","Lasso mod 100",20.9158739439489,0.62,766,5
"48","Lasso mod 50",21.3682481558751,0.5,296,5
"49","Naive",21.8588543975426,0.4,200,5
"50","Oracle",18.8653187876319,1,511,5
"51","Lasso",57.3311038922942,0.62,541,6
"52","Ada Lasso",57.2307060037447,0.64,575,6
"53","Local prior",58.6624497968867,0.66,3066,6
"54","Non local",66.62799790879,0.6,3066,6
"55","Lasso mod 10000",57.2373238327564,0.66,613,6
"56","Lasso mod 200",57.1830039536815,0.68,657,6
"57","Lasso mod 100",57.1830039536815,0.68,657,6
"58","Lasso mod 50",57.2373238327564,0.66,613,6
"59","Naive",59.2244662959109,0.4,200,6
"60","Oracle",54.2846191099454,1,541,6
"61","Lasso",48.8074768890313,0.72,575,7
"62","Ada Lasso",48.7519011940049,0.72,968,7
"63","Local prior",48.9268314405499,0.68,1533,7
"64","Non local",50.1571431601025,0.68,2628,7
"65","Lasso mod 10000",48.5035027543563,0.74,657,7
"66","Lasso mod 200",48.5035027543563,0.74,657,7
"67","Lasso mod 100",48.5035027543563,0.74,657,7
"68","Lasso mod 50",48.5035027543563,0.74,657,7
"69","Naive",53.7508685939152,0.4,200,7
"70","Oracle",47.5333762712856,1,525,7
"71","Lasso",53.5136112011448,0.64,707,8
"72","Ada Lasso",55.7551201527158,0.7,1022,8
"73","Local prior",57.2308806096589,0.66,2300,8
"74","Non local",55.4103725380954,0.68,3680,8
"75","Lasso mod 10000",52.8065810862521,0.68,736,8
"76","Lasso mod 200",53.1256946261937,0.64,836,8
"77","Lasso mod 100",53.1256946261937,0.64,836,8
"78","Lasso mod 50",52.8065810862521,0.68,736,8
"79","Naive",53.7549124707895,0.4,200,8
"80","Oracle",51.2181898713524,1,575,8
"81","Lasso",44.8480467018511,0.64,736,9
"82","Ada Lasso",44.7988339098147,0.62,707,9
"83","Local prior",45.3819077915711,0.62,1314,9
"84","Non local",45.4988085908764,0.66,1840,9
"85","Lasso mod 10000",45.4431640522669,0.58,484,9
"86","Lasso mod 200",45.5447051486139,0.56,541,9
"87","Lasso mod 100",44.9715395221164,0.6,681,9
"88","Lasso mod 50",45.4431640522669,0.58,484,9
"89","Naive",50.4589656816431,0.4,200,9
"90","Oracle",42.6513868249896,1,448,9
"91","Lasso",49.274264445259,0.66,766,10
"92","Ada Lasso",51.6850287953553,0.66,1533,10
"93","Local prior",51.1734295968813,0.66,1840,10
"94","Non local",56.7850561547715,0.58,3066,10
"95","Lasso mod 10000",47.7821280595219,0.66,613,10
"96","Lasso mod 200",48.152361029019,0.7,736,10
"97","Lasso mod 100",48.152361029019,0.7,736,10
"98","Lasso mod 50",47.7821280595219,0.66,613,10
"99","Naive",48.5674362539472,0.4,200,10
"100","Oracle",45.1604353452313,1,511,10
"101","Lasso",50.0492045912628,0.64,1082,11
"102","Ada Lasso",52.8321377160969,0.66,2300,11
"103","Local prior",55.2190644540677,0.64,3066,11
"104","Non local",59.6044567456147,0.62,9200,11
"105","Lasso mod 10000",51.0827539254524,0.6,1226,11
"106","Lasso mod 200",51.9573550462385,0.6,1533,11
"107","Lasso mod 100",51.9573550462385,0.6,1533,11
"108","Lasso mod 50",51.0827539254524,0.6,1226,11
"109","Naive",52.5472199476051,0.4,200,11
"110","Oracle",47.2432806592241,1,497,11
"111","Lasso",61.9280543969231,0.64,408,12
"112","Ada Lasso",63.7743352034982,0.68,1314,12
"113","Local prior",64.010808287511,0.66,1415,12
"114","Non local",63.3035970958986,0.66,2628,12
"115","Lasso mod 10000",62.2363702782383,0.62,448,12
"116","Lasso mod 200",61.0824511796951,0.66,876,12
"117","Lasso mod 100",61.0824511796951,0.66,876,12
"118","Lasso mod 50",63.2094030235917,0.64,400,12
"119","Naive",68.5176508634295,0.4,200,12
"120","Oracle",59.1694461162606,1,497,12
"121","Lasso",36.0879227305792,0.62,375,13
"122","Ada Lasso",36.9634398143113,0.68,968,13
"123","Local prior",37.7144379975722,0.68,1314,13
"124","Non local",37.656245827883,0.7,1533,13
"125","Lasso mod 10000",36.6209663733547,0.58,391,13
"126","Lasso mod 200",36.3106096484336,0.62,427,13
"127","Lasso mod 100",36.2221607637499,0.64,438,13
"128","Lasso mod 50",36.6209663733547,0.58,391,13
"129","Naive",39.8829288615859,0.4,200,13
"130","Oracle",35.1766912830629,1,497,13
"131","Lasso",53.7966463076521,0.7,766,14
"132","Ada Lasso",54.1116845856157,0.7,876,14
"133","Local prior",57.3466483863463,0.64,2628,14
"134","Non local",59.9174104859127,0.64,9200,14
"135","Lasso mod 10000",58.2460310892226,0.7,3680,14
"136","Lasso mod 200",58.2460310892226,0.7,3680,14
"137","Lasso mod 100",58.2460310892226,0.7,3680,14
"138","Lasso mod 50",58.2460310892226,0.7,3680,14
"139","Naive",57.3295593457711,0.4,200,14
"140","Oracle",52.4246318228405,1,541,14
"141","Lasso",68.120294892959,0.68,766,15
"142","Ada Lasso",68.3550781085218,0.66,1082,15
"143","Local prior",79.3924467046034,0.64,2044,15
"144","Non local",78.3737805645928,0.58,3066,15
"145","Lasso mod 10000",68.4138647566629,0.7,541,15
"146","Lasso mod 200",68.7623806873507,0.68,657,15
"147","Lasso mod 100",68.7623806873507,0.68,657,15
"148","Lasso mod 50",68.4783631231244,0.66,613,15
"149","Naive",74.5558408574524,0.4,200,15
"150","Oracle",65.773247296767,1,541,15
"151","Lasso",31.4717346508937,0.62,593,16
"152","Ada Lasso",31.657731517911,0.62,681,16
"153","Local prior",35.7373243691414,0.66,4600,16
"154","Non local",34.966670540861,0.64,6133,16
"155","Lasso mod 10000",31.3069222049212,0.72,1022,16
"156","Lasso mod 200",31.3069222049212,0.72,1022,16
"157","Lasso mod 100",31.3069222049212,0.72,1022,16
"158","Lasso mod 50",31.3069222049212,0.72,1022,16
"159","Naive",33.8629248642705,0.4,200,16
"160","Oracle",29.0696799128241,1,525,16
"161","Lasso",76.2932015851537,0.54,383,17
"162","Ada Lasso",73.6713092785051,0.64,800,17
"163","Local prior",88.1058762966884,0.6,1840,17
"164","Non local",88.032864262199,0.62,9200,17
"165","Lasso mod 10000",73.5398632135334,0.72,736,17
"166","Lasso mod 200",73.5398632135334,0.72,736,17
"167","Lasso mod 100",73.5398632135334,0.72,736,17
"168","Lasso mod 50",71.7410258520178,0.66,511,17
"169","Naive",79.6560759278256,0.4,200,17
"170","Oracle",70.7206320454914,1,484,17
"171","Lasso",54.1010447912981,0.68,920,18
"172","Ada Lasso",54.2223180040718,0.72,1533,18
"173","Local prior",58.866595716882,0.68,2300,18
"174","Non local",58.6424990131211,0.66,3066,18
"175","Lasso mod 10000",54.7319490919048,0.7,418,18
"176","Lasso mod 200",53.3203433094481,0.66,1150,18
"177","Lasso mod 100",53.1922215235979,0.68,1082,18
"178","Lasso mod 50",54.6903974374778,0.7,391,18
"179","Naive",56.9984051334453,0.4,200,18
"180","Oracle",52.3697858633716,1,593,18
"181","Lasso",45.9892368113167,0.56,575,19
"182","Ada Lasso",48.3374919737578,0.64,4600,19
"183","Local prior",46.279471682293,0.62,1840,19
"184","Non local",48.4589146582939,0.62,9200,19
"185","Lasso mod 10000",46.6614477484001,0.6,1415,19
"186","Lasso mod 200",47.0515449179516,0.6,1840,19
"187","Lasso mod 100",47.1341828460842,0.58,1672,19
"188","Lasso mod 50",46.6614477484001,0.6,1415,19
"189","Naive",51.3269817882404,0.4,200,19
"190","Oracle",44.0306364723639,1,497,19
"191","Lasso",59.3978003131126,0.64,484,20
"192","Ada Lasso",58.5038263162725,0.68,681,20
"193","Local prior",60.0850273102746,0.72,1150,20
"194","Non local",67.5657843087129,0.64,4600,20
"195","Lasso mod 10000",59.3717272246284,0.6,471,20
"196","Lasso mod 200",59.3193619914236,0.58,497,20
"197","Lasso mod 100",58.8671233092262,0.68,657,20
"198","Lasso mod 50",59.3717272246284,0.6,471,20
"199","Naive",61.3380054313647,0.4,200,20
"200","Oracle",57.5534264186114,1,471,20
"201","Lasso",34.7568221725577,0.68,408,21
"202","Ada Lasso",36.7879732685219,0.66,1150,21
"203","Local prior",36.7343880695657,0.68,1314,21
"204","Non local",38.437194543486,0.62,1840,21
"205","Lasso mod 10000",34.6711899255584,0.68,471,21
"206","Lasso mod 200",35.0480648631074,0.68,634,21
"207","Lasso mod 100",34.979761676975,0.72,707,21
"208","Lasso mod 50",35.1415731006636,0.7,438,21
"209","Naive",38.9617985331415,0.4,200,21
"210","Oracle",33.8204289784411,1,511,21
"211","Lasso",58.4754543512094,0.58,460,22
"212","Ada Lasso",56.2830404666489,0.66,657,22
"213","Local prior",61.6788641912216,0.68,2628,22
"214","Non local",66.3265553685508,0.64,6133,22
"215","Lasso mod 10000",59.3489687610482,0.62,400,22
"216","Lasso mod 200",55.1112183069534,0.62,920,22
"217","Lasso mod 100",59.6801494762217,0.68,2044,22
"218","Lasso mod 50",55.3687759733205,0.62,766,22
"219","Naive",62.1163571621185,0.4,200,22
"220","Oracle",55.0108102277101,1,575,22
"221","Lasso",45.1099092001389,0.52,497,23
"222","Ada Lasso",45.5750365741232,0.58,1672,23
"223","Local prior",46.5931915568635,0.66,3066,23
"224","Non local",46.5931915568635,0.66,3066,23
"225","Lasso mod 10000",44.9527859061254,0.54,511,23
"226","Lasso mod 200",44.4383710680069,0.6,876,23
"227","Lasso mod 100",44.344853343069,0.62,968,23
"228","Lasso mod 50",44.9527859061254,0.54,511,23
"229","Naive",48.3646270693367,0.4,200,23
"230","Oracle",44.0049507590945,1,484,23
"231","Lasso",41.5902158265573,0.66,736,24
"232","Ada Lasso",44.9265954474644,0.62,2044,24
"233","Local prior",45.0050966094584,0.6,2628,24
"234","Non local",45.2392362099432,0.62,3680,24
"235","Lasso mod 10000",42.3281914435423,0.6,836,24
"236","Lasso mod 200",42.3281914435423,0.6,836,24
"237","Lasso mod 100",42.3281914435423,0.6,836,24
"238","Lasso mod 50",42.3281914435423,0.6,836,24
"239","Naive",44.5200508752514,0.4,200,24
"240","Oracle",41.0924355107025,1,511,24
"241","Lasso",112.969327717787,0.62,484,25
"242","Ada Lasso",109.953480663259,0.68,1226,25
"243","Local prior",110.222629052386,0.7,2044,25
"244","Non local",117.528196526534,0.66,2628,25
"245","Lasso mod 10000",110.719210391527,0.6,707,25
"246","Lasso mod 200",110.719210391527,0.6,707,25
"247","Lasso mod 100",112.849921205294,0.58,1672,25
"248","Lasso mod 50",110.719210391527,0.6,707,25
"249","Naive",122.526023858601,0.4,200,25
"250","Oracle",105.882057019614,1,497,25
"251","Lasso",22.4324665547132,0.68,575,26
"252","Ada Lasso",23.2509339096886,0.74,1082,26
"253","Local prior",26.7608023407836,0.66,2044,26
"254","Non local",24.1265478063958,0.68,1840,26
"255","Lasso mod 10000",22.5491946685475,0.58,613,26
"256","Lasso mod 200",25.6673255321825,0.58,6133,26
"257","Lasso mod 100",25.6673255321825,0.58,6133,26
"258","Lasso mod 50",22.5491946685475,0.58,613,26
"259","Naive",23.8602352788827,0.4,200,26
"260","Oracle",21.2489423180116,1,438,26
"261","Lasso",49.2227368296806,0.6,634,27
"262","Ada Lasso",49.2944263087854,0.64,800,27
"263","Local prior",49.1791753137627,0.7,1314,27
"264","Non local",51.096616202219,0.66,1672,27
"265","Lasso mod 10000",48.6533546955819,0.64,575,27
"266","Lasso mod 200",48.6533546955819,0.64,575,27
"267","Lasso mod 100",48.6533546955819,0.64,575,27
"268","Lasso mod 50",49.3756047176299,0.64,525,27
"269","Naive",55.2797747351615,0.4,200,27
"270","Oracle",48.8696555288673,1,557,27
"271","Lasso",62.2876337277988,0.62,408,28
"272","Ada Lasso",66.0586041974487,0.66,2300,28
"273","Local prior",67.2842404703274,0.6,1415,28
"274","Non local",68.5812433879786,0.64,2300,28
"275","Lasso mod 10000",61.6600796981363,0.62,460,28
"276","Lasso mod 200",61.6600796981363,0.62,460,28
"277","Lasso mod 100",60.8307524881634,0.58,525,28
"278","Lasso mod 50",61.6600796981363,0.62,460,28
"279","Naive",66.1482112182812,0.4,200,28
"280","Oracle",58.6921774162694,1,484,28
"281","Lasso",30.8337032502516,0.74,920,29
"282","Ada Lasso",30.829919067515,0.76,1022,29
"283","Local prior",32.5924640821427,0.66,2628,29
"284","Non local",32.5924640821427,0.66,2628,29
"285","Lasso mod 10000",31.004696177556,0.68,1022,29
"286","Lasso mod 200",31.1943938017352,0.66,1150,29
"287","Lasso mod 100",31.1943938017352,0.66,1150,29
"288","Lasso mod 50",31.1943938017352,0.66,1150,29
"289","Naive",32.6046416335859,0.4,200,29
"290","Oracle",28.9400635124539,1,557,29
"291","Lasso",59.832152722023,0.62,968,30
"292","Ada Lasso",60.4322283666331,0.6,1533,30
"293","Local prior",64.7391699666346,0.6,4600,30
"294","Non local",62.3356458076874,0.62,3680,30
"295","Lasso mod 10000",61.0057443712576,0.68,1533,30
"296","Lasso mod 200",61.0922504955054,0.7,1840,30
"297","Lasso mod 100",61.8060974155819,0.68,2300,30
"298","Lasso mod 50",61.0057443712576,0.68,1533,30
"299","Naive",58.6358840126312,0.4,200,30
"300","Oracle",53.9636688444043,1,557,30
"301","Lasso",26.9873555529771,0.66,471,31
"302","Ada Lasso",27.3339757354363,0.72,541,31
"303","Local prior",27.508879530365,0.74,1314,31
"304","Non local",36.6284252399889,0.6,Inf,31
"305","Lasso mod 10000",27.1981976427346,0.7,511,31
"306","Lasso mod 200",25.8514494874102,0.74,657,31
"307","Lasso mod 100",25.8514494874102,0.74,657,31
"308","Lasso mod 50",27.1981976427346,0.7,511,31
"309","Naive",28.2756880717198,0.4,200,31
"310","Oracle",25.5346068778612,1,511,31
"311","Lasso",41.2228498357676,0.52,557,32
"312","Ada Lasso",39.6321215313264,0.64,1415,32
"313","Local prior",40.1026741550312,0.6,3066,32
"314","Non local",40.1026741550312,0.6,3066,32
"315","Lasso mod 10000",39.0696440766886,0.58,800,32
"316","Lasso mod 200",39.9478852335684,0.54,1840,32
"317","Lasso mod 100",39.5127397565262,0.58,3680,32
"318","Lasso mod 50",39.0725157548251,0.6,1082,32
"319","Naive",42.6325336415298,0.4,200,32
"320","Oracle",38.3531372189654,1,511,32
"321","Lasso",46.3776361177458,0.6,448,33
"322","Ada Lasso",46.2562649636637,0.66,766,33
"323","Local prior",46.6581339951301,0.7,2300,33
"324","Non local",48.7655794605451,0.64,6133,33
"325","Lasso mod 10000",46.8096554076168,0.64,1150,33
"326","Lasso mod 200",46.7907740687619,0.62,1226,33
"327","Lasso mod 100",46.7907740687619,0.62,1226,33
"328","Lasso mod 50",46.7907740687619,0.62,1226,33
"329","Naive",49.8595386469815,0.4,200,33
"330","Oracle",44.8932214217414,1,484,33
"331","Lasso",50.261240274156,0.62,541,34
"332","Ada Lasso",50.8701473117679,0.6,557,34
"333","Local prior",54.5009993144918,0.66,1533,34
"334","Non local",58.6340435727859,0.62,4600,34
"335","Lasso mod 10000",50.7260493814128,0.64,876,34
"336","Lasso mod 200",51.2325235716401,0.66,968,34
"337","Lasso mod 100",51.2325235716401,0.66,968,34
"338","Lasso mod 50",50.7275101601713,0.62,836,34
"339","Naive",53.6078220771493,0.4,200,34
"340","Oracle",50.3377671207322,1,511,34
"341","Lasso",30.6719060887057,0.66,634,35
"342","Ada Lasso",30.2525049666458,0.7,876,35
"343","Local prior",33.9639512437079,0.66,2044,35
"344","Non local",31.9778173971581,0.68,3066,35
"345","Lasso mod 10000",30.516629361969,0.68,800,35
"346","Lasso mod 200",30.516629361969,0.68,800,35
"347","Lasso mod 100",33.455639086982,0.6,3066,35
"348","Lasso mod 50",30.516629361969,0.68,800,35
"349","Naive",31.4399333528651,0.4,200,35
"350","Oracle",28.6823775288915,1,511,35
"351","Lasso",63.8070519731001,0.7,920,36
"352","Ada Lasso",64.0314527606834,0.72,1314,36
"353","Local prior",66.0164893124988,0.7,2044,36
"354","Non local",71.6023549833588,0.64,6133,36
"355","Lasso mod 10000",63.6148098942976,0.74,1150,36
"356","Lasso mod 200",63.6148098942976,0.74,1150,36
"357","Lasso mod 100",63.6148098942976,0.74,1150,36
"358","Lasso mod 50",63.6148098942976,0.74,1150,36
"359","Naive",70.7633916067239,0.4,200,36
"360","Oracle",63.824217731871,1,557,36
"361","Lasso",13.8731923225241,0.82,557,37
"362","Ada Lasso",14.1729568482536,0.82,920,37
"363","Local prior",14.2978350564949,0.78,1150,37
"364","Non local",14.9166046917078,0.7,2300,37
"365","Lasso mod 10000",14.0039451439438,0.76,525,37
"366","Lasso mod 200",14.1252582861468,0.74,657,37
"367","Lasso mod 100",14.1517489394881,0.72,707,37
"368","Lasso mod 50",13.9673293058953,0.74,575,37
"369","Naive",15.3556410314369,0.4,200,37
"370","Oracle",13.9068770269457,1,525,37
"371","Lasso",58.3861963277437,0.62,920,38
"372","Ada Lasso",58.2090095020693,0.64,2628,38
"373","Local prior",60.9550865437658,0.66,3680,38
"374","Non local",60.9550865437658,0.66,3680,38
"375","Lasso mod 10000",58.1282531211753,0.66,1022,38
"376","Lasso mod 200",58.1282531211753,0.66,1022,38
"377","Lasso mod 100",58.775001370336,0.66,1226,38
"378","Lasso mod 50",58.1282531211753,0.66,1022,38
"379","Naive",58.2308626079763,0.4,200,38
"380","Oracle",55.477983659159,1,497,38
"381","Lasso",72.7097168585414,0.52,368,39
"382","Ada Lasso",72.5736620032544,0.68,968,39
"383","Local prior",76.0437639406491,0.7,1840,39
"384","Non local",78.5467163343537,0.64,3066,39
"385","Lasso mod 10000",72.0602328215706,0.62,575,39
"386","Lasso mod 200",71.7164949638774,0.64,707,39
"387","Lasso mod 100",71.6910494124159,0.68,800,39
"388","Lasso mod 50",71.6067807898181,0.62,657,39
"389","Naive",75.1531206685218,0.4,200,39
"390","Oracle",69.7807005161892,1,541,39
"391","Lasso",25.1074218162091,0.64,613,40
"392","Ada Lasso",25.0617964231455,0.68,836,40
"393","Local prior",27.0850396889755,0.64,2300,40
"394","Non local",29.0971390098669,0.66,2628,40
"395","Lasso mod 10000",25.111875559335,0.68,800,40
"396","Lasso mod 200",25.111875559335,0.68,800,40
"397","Lasso mod 100",25.955320108931,0.66,876,40
"398","Lasso mod 50",25.1508681330093,0.7,736,40
"399","Naive",27.6578571602249,0.4,200,40
"400","Oracle",24.3826799513157,1,497,40
"401","Lasso",40.5743986995597,0.66,511,41
"402","Ada Lasso",41.8188996363456,0.72,920,41
"403","Local prior",43.2429823907155,0.66,1226,41
"404","Non local",49.9847988330131,0.62,18400,41
"405","Lasso mod 10000",40.8772146357448,0.64,593,41
"406","Lasso mod 200",41.2056126063105,0.74,766,41
"407","Lasso mod 100",41.2056126063105,0.74,766,41
"408","Lasso mod 50",41.2056126063105,0.74,766,41
"409","Naive",43.1653515721485,0.4,200,41
"410","Oracle",38.3636593947795,1,511,41
"411","Lasso",34.9453177490339,0.56,296,42
"412","Ada Lasso",34.9346710837873,0.72,968,42
"413","Local prior",35.9282162218403,0.7,1226,42
"414","Non local",43.4605901116511,0.62,9200,42
"415","Lasso mod 10000",34.6556317468177,0.5,301,42
"416","Lasso mod 200",33.6436807029582,0.72,1022,42
"417","Lasso mod 100",33.6436807029582,0.72,1022,42
"418","Lasso mod 50",34.6556317468177,0.5,301,42
"419","Naive",36.379137304647,0.4,200,42
"420","Oracle",32.1549167168633,1,497,42
"421","Lasso",25.9351306930109,0.64,575,43
"422","Ada Lasso",26.1347039613987,0.64,800,43
"423","Local prior",29.1378853829741,0.64,3680,43
"424","Non local",29.5043932320385,0.62,2628,43
"425","Lasso mod 10000",26.2249037274412,0.52,920,43
"426","Lasso mod 200",29.6544770488714,0.52,2300,43
"427","Lasso mod 100",29.6544770488714,0.52,2300,43
"428","Lasso mod 50",26.2249037274412,0.52,920,43
"429","Naive",27.3792621012729,0.4,200,43
"430","Oracle",24.7396093780152,1,448,43
"431","Lasso",46.6127223869927,0.62,1150,44
"432","Ada Lasso",46.3493482433903,0.64,2044,44
"433","Local prior",46.989964500336,0.64,2628,44
"434","Non local",47.1852375157196,0.64,4600,44
"435","Lasso mod 10000",46.4986264774979,0.62,876,44
"436","Lasso mod 200",46.6811088105888,0.6,1150,44
"437","Lasso mod 100",46.5305995966427,0.62,1226,44
"438","Lasso mod 50",46.2534121046747,0.62,1022,44
"439","Naive",50.2207746443665,0.4,200,44
"440","Oracle",45.1189232783947,1,497,44
"441","Lasso",38.7044718357475,0.72,707,45
"442","Ada Lasso",39.4095208893922,0.68,2300,45
"443","Local prior",39.4095208893922,0.68,2300,45
"444","Non local",42.3084536583961,0.64,6133,45
"445","Lasso mod 10000",37.080330733377,0.7,766,45
"446","Lasso mod 200",39.16557873283,0.64,1672,45
"447","Lasso mod 100",41.3689881132432,0.6,3680,45
"448","Lasso mod 50",37.29428000468,0.68,736,45
"449","Naive",40.4927313297326,0.4,200,45
"450","Oracle",36.8508847924334,1,511,45
"451","Lasso",16.4065573669588,0.68,634,46
"452","Ada Lasso",17.3068537055959,0.68,1314,46
"453","Local prior",18.3618830436175,0.68,3066,46
"454","Non local",19.0698753991242,0.62,2628,46
"455","Lasso mod 10000",16.0883609184891,0.64,593,46
"456","Lasso mod 200",16.5687453632613,0.64,1314,46
"457","Lasso mod 100",16.5687453632613,0.64,1314,46
"458","Lasso mod 50",16.0883609184891,0.64,593,46
"459","Naive",16.3277133676552,0.4,200,46
"460","Oracle",14.440658707439,1,448,46
"461","Lasso",37.1139372068723,0.66,511,47
"462","Ada Lasso",37.591386463216,0.74,766,47
"463","Local prior",37.5695654034388,0.74,1226,47
"464","Non local",39.0003680689968,0.68,1672,47
"465","Lasso mod 10000",37.9459719024531,0.6,511,47
"466","Lasso mod 200",37.3026614755807,0.6,657,47
"467","Lasso mod 100",37.3026614755807,0.6,657,47
"468","Lasso mod 50",37.5481962123592,0.6,575,47
"469","Naive",42.4340350031827,0.4,200,47
"470","Oracle",37.0183935582108,1,541,47
"471","Lasso",143.618324514347,0.72,575,48
"472","Ada Lasso",147.240155366908,0.72,920,48
"473","Local prior",155.992275538536,0.7,1840,48
"474","Non local",163.883280409642,0.64,6133,48
"475","Lasso mod 10000",145.367285790455,0.72,736,48
"476","Lasso mod 200",143.833494943625,0.72,876,48
"477","Lasso mod 100",144.81296748998,0.7,968,48
"478","Lasso mod 50",143.833494943625,0.72,876,48
"479","Naive",147.064466923531,0.4,200,48
"480","Oracle",141.394408489238,1,471,48
"481","Lasso",93.2727196095644,0.62,1150,49
"482","Ada Lasso",95.8383958977506,0.62,9200,49
"483","Local prior",93.9608268265311,0.58,3066,49
"484","Non local",95.8383958977506,0.62,9200,49
"485","Lasso mod 10000",94.7289918740907,0.54,634,49
"486","Lasso mod 200",94.470643588828,0.52,681,49
"487","Lasso mod 100",94.860197939926,0.56,736,49
"488","Lasso mod 50",94.470643588828,0.52,681,49
"489","Naive",97.7782868871568,0.4,200,49
"490","Oracle",92.0544861301758,1,525,49
"491","Lasso",99.4989384557627,0.7,368,50
"492","Ada Lasso",96.5957055427263,0.72,681,50
"493","Local prior",104.728131696813,0.7,1533,50
"494","Non local",101.938382454266,0.7,2044,50
"495","Lasso mod 10000",98.946990256759,0.7,438,50
"496","Lasso mod 200",97.5627160278092,0.74,484,50
"497","Lasso mod 100",96.4419429291588,0.76,511,50
"498","Lasso mod 50",98.946990256759,0.7,438,50
