"","metodologia","mse","accuracy","n","seed"
"1","Lasso",88.5949118362399,0.38,736,1
"2","Ada Lasso",88.5587701770887,0.32,1022,1
"3","Local prior",95.9084997608618,0.24,2300,1
"4","Non local",96.4053433216247,0.24,9200,1
"5","Lasso mod 10000",90.8514693035254,0.3,1314,1
"6","Lasso mod 200",90.8514693035254,0.3,1314,1
"7","Lasso mod 100",90.8514693035254,0.3,1314,1
"8","Lasso mod 50",90.8514693035254,0.3,1314,1
"9","Naive",88.5984609527904,0.8,200,1
"10","Oracle",86.45680115211,1,245,1
"11","Lasso",102.058171730405,0.42,634,2
"12","Ada Lasso",102.602051508147,0.4,707,2
"13","Local prior",122.32502171635,0.26,3066,2
"14","Non local",121.652318376011,0.24,6133,2
"15","Lasso mod 10000",101.942152248322,0.38,1533,2
"16","Lasso mod 200",101.942152248322,0.38,1533,2
"17","Lasso mod 100",101.942152248322,0.38,1533,2
"18","Lasso mod 50",101.39782772712,0.44,1022,2
"19","Naive",100.516543175819,0.8,200,2
"20","Oracle",97.7833423936575,1,252,2
"21","Lasso",83.447727320782,0.4,593,3
"22","Ada Lasso",83.8378835810677,0.42,613,3
"23","Local prior",85.63558178527,0.28,2300,3
"24","Non local",90.4149965856508,0.22,3680,3
"25","Lasso mod 10000",87.5567004790894,0.34,1226,3
"26","Lasso mod 200",87.5567004790894,0.34,1226,3
"27","Lasso mod 100",88.591132538344,0.3,1533,3
"28","Lasso mod 50",87.5567004790894,0.34,1226,3
"29","Naive",86.1232160027407,0.8,200,3
"30","Oracle",84.3445655467611,1,245,3
"31","Lasso",116.984491621227,0.5,497,4
"32","Ada Lasso",118.025202924095,0.44,613,4
"33","Local prior",144.660178930452,0.28,3066,4
"34","Non local",150.565041612217,0.24,2628,4
"35","Lasso mod 10000",120.325063621945,0.44,575,4
"36","Lasso mod 200",124.903408919385,0.46,707,4
"37","Lasso mod 100",124.903408919385,0.46,707,4
"38","Lasso mod 50",120.325063621945,0.44,575,4
"39","Naive",120.550332418445,0.8,200,4
"40","Oracle",115.678520155045,1,255,4
"41","Lasso",40.9629345387179,0.58,511,5
"42","Ada Lasso",43.3058661558909,0.34,1415,5
"43","Local prior",44.5713714026379,0.28,2628,5
"44","Non local",50.0332550885695,0.22,18400,5
"45","Lasso mod 10000",40.3993551720414,0.58,497,5
"46","Lasso mod 200",45.6568882645679,0.34,2628,5
"47","Lasso mod 100",45.9213614328007,0.32,3066,5
"48","Lasso mod 50",40.3993551720414,0.58,497,5
"49","Naive",44.0889548355762,0.8,200,5
"50","Oracle",41.7983725473512,1,262,5
"51","Lasso",109.190435236362,0.56,460,6
"52","Ada Lasso",108.916883141543,0.52,525,6
"53","Local prior",114.423985237669,0.36,1533,6
"54","Non local",114.750664592819,0.34,1840,6
"55","Lasso mod 10000",107.898950340905,0.52,657,6
"56","Lasso mod 200",107.898950340905,0.52,657,6
"57","Lasso mod 100",107.898950340905,0.52,657,6
"58","Lasso mod 50",107.898950340905,0.52,657,6
"59","Naive",116.173510793251,0.8,200,6
"60","Oracle",109.533527305903,1,259,6
"61","Lasso",72.4768464250576,0.56,460,7
"62","Ada Lasso",76.4315367753124,0.38,1314,7
"63","Local prior",77.7363329888091,0.36,1415,7
"64","Non local",79.1828608788491,0.34,2044,7
"65","Lasso mod 10000",74.1066894204913,0.52,766,7
"66","Lasso mod 200",74.1066894204913,0.52,766,7
"67","Lasso mod 100",74.1066894204913,0.52,766,7
"68","Lasso mod 50",74.1066894204913,0.52,766,7
"69","Naive",76.9745664071773,0.8,200,7
"70","Oracle",75.4240873687564,1,270,7
"71","Lasso",66.9285428557111,0.68,255,8
"72","Ada Lasso",69.3951857537969,0.46,448,8
"73","Local prior",70.5931616077854,0.3,1226,8
"74","Non local",79.6434957571733,0.16,3066,8
"75","Lasso mod 10000",66.5228461721783,0.64,287,8
"76","Lasso mod 200",66.6416936237018,0.52,575,8
"77","Lasso mod 100",66.6416936237018,0.52,575,8
"78","Lasso mod 50",66.5228461721783,0.64,287,8
"79","Naive",68.6001350673063,0.8,200,8
"80","Oracle",64.4645535895686,1,259,8
"81","Lasso",50.507584501373,0.66,418,9
"82","Ada Lasso",50.6313890482999,0.58,484,9
"83","Local prior",55.9349961709,0.32,2300,9
"84","Non local",58.6293369528649,0.26,3680,9
"85","Lasso mod 10000",51.2072100614546,0.58,511,9
"86","Lasso mod 200",52.6989486631356,0.52,657,9
"87","Lasso mod 100",52.6989486631356,0.52,657,9
"88","Lasso mod 50",51.2072100614546,0.58,511,9
"89","Naive",56.9696982439121,0.8,200,9
"90","Oracle",54.9180892074612,1,245,9
"91","Lasso",107.062204583562,0.56,353,10
"92","Ada Lasso",110.488581930979,0.46,448,10
"93","Local prior",108.349275798875,0.26,1533,10
"94","Non local",115.702135815175,0.28,3066,10
"95","Lasso mod 10000",108.199773179785,0.52,541,10
"96","Lasso mod 200",108.294043171937,0.48,613,10
"97","Lasso mod 100",108.294043171937,0.48,613,10
"98","Lasso mod 50",108.294043171937,0.48,613,10
"99","Naive",116.908049150621,0.8,200,10
"100","Oracle",110.206645747695,1,252,10
"101","Lasso",96.31196244368,0.5,525,11
"102","Ada Lasso",108.538904348833,0.28,2628,11
"103","Local prior",108.538904348833,0.28,2628,11
"104","Non local",114.698824243174,0.24,3680,11
"105","Lasso mod 10000",99.4869405771014,0.46,681,11
"106","Lasso mod 200",99.4869405771014,0.46,681,11
"107","Lasso mod 100",101.217218316747,0.4,1082,11
"108","Lasso mod 50",99.586445037725,0.5,593,11
"109","Naive",104.660871568434,0.8,200,11
"110","Oracle",98.5500387087286,1,245,11
"111","Lasso",61.1617336735437,0.44,460,12
"112","Ada Lasso",66.8433484107198,0.3,1533,12
"113","Local prior",67.2613840878205,0.26,2044,12
"114","Non local",68.7038107763586,0.24,3066,12
"115","Lasso mod 10000",61.6995035796771,0.38,766,12
"116","Lasso mod 200",61.9418398017721,0.34,876,12
"117","Lasso mod 100",61.9418398017721,0.34,876,12
"118","Lasso mod 50",60.3341881996154,0.44,613,12
"119","Naive",61.4320739046221,0.8,200,12
"120","Oracle",58.9533954286924,1,248,12
"121","Lasso",121.244341078547,0.5,418,13
"122","Ada Lasso",122.829464550438,0.34,1022,13
"123","Local prior",130.692250562787,0.26,1840,13
"124","Non local",126.133155715916,0.26,1672,13
"125","Lasso mod 10000",125.958720674013,0.4,657,13
"126","Lasso mod 200",128.166162229481,0.42,736,13
"127","Lasso mod 100",128.328254302504,0.44,800,13
"128","Lasso mod 50",125.958720674013,0.4,657,13
"129","Naive",124.322051358711,0.8,200,13
"130","Oracle",124.320464578263,1,255,13
"131","Lasso",150.792271882858,0.36,1082,14
"132","Ada Lasso",149.793024673675,0.32,1840,14
"133","Local prior",155.014117853815,0.26,3066,14
"134","Non local",160.140031190778,0.24,9200,14
"135","Lasso mod 10000",157.899410468896,0.28,4600,14
"136","Lasso mod 200",157.899410468896,0.28,4600,14
"137","Lasso mod 100",157.899410468896,0.28,4600,14
"138","Lasso mod 50",149.34404831234,0.48,968,14
"139","Naive",170.14834759413,0.8,200,14
"140","Oracle",160.790233631389,1,262,14
"141","Lasso",131.564874113614,0.66,274,15
"142","Ada Lasso",121.013131968315,0.48,438,15
"143","Local prior",128.160770166326,0.32,2044,15
"144","Non local",139.065594312618,0.2,3680,15
"145","Lasso mod 10000",130.64111281118,0.72,292,15
"146","Lasso mod 200",117.912762930582,0.42,766,15
"147","Lasso mod 100",119.444850546903,0.36,1022,15
"148","Lasso mod 50",123.511205662762,0.48,557,15
"149","Naive",138.282981448785,0.8,200,15
"150","Oracle",131.103568107781,1,252,15
"151","Lasso",212.691702566448,0.52,497,16
"152","Ada Lasso",222.261729350931,0.4,968,16
"153","Local prior",231.495929302899,0.3,2044,16
"154","Non local",231.495929302899,0.3,2044,16
"155","Lasso mod 10000",214.265693803104,0.56,497,16
"156","Lasso mod 200",214.265693803104,0.56,497,16
"157","Lasso mod 100",218.450027478047,0.54,613,16
"158","Lasso mod 50",214.265693803104,0.56,497,16
"159","Naive",223.62274422825,0.8,200,16
"160","Oracle",214.422710851446,1,252,16
"161","Lasso",80.7099326602538,0.5,613,17
"162","Ada Lasso",81.502386670356,0.42,766,17
"163","Local prior",85.5977640254456,0.34,1415,17
"164","Non local",102.682600323559,0.22,18400,17
"165","Lasso mod 10000",81.4035692938721,0.5,575,17
"166","Lasso mod 200",81.3451631652857,0.48,613,17
"167","Lasso mod 100",81.3451631652857,0.48,613,17
"168","Lasso mod 50",81.3451631652857,0.48,613,17
"169","Naive",87.2209544218232,0.8,200,17
"170","Oracle",82.2828007927067,1,248,17
"171","Lasso",131.968872288494,0.6,391,18
"172","Ada Lasso",131.061184833044,0.54,438,18
"173","Local prior",142.441874527791,0.26,1672,18
"174","Non local",142.441874527791,0.26,1672,18
"175","Lasso mod 10000",132.481802218367,0.66,360,18
"176","Lasso mod 200",125.891555119652,0.58,575,18
"177","Lasso mod 100",125.891555119652,0.58,575,18
"178","Lasso mod 50",126.879954067786,0.58,497,18
"179","Naive",135.898501326571,0.8,200,18
"180","Oracle",133.851065347364,1,262,18
"181","Lasso",82.1826653413481,0.32,876,19
"182","Ada Lasso",83.5203128563065,0.24,2300,19
"183","Local prior",83.710128980914,0.26,3680,19
"184","Non local",85.8712124135776,0.24,4600,19
"185","Lasso mod 10000",80.862626080613,0.38,968,19
"186","Lasso mod 200",80.862626080613,0.38,968,19
"187","Lasso mod 100",81.844076182665,0.3,2628,19
"188","Lasso mod 50",80.8808375979839,0.36,920,19
"189","Naive",89.709555388922,0.8,200,19
"190","Oracle",83.9612045177394,1,255,19
"191","Lasso",118.894820341912,0.44,575,20
"192","Ada Lasso",121.916171227312,0.36,766,20
"193","Local prior",124.503769671033,0.26,1840,20
"194","Non local",124.503769671033,0.26,1840,20
"195","Lasso mod 10000",120.023918819425,0.44,707,20
"196","Lasso mod 200",120.011120479878,0.42,766,20
"197","Lasso mod 100",120.011120479878,0.42,766,20
"198","Lasso mod 50",120.023918819425,0.44,707,20
"199","Naive",127.636886613412,0.8,200,20
"200","Oracle",123.705796006283,1,248,20
"201","Lasso",103.529480791078,0.38,968,21
"202","Ada Lasso",104.574184345418,0.3,1840,21
"203","Local prior",109.486456936411,0.28,3066,21
"204","Non local",109.486456936411,0.28,3066,21
"205","Lasso mod 10000",103.701419682802,0.36,968,21
"206","Lasso mod 200",103.701419682802,0.36,968,21
"207","Lasso mod 100",103.701419682802,0.36,968,21
"208","Lasso mod 50",103.701419682802,0.36,968,21
"209","Naive",109.375365835902,0.8,200,21
"210","Oracle",106.498095573836,1,255,21
"211","Lasso",104.6612374936,0.56,525,22
"212","Ada Lasso",106.893503836706,0.38,1150,22
"213","Local prior",108.21751634934,0.3,1840,22
"214","Non local",113.969655158523,0.28,2628,22
"215","Lasso mod 10000",104.7563700081,0.64,575,22
"216","Lasso mod 200",106.304512226986,0.56,736,22
"217","Lasso mod 100",106.304512226986,0.56,736,22
"218","Lasso mod 50",104.741242241194,0.66,541,22
"219","Naive",115.072104670806,0.8,200,22
"220","Oracle",112.090296525942,1,270,22
"221","Lasso",84.5551350083082,0.38,593,23
"222","Ada Lasso",86.8722332998692,0.36,1226,23
"223","Local prior",91.574022980064,0.3,2628,23
"224","Non local",96.8974498029908,0.26,4600,23
"225","Lasso mod 10000",85.0572135259713,0.52,736,23
"226","Lasso mod 200",85.0572135259713,0.52,736,23
"227","Lasso mod 100",85.5054241574983,0.46,876,23
"228","Lasso mod 50",85.0572135259713,0.52,736,23
"229","Naive",88.0747940040732,0.8,200,23
"230","Oracle",84.7410923910173,1,259,23
"231","Lasso",51.7183920387032,0.46,383,24
"232","Ada Lasso",53.8061162270653,0.3,1415,24
"233","Local prior",55.979117466521,0.24,1533,24
"234","Non local",58.3974936600412,0.24,6133,24
"235","Lasso mod 10000",51.1713714352614,0.66,328,24
"236","Lasso mod 200",51.3549012786401,0.46,557,24
"237","Lasso mod 100",56.4836224541367,0.26,2300,24
"238","Lasso mod 50",50.8185960700666,0.66,306,24
"239","Naive",52.8157917813754,0.8,200,24
"240","Oracle",50.2373030425706,1,259,24
"241","Lasso",138.931846923541,0.42,427,25
"242","Ada Lasso",142.771656676802,0.34,876,25
"243","Local prior",151.508275738191,0.3,1314,25
"244","Non local",153.340183423312,0.24,4600,25
"245","Lasso mod 10000",136.315696234176,0.44,511,25
"246","Lasso mod 200",136.878845339454,0.42,593,25
"247","Lasso mod 100",139.691514491804,0.4,707,25
"248","Lasso mod 50",136.599632377804,0.46,541,25
"249","Naive",155.226384882071,0.8,200,25
"250","Oracle",145.410429421371,1,248,25
"251","Lasso",88.5064350043526,0.34,593,26
"252","Ada Lasso",88.620928139233,0.3,681,26
"253","Local prior",95.8003558720297,0.2,1533,26
"254","Non local",95.3328033785167,0.2,2628,26
"255","Lasso mod 10000",88.5722552825154,0.4,484,26
"256","Lasso mod 200",87.8065666116013,0.36,575,26
"257","Lasso mod 100",88.2465278638183,0.32,634,26
"258","Lasso mod 50",88.3881513201092,0.4,511,26
"259","Naive",96.1845945689717,0.8,200,26
"260","Oracle",89.3031879538974,1,242,26
"261","Lasso",45.9576554408773,0.6,408,27
"262","Ada Lasso",48.9721698182569,0.26,4600,27
"263","Local prior",49.0926393451343,0.28,2628,27
"264","Non local",51.3802970834096,0.22,18400,27
"265","Lasso mod 10000",46.020810091477,0.6,418,27
"266","Lasso mod 200",50.4937337046572,0.26,6133,27
"267","Lasso mod 100",50.4937337046572,0.26,6133,27
"268","Lasso mod 50",45.8374861182792,0.58,438,27
"269","Naive",49.440894253998,0.8,200,27
"270","Oracle",46.7261972842445,1,255,27
"271","Lasso",138.999389398654,0.38,681,28
"272","Ada Lasso",142.826121387219,0.34,766,28
"273","Local prior",145.744666541165,0.26,1840,28
"274","Non local",172.565480754052,0.26,3066,28
"275","Lasso mod 10000",142.522856846267,0.4,800,28
"276","Lasso mod 200",141.558289596351,0.4,968,28
"277","Lasso mod 100",141.437150054317,0.38,1150,28
"278","Lasso mod 50",142.306224988908,0.38,836,28
"279","Naive",144.592626539767,0.8,200,28
"280","Oracle",139.432839594103,1,252,28
"281","Lasso",125.239438001986,0.48,541,29
"282","Ada Lasso",125.239438001986,0.48,541,29
"283","Local prior",141.092562534493,0.26,2300,29
"284","Non local",139.623711086293,0.24,3680,29
"285","Lasso mod 10000",127.102344237324,0.46,707,29
"286","Lasso mod 200",127.102344237324,0.46,707,29
"287","Lasso mod 100",126.740021738339,0.46,836,29
"288","Lasso mod 50",126.339222434025,0.48,736,29
"289","Naive",130.159232306187,0.8,200,29
"290","Oracle",126.092741790127,1,259,29
"291","Lasso",162.478165854474,0.38,657,30
"292","Ada Lasso",186.569656709524,0.22,9200,30
"293","Local prior",172.38826672017,0.32,2044,30
"294","Non local",186.569656709524,0.22,9200,30
"295","Lasso mod 10000",159.934729733862,0.38,876,30
"296","Lasso mod 200",159.741040496299,0.42,800,30
"297","Lasso mod 100",159.934729733862,0.38,876,30
"298","Lasso mod 50",159.741040496299,0.42,800,30
"299","Naive",165.733947118966,0.8,200,30
"300","Oracle",162.112552333991,1,252,30
"301","Lasso",79.32047086306,0.5,541,31
"302","Ada Lasso",84.9027255739678,0.38,1226,31
"303","Local prior",88.6273951405008,0.3,2044,31
"304","Non local",88.5847807728846,0.24,6133,31
"305","Lasso mod 10000",79.4272613275453,0.52,613,31
"306","Lasso mod 200",82.3148325179277,0.3,1840,31
"307","Lasso mod 100",82.3148325179277,0.3,1840,31
"308","Lasso mod 50",82.3148325179277,0.3,1840,31
"309","Naive",81.1547647439231,0.8,200,31
"310","Oracle",79.2161820759752,1,252,31
"311","Lasso",84.8289487798716,0.3,2300,32
"312","Ada Lasso",85.0370836833714,0.26,3066,32
"313","Local prior",84.0964770983555,0.28,2628,32
"314","Non local",94.2453191870184,0.26,4600,32
"315","Lasso mod 10000",82.3562977054558,0.44,836,32
"316","Lasso mod 200",83.0422216335708,0.44,968,32
"317","Lasso mod 100",84.2025338677184,0.38,1226,32
"318","Lasso mod 50",82.3562977054558,0.44,836,32
"319","Naive",81.005212613436,0.8,200,32
"320","Oracle",80.0283413888138,1,248,32
"321","Lasso",133.993556600521,0.38,707,33
"322","Ada Lasso",134.191156750978,0.34,1082,33
"323","Local prior",152.313158339067,0.26,3680,33
"324","Non local",152.313158339067,0.26,3680,33
"325","Lasso mod 10000",139.366252672278,0.36,1840,33
"326","Lasso mod 200",139.366252672278,0.36,1840,33
"327","Lasso mod 100",139.366252672278,0.36,1840,33
"328","Lasso mod 50",139.366252672278,0.36,1840,33
"329","Naive",137.89971611259,0.8,200,33
"330","Oracle",131.72556773615,1,255,33
"331","Lasso",113.552781980589,0.62,311,34
"332","Ada Lasso",110.997692851904,0.54,460,34
"333","Local prior",121.436268210542,0.4,1022,34
"334","Non local",114.893587236357,0.28,2044,34
"335","Lasso mod 10000",114.198242311802,0.66,328,34
"336","Lasso mod 200",112.776009585829,0.64,334,34
"337","Lasso mod 100",111.693292383328,0.42,766,34
"338","Lasso mod 50",113.871630265685,0.62,347,34
"339","Naive",117.961420474311,0.8,200,34
"340","Oracle",111.759232912391,1,248,34
"341","Lasso",49.2931645840645,0.42,634,35
"342","Ada Lasso",48.8590831160809,0.26,2628,35
"343","Local prior",48.8064485406193,0.28,1840,35
"344","Non local",52.5538018820787,0.24,4600,35
"345","Lasso mod 10000",50.2402727775264,0.52,681,35
"346","Lasso mod 200",50.2402727775264,0.52,681,35
"347","Lasso mod 100",49.1239422473368,0.38,1226,35
"348","Lasso mod 50",50.2402727775264,0.52,681,35
"349","Naive",56.4161131613649,0.8,200,35
"350","Oracle",53.8658193355691,1,242,35
"351","Lasso",50.7503946729571,0.56,322,36
"352","Ada Lasso",51.7747246410528,0.48,353,36
"353","Local prior",52.8593430285265,0.26,1082,36
"354","Non local",57.7126254233735,0.22,18400,36
"355","Lasso mod 10000",50.4565395605293,0.62,311,36
"356","Lasso mod 200",50.3863281773276,0.56,360,36
"357","Lasso mod 100",50.1417113704128,0.5,511,36
"358","Lasso mod 50",50.4565395605293,0.62,311,36
"359","Naive",52.2011762891434,0.8,200,36
"360","Oracle",48.4923861769379,1,255,36
"361","Lasso",52.9015799779868,0.44,634,37
"362","Ada Lasso",54.7262753758255,0.36,1533,37
"363","Local prior",59.5732916732902,0.26,4600,37
"364","Non local",59.5732916732902,0.26,4600,37
"365","Lasso mod 10000",54.6307945223193,0.4,1226,37
"366","Lasso mod 200",54.6307945223193,0.4,1226,37
"367","Lasso mod 100",54.6307945223193,0.4,1226,37
"368","Lasso mod 50",54.6307945223193,0.4,1226,37
"369","Naive",54.5294638045043,0.8,200,37
"370","Oracle",52.7057678303744,1,255,37
"371","Lasso",123.384176385719,0.5,497,38
"372","Ada Lasso",125.47018231774,0.4,766,38
"373","Local prior",128.544248478235,0.32,1672,38
"374","Non local",131.044343865151,0.3,2044,38
"375","Lasso mod 10000",124.38450435035,0.46,541,38
"376","Lasso mod 200",124.38450435035,0.46,541,38
"377","Lasso mod 100",124.38450435035,0.46,541,38
"378","Lasso mod 50",124.38450435035,0.46,541,38
"379","Naive",130.752803139061,0.8,200,38
"380","Oracle",122.813863467584,1,248,38
"381","Lasso",180.116624507648,0.4,736,39
"382","Ada Lasso",182.672026771753,0.34,1415,39
"383","Local prior",183.355115905992,0.28,2628,39
"384","Non local",193.695340397654,0.24,6133,39
"385","Lasso mod 10000",177.488442433616,0.38,1022,39
"386","Lasso mod 200",181.693323350247,0.36,1533,39
"387","Lasso mod 100",181.693323350247,0.36,1533,39
"388","Lasso mod 50",177.488442433616,0.38,1022,39
"389","Naive",196.377398216041,0.8,200,39
"390","Oracle",182.872409001197,1,259,39
"391","Lasso",79.7485505658515,0.48,368,40
"392","Ada Lasso",79.1054317858011,0.42,484,40
"393","Local prior",80.1196873471059,0.32,1672,40
"394","Non local",83.5405981509859,0.28,3066,40
"395","Lasso mod 10000",80.1060963428211,0.46,681,40
"396","Lasso mod 200",80.1060963428211,0.46,681,40
"397","Lasso mod 100",80.1718555810078,0.3,1314,40
"398","Lasso mod 50",80.642306041526,0.48,575,40
"399","Naive",81.4118147101693,0.8,200,40
"400","Oracle",78.122433480884,1,245,40
"401","Lasso",49.4860757674894,0.44,681,41
"402","Ada Lasso",52.4582598723966,0.38,1415,41
"403","Local prior",54.2400806552121,0.32,2044,41
"404","Non local",57.6875169575826,0.26,3680,41
"405","Lasso mod 10000",48.8693644936824,0.46,681,41
"406","Lasso mod 200",48.8693644936824,0.46,681,41
"407","Lasso mod 100",48.8693644936824,0.46,681,41
"408","Lasso mod 50",48.8693644936824,0.46,681,41
"409","Naive",50.6345303915741,0.8,200,41
"410","Oracle",50.1439141789463,1,245,41
"411","Lasso",90.0785872800597,0.5,634,42
"412","Ada Lasso",93.0380374529645,0.38,1022,42
"413","Local prior",92.504203601361,0.32,1226,42
"414","Non local",95.0202706162459,0.28,2300,42
"415","Lasso mod 10000",90.9571981487766,0.56,427,42
"416","Lasso mod 200",90.6261429755102,0.46,557,42
"417","Lasso mod 100",90.6261429755102,0.46,557,42
"418","Lasso mod 50",90.9571981487766,0.56,427,42
"419","Naive",91.5254069418135,0.8,200,42
"420","Oracle",89.5194761604363,1,245,42
"421","Lasso",80.8352245140532,0.4,707,43
"422","Ada Lasso",80.1004329323802,0.3,1314,43
"423","Local prior",80.377329381266,0.28,1533,43
"424","Non local",83.0724011400227,0.28,1533,43
"425","Lasso mod 10000",78.7572913966302,0.46,613,43
"426","Lasso mod 200",82.2506594153132,0.3,1226,43
"427","Lasso mod 100",82.2506594153132,0.3,1226,43
"428","Lasso mod 50",82.2506594153132,0.3,1226,43
"429","Naive",87.0962240975264,0.8,200,43
"430","Oracle",82.6503639959839,1,238,43
"431","Lasso",81.9651757349575,0.32,1082,44
"432","Ada Lasso",83.8195177210002,0.26,1840,44
"433","Local prior",83.9383609929741,0.24,2300,44
"434","Non local",92.4508325815148,0.22,18400,44
"435","Lasso mod 10000",82.3360795406611,0.44,1150,44
"436","Lasso mod 200",82.1846986492791,0.38,1533,44
"437","Lasso mod 100",82.1846986492791,0.38,1533,44
"438","Lasso mod 50",82.3360795406611,0.44,1150,44
"439","Naive",78.6287409014735,0.8,200,44
"440","Oracle",76.3187708509021,1,259,44
"441","Lasso",79.9082738125617,0.44,707,45
"442","Ada Lasso",83.1139729312589,0.32,1415,45
"443","Local prior",83.5434317507059,0.3,1672,45
"444","Non local",83.7802911253089,0.26,2628,45
"445","Lasso mod 10000",77.6826351817319,0.5,593,45
"446","Lasso mod 200",77.4582330488047,0.46,736,45
"447","Lasso mod 100",76.9152252905681,0.44,1082,45
"448","Lasso mod 50",77.6751694565247,0.54,511,45
"449","Naive",85.6110993406939,0.8,200,45
"450","Oracle",81.5595921617771,1,262,45
"451","Lasso",75.3595619907768,0.58,317,46
"452","Ada Lasso",75.5284475750675,0.4,541,46
"453","Local prior",77.1868811053546,0.28,1415,46
"454","Non local",78.8730917452427,0.2,2044,46
"455","Lasso mod 10000",71.3644881302714,0.56,575,46
"456","Lasso mod 200",71.0718632294115,0.54,613,46
"457","Lasso mod 100",71.0718632294115,0.54,613,46
"458","Lasso mod 50",71.9330225450864,0.58,525,46
"459","Naive",75.8156670960984,0.8,200,46
"460","Oracle",71.3936221362751,1,252,46
"461","Lasso",125.116760717875,0.44,593,47
"462","Ada Lasso",135.449483949473,0.28,1840,47
"463","Local prior",138.559122211966,0.26,1840,47
"464","Non local",141.146185350178,0.24,6133,47
"465","Lasso mod 10000",124.931545946575,0.52,375,47
"466","Lasso mod 200",127.134761038234,0.36,1314,47
"467","Lasso mod 100",127.134761038234,0.36,1314,47
"468","Lasso mod 50",125.908826748845,0.38,876,47
"469","Naive",131.899680903039,0.8,200,47
"470","Oracle",127.059300659764,1,252,47
"471","Lasso",68.1250609839227,0.56,525,48
"472","Ada Lasso",68.0045576367005,0.36,1415,48
"473","Local prior",72.7944849474441,0.3,2300,48
"474","Non local",78.4762690926965,0.22,18400,48
