"","metodologia","mse","accuracy","n","seed"
"1","Lasso",31.1608819080355,0.58,391,1
"2","Ada Lasso",30.9634591636946,0.82,1672,1
"3","Local prior",30.0993556716754,0.84,1415,1
"4","Non local",30.9060892971092,0.86,2628,1
"5","Lasso mod 10000",31.4794384162369,0.56,427,1
"6","Lasso mod 200",31.2120038267961,0.56,460,1
"7","Lasso mod 100",31.9809685484077,0.68,836,1
"8","Lasso mod 50",31.4794384162369,0.56,427,1
"9","Naive",35.893614875825,0.2,200,1
"10","Oracle",29.6338848020143,1,920,1
"11","Lasso",29.1759464445969,0.66,707,2
"12","Ada Lasso",29.530779049217,0.74,1314,2
"13","Local prior",30.3961962366739,0.82,2628,2
"14","Non local",30.1305336481733,0.8,3066,2
"15","Lasso mod 10000",28.1153120535237,0.82,1226,2
"16","Lasso mod 200",28.1153120535237,0.82,1226,2
"17","Lasso mod 100",28.1612730506937,0.84,1415,2
"18","Lasso mod 50",28.1153120535237,0.82,1226,2
"19","Naive",30.3014041968383,0.2,200,2
"20","Oracle",27.0514209305384,1,1415,2
"21","Lasso",12.442772125137,0.74,497,3
"22","Ada Lasso",12.5344109035997,0.74,557,3
"23","Local prior",13.4354527196363,0.86,1840,3
"24","Non local",13.7696045609456,0.8,2300,3
"25","Lasso mod 10000",12.3736776849685,0.76,575,3
"26","Lasso mod 200",12.3736776849685,0.76,575,3
"27","Lasso mod 100",12.4498226825359,0.82,968,3
"28","Lasso mod 50",12.3736776849685,0.76,575,3
"29","Naive",13.3866646056487,0.2,200,3
"30","Oracle",12.2446325598182,1,1082,3
"31","Lasso",15.0682318057364,0.82,968,4
"32","Ada Lasso",15.211374549539,0.86,1415,4
"33","Local prior",16.5881685246925,0.82,2044,4
"34","Non local",16.2164988626888,0.86,3680,4
"35","Lasso mod 10000",15.2369618287846,0.72,800,4
"36","Lasso mod 200",15.2369618287846,0.72,800,4
"37","Lasso mod 100",15.3173870210008,0.72,920,4
"38","Lasso mod 50",15.2369618287846,0.72,800,4
"39","Naive",16.620489886242,0.2,200,4
"40","Oracle",14.2312177052924,1,1022,4
"41","Lasso",30.8790414881177,0.7,511,5
"42","Ada Lasso",30.4698398153836,0.74,766,5
"43","Local prior",30.49511211043,0.9,1840,5
"44","Non local",33.1272076509296,0.86,3680,5
"45","Lasso mod 10000",30.8474769361498,0.74,634,5
"46","Lasso mod 200",30.8474769361498,0.74,634,5
"47","Lasso mod 100",30.6825043611391,0.82,1022,5
"48","Lasso mod 50",30.8474769361498,0.74,634,5
"49","Naive",34.378974046832,0.2,200,5
"50","Oracle",30.1553824003349,1,920,5
"51","Lasso",20.2443973290094,0.78,800,6
"52","Ada Lasso",20.6292172171627,0.8,968,6
"53","Local prior",20.7908860479548,0.84,1840,6
"54","Non local",20.7635137826919,0.86,2300,6
"55","Lasso mod 10000",19.8219660876588,0.64,575,6
"56","Lasso mod 200",20.3288076516625,0.72,707,6
"57","Lasso mod 100",20.1961252719786,0.76,800,6
"58","Lasso mod 50",19.8791045616964,0.68,613,6
"59","Naive",22.2854228542512,0.2,200,6
"60","Oracle",19.3926685245497,1,1082,6
"61","Lasso",16.3506579265735,0.76,876,7
"62","Ada Lasso",16.3301145860169,0.88,1672,7
"63","Local prior",16.4808897451974,0.88,2300,7
"64","Non local",16.4808897451974,0.88,2300,7
"65","Lasso mod 10000",16.2590241107945,0.68,681,7
"66","Lasso mod 200",16.03847906968,0.74,876,7
"67","Lasso mod 100",16.03847906968,0.74,876,7
"68","Lasso mod 50",16.3716238788987,0.66,634,7
"69","Naive",17.2197709049791,0.2,200,7
"70","Oracle",15.931616621759,1,1022,7
"71","Lasso",23.0086939930793,0.8,1082,8
"72","Ada Lasso",27.7454924032847,0.8,6133,8
"73","Local prior",27.7454924032847,0.8,6133,8
"74","Non local",27.7414524928984,0.82,9200,8
"75","Lasso mod 10000",22.6587497144716,0.72,836,8
"76","Lasso mod 200",22.7551431627906,0.76,1314,8
"77","Lasso mod 100",22.7551431627906,0.76,1314,8
"78","Lasso mod 50",22.7487259075378,0.72,968,8
"79","Naive",25.9903393440705,0.2,200,8
"80","Oracle",21.9784238381166,1,1022,8
"81","Lasso",12.3184244033593,0.74,1150,9
"82","Ada Lasso",12.946330615013,0.82,3680,9
"83","Local prior",12.9411504740487,0.8,3066,9
"84","Non local",14.2270341421205,0.82,9200,9
"85","Lasso mod 10000",12.5041637732563,0.78,1672,9
"86","Lasso mod 200",12.5586641595052,0.76,1840,9
"87","Lasso mod 100",12.5586641595052,0.76,1840,9
"88","Lasso mod 50",12.5041637732563,0.78,1672,9
"89","Naive",13.6063715492408,0.2,200,9
"90","Oracle",11.8161249222615,1,1082,9
"91","Lasso",14.5058009656277,0.84,800,10
"92","Ada Lasso",14.4962165185441,0.88,2044,10
"93","Local prior",15.6975995250446,0.86,4600,10
"94","Non local",14.8868352485167,0.88,3066,10
"95","Lasso mod 10000",14.3739460666713,0.88,1672,10
"96","Lasso mod 200",14.3739460666713,0.88,1672,10
"97","Lasso mod 100",14.3739460666713,0.88,1672,10
"98","Lasso mod 50",14.3739460666713,0.88,1672,10
"99","Naive",15.3120586424781,0.2,200,10
"100","Oracle",13.8719993443362,1,1022,10
"101","Lasso",30.0877368180999,0.76,634,11
"102","Ada Lasso",30.281775529468,0.8,1415,11
"103","Local prior",31.9283472791803,0.78,1672,11
"104","Non local",34.908345103439,0.78,2628,11
"105","Lasso mod 10000",29.952491710877,0.72,593,11
"106","Lasso mod 200",29.974347909666,0.74,657,11
"107","Lasso mod 100",29.974347909666,0.74,657,11
"108","Lasso mod 50",29.952491710877,0.72,593,11
"109","Naive",33.8962358311342,0.2,200,11
"110","Oracle",29.1731487957914,1,1022,11
"111","Lasso",26.7483342745939,0.84,707,12
"112","Ada Lasso",26.6471822497178,0.84,1082,12
"113","Local prior",29.9015431238503,0.78,1840,12
"114","Non local",29.0419171435199,0.8,2044,12
"115","Lasso mod 10000",27.039960312059,0.7,575,12
"116","Lasso mod 200",26.8197623567172,0.84,968,12
"117","Lasso mod 100",26.8915936306484,0.86,1840,12
"118","Lasso mod 50",26.8197623567172,0.84,968,12
"119","Naive",28.2346126331565,0.2,200,12
"120","Oracle",26.4234825194951,1,1150,12
"121","Lasso",25.6446953935506,0.78,681,13
"122","Ada Lasso",25.9251617767276,0.8,800,13
"123","Local prior",26.3543243714015,0.84,2044,13
"124","Non local",26.379742508,0.86,2628,13
"125","Lasso mod 10000",25.7578516604686,0.72,525,13
"126","Lasso mod 200",27.0322371206891,0.66,1150,13
"127","Lasso mod 100",27.0322371206891,0.66,1150,13
"128","Lasso mod 50",25.7578516604686,0.72,525,13
"129","Naive",29.0676639154471,0.2,200,13
"130","Oracle",24.4469381482232,1,968,13
"131","Lasso",25.5618593739597,0.8,876,14
"132","Ada Lasso",25.7136517981012,0.84,1150,14
"133","Local prior",26.7549021425123,0.82,2300,14
"134","Non local",27.2337293347922,0.8,2628,14
"135","Lasso mod 10000",25.2999141904811,0.8,800,14
"136","Lasso mod 200",25.2448237411456,0.78,836,14
"137","Lasso mod 100",25.7266450693242,0.8,1415,14
"138","Lasso mod 50",25.2999141904811,0.8,800,14
"139","Naive",27.9418790820881,0.2,200,14
"140","Oracle",24.9731785214555,1,1150,14
"141","Lasso",28.5737265786376,0.74,968,15
"142","Ada Lasso",29.7507054463676,0.8,1840,15
"143","Local prior",29.8359750979323,0.84,3680,15
"144","Non local",32.2343491682117,0.84,6133,15
"145","Lasso mod 10000",28.6835474175616,0.7,1022,15
"146","Lasso mod 200",28.5900291496077,0.76,1533,15
"147","Lasso mod 100",28.7969858108858,0.82,2300,15
"148","Lasso mod 50",28.6835474175616,0.7,1022,15
"149","Naive",30.6889225427787,0.2,200,15
"150","Oracle",26.68778172809,1,1226,15
"151","Lasso",45.0818516322927,0.78,736,16
"152","Ada Lasso",45.0399070580285,0.84,920,16
"153","Local prior",51.5561014120191,0.82,1533,16
"154","Non local",53.8612482826784,0.8,6133,16
"155","Lasso mod 10000",46.343403802713,0.68,707,16
"156","Lasso mod 200",45.7518081823458,0.7,800,16
"157","Lasso mod 100",47.4732964865452,0.78,2044,16
"158","Lasso mod 50",45.8738218663316,0.68,736,16
"159","Naive",51.7035979273768,0.2,200,16
"160","Oracle",43.6266244476879,1,1022,16
"161","Lasso",36.3999743909459,0.78,800,17
"162","Ada Lasso",38.258499560637,0.82,6133,17
"163","Local prior",37.8932942833014,0.82,2628,17
"164","Non local",38.258499560637,0.82,6133,17
"165","Lasso mod 10000",35.8745255346541,0.6,575,17
"166","Lasso mod 200",35.8562957507755,0.66,681,17
"167","Lasso mod 100",36.5858886492199,0.78,1415,17
"168","Lasso mod 50",35.8745255346541,0.6,575,17
"169","Naive",38.7937449282278,0.2,200,17
"170","Oracle",34.254424912898,1,876,17
"171","Lasso",18.9493778284634,0.72,707,18
"172","Ada Lasso",19.1633514594516,0.76,836,18
"173","Local prior",19.8538286228141,0.88,3066,18
"174","Non local",19.8538286228141,0.88,3066,18
"175","Lasso mod 10000",18.9198809663605,0.76,968,18
"176","Lasso mod 200",18.852890305342,0.82,1415,18
"177","Lasso mod 100",18.852890305342,0.82,1415,18
"178","Lasso mod 50",18.9609717363953,0.72,836,18
"179","Naive",20.3890128091992,0.2,200,18
"180","Oracle",18.2513570434539,1,1226,18
"181","Lasso",25.5561896097119,0.64,497,19
"182","Ada Lasso",25.3100226527084,0.74,1672,19
"183","Local prior",25.7971339851657,0.74,1415,19
"184","Non local",26.2425204991588,0.8,3066,19
"185","Lasso mod 10000",25.4086059034253,0.66,593,19
"186","Lasso mod 200",25.4086059034253,0.66,593,19
"187","Lasso mod 100",25.795494121805,0.7,836,19
"188","Lasso mod 50",25.3392913835831,0.64,575,19
"189","Naive",27.0449257372769,0.2,200,19
"190","Oracle",24.095756769247,1,920,19
"191","Lasso",13.0827512162833,0.78,1415,20
"192","Ada Lasso",13.0621157495284,0.88,3066,20
"193","Local prior",13.0621157495284,0.88,3066,20
"194","Non local",13.0621157495284,0.88,3066,20
"195","Lasso mod 10000",13.0759586290417,0.78,1533,20
"196","Lasso mod 200",13.0759586290417,0.78,1533,20
"197","Lasso mod 100",13.0759586290417,0.78,1533,20
"198","Lasso mod 50",13.0759586290417,0.78,1533,20
"199","Naive",14.7680929419388,0.2,200,20
"200","Oracle",12.9361015485557,1,968,20
"201","Lasso",25.3967890973243,0.66,557,21
"202","Ada Lasso",24.8310994960141,0.88,1672,21
"203","Local prior",24.8310994960141,0.88,1672,21
"204","Non local",25.2832595312526,0.82,1415,21
"205","Lasso mod 10000",25.5515635138862,0.58,593,21
"206","Lasso mod 200",25.0178489915106,0.68,800,21
"207","Lasso mod 100",25.0178489915106,0.68,800,21
"208","Lasso mod 50",25.5515635138862,0.58,593,21
"209","Naive",28.2099093143904,0.2,200,21
"210","Oracle",24.2850519157959,1,968,21
"211","Lasso",16.7879937609095,0.86,2628,22
"212","Ada Lasso",16.7732397028148,0.82,2628,22
"213","Local prior",16.6911537829347,0.86,4600,22
"214","Non local",16.7764460641177,0.84,9200,22
"215","Lasso mod 10000",16.8086401297473,0.86,2300,22
