"","metodologia","mse","accuracy","n","seed"
"1","Lasso",3.63185628462514,0.9,1226,1
"2","Ada Lasso",3.6241244623467,0.92,1533,1
"3","Local prior",3.62093234869485,0.96,2628,1
"4","Non local",3.66877722283901,0.94,3680,1
"5","Ada mod",4.77805634888927,0.88,9200,1
"6","Lasso mod",3.59507606867789,0.82,1022,1
"7","Naive",3.86004240063774,0.1,200,1
"8","Oracle",3.48345436458836,1,1672,1
"9","Lasso",17.5829911823656,0.88,2044,2
"10","Ada Lasso",17.6077268972879,0.92,2628,2
"11","Local prior",17.9527742493755,0.9,3066,2
"12","Non local",17.9677342849668,0.94,9200,2
"13","Ada mod",17.5829911823656,0.88,2044,2
"14","Lasso mod",17.5829911823656,0.88,2044,2
"15","Naive",21.2831429863396,0.1,200,2
"16","Oracle",17.3451022288582,1,2628,2
"17","Lasso",9.49152878351348,0.68,613,3
"18","Ada Lasso",9.42705707582896,0.84,1672,3
"19","Local prior",9.3881661705967,0.86,3680,3
"20","Non local",9.62779514203553,0.92,18400,3
"21","Ada mod",9.49152878351348,0.68,613,3
"22","Lasso mod",9.4775264465095,0.74,968,3
"23","Naive",11.2015540882136,0.1,200,3
"24","Oracle",9.39364466417759,1,2044,3
"25","Lasso",8.99438629989913,0.74,557,4
"26","Ada Lasso",8.9068081779024,0.82,736,4
"27","Local prior",8.92323880858977,0.94,2300,4
"28","Non local",8.92323880858977,0.94,2300,4
"29","Ada mod",8.82091516431687,0.84,800,4
"30","Lasso mod",8.84053377841506,0.76,707,4
"31","Naive",9.67500540283042,0.1,200,4
"32","Oracle",8.60321279896992,1,1840,4
"33","Lasso",19.1074368756419,0.9,2628,5
"34","Ada Lasso",19.1074368756419,0.9,2628,5
"35","Local prior",19.1126905384816,0.94,6133,5
"36","Non local",20.2110329109413,0.9,6133,5
"37","Ada mod",19.1074368756419,0.9,2628,5
"38","Lasso mod",19.0071030042205,0.96,4600,5
"39","Naive",21.0189453109601,0.1,200,5
"40","Oracle",18.8744880964164,1,1840,5
"41","Lasso",26.224260468376,0.84,836,6
"42","Ada Lasso",26.1380494887599,0.94,1533,6
"43","Local prior",26.1380494887599,0.94,1533,6
"44","Non local",26.8770800933766,0.98,2300,6
"45","Ada mod",26.224260468376,0.84,836,6
"46","Lasso mod",26.1610371155513,0.76,766,6
"47","Naive",28.9639303835753,0.1,200,6
"48","Oracle",25.8038152856267,1,2044,6
"49","Lasso",19.6266270314848,0.92,2300,7
"50","Ada Lasso",19.6650598195244,0.94,2628,7
"51","Local prior",19.6650598195244,0.94,2628,7
"52","Non local",21.5382252109764,0.94,4600,7
"53","Ada mod",19.5795392190992,0.84,1226,7
"54","Lasso mod",19.5655642116003,0.86,1672,7
"55","Naive",21.9445435138846,0.1,200,7
"56","Oracle",19.5978478398171,1,1840,7
"57","Lasso",6.67273692884028,0.72,541,8
"58","Ada Lasso",6.84839873006944,0.94,6133,8
"59","Local prior",6.84111182908805,0.9,3066,8
"60","Non local",6.84839873006944,0.94,6133,8
"61","Ada mod",6.66690669631072,0.64,438,8
"62","Lasso mod",6.63472094155026,0.72,657,8
"63","Naive",7.48902322565616,0.1,200,8
"64","Oracle",6.44468589882803,1,2044,8
"65","Lasso",9.98093069607126,0.86,1082,9
"66","Ada Lasso",9.98610669030566,0.92,1415,9
"67","Local prior",9.96301347054616,0.96,2044,9
"68","Non local",9.96301347054616,0.96,2044,9
"69","Ada mod",9.98093069607126,0.86,1082,9
"70","Lasso mod",10.0855657309905,0.72,766,9
"71","Naive",11.0526268118788,0.1,200,9
"72","Oracle",9.96886503292751,1,2300,9
"73","Lasso",4.95759713114791,0.9,4600,10
"74","Ada Lasso",4.96210661512989,0.92,18400,10
"75","Local prior",4.96210661512989,0.92,18400,10
"76","Non local",4.96210661512989,0.92,18400,10
"77","Ada mod",4.91728554398022,0.86,2300,10
"78","Lasso mod",4.92778541431004,0.88,3680,10
"79","Naive",5.44037136653296,0.1,200,10
"80","Oracle",4.82257241556397,1,2044,10
"81","Lasso",22.9822541232885,0.74,707,11
"82","Ada Lasso",23.8934081876943,0.92,2628,11
"83","Local prior",23.7499257481201,0.94,4600,11
"84","Non local",23.7499257481201,0.94,4600,11
"85","Ada mod",22.9822541232885,0.74,707,11
"86","Lasso mod",22.5318046439672,0.72,836,11
"87","Naive",22.900437327652,0.1,200,11
"88","Oracle",22.0592144479205,1,2628,11
"89","Lasso",4.40381446400966,0.8,766,12
"90","Ada Lasso",4.41242037518151,0.88,1150,12
"91","Local prior",4.57698739596126,0.9,1672,12
"92","Non local",5.04153630896565,0.92,18400,12
"93","Ada mod",4.40213439254115,0.78,736,12
"94","Lasso mod",4.68022616890959,0.84,2044,12
"95","Naive",4.77934181648956,0.1,200,12
"96","Oracle",4.35703236287312,1,2300,12
"97","Lasso",1.87964470513441,0.9,920,13
"98","Ada Lasso",1.88278856176779,0.96,1226,13
"99","Local prior",1.90673455115091,0.98,2044,13
"100","Non local",1.90673455115091,0.98,2044,13
"101","Ada mod",1.87964470513441,0.9,920,13
"102","Lasso mod",1.89663850631651,0.78,736,13
"103","Naive",2.26359500973938,0.1,200,13
"104","Oracle",1.88003160321305,1,1840,13
"105","Lasso",17.0025439456078,0.68,511,14
"106","Ada Lasso",16.5555005080109,0.92,2044,14
"107","Local prior",16.6248463572151,0.9,1672,14
"108","Non local",16.6675096012984,0.96,3066,14
"109","Ada mod",16.8274495758519,0.74,634,14
"110","Lasso mod",17.1975351720095,0.6,427,14
"111","Naive",18.5520491399996,0.1,200,14
"112","Oracle",16.1567133385319,1,2300,14
"113","Lasso",27.2830380242572,0.84,1840,15
"114","Ada Lasso",27.3357770888705,0.94,9200,15
"115","Local prior",27.3357770888705,0.94,9200,15
"116","Non local",27.3357770888705,0.94,9200,15
"117","Ada mod",27.503428153873,0.76,1022,15
"118","Lasso mod",27.1493962732146,0.86,2300,15
"119","Naive",30.1407233800392,0.1,200,15
"120","Oracle",27.0966064904313,1,2628,15
"121","Lasso",16.3033278081128,0.78,707,16
"122","Ada Lasso",15.9360057240693,0.96,2044,16
"123","Local prior",15.9783147584897,0.98,2300,16
"124","Non local",15.9783147584897,0.98,2300,16
"125","Ada mod",16.2829263307531,0.82,836,16
"126","Lasso mod",16.6238532227178,0.68,634,16
"127","Naive",18.4853372085852,0.1,200,16
"128","Oracle",15.8301486489223,1,1672,16
"129","Lasso",1.37866765864445,0.88,2044,17
"130","Ada Lasso",1.37897105152215,0.9,2300,17
"131","Local prior",1.37897105152215,0.9,2300,17
"132","Non local",1.37663288402803,0.94,3680,17
"133","Ada mod",1.37866765864445,0.88,2044,17
"134","Lasso mod",1.37488578054715,0.74,1022,17
"135","Naive",1.49658833988633,0.1,200,17
"136","Oracle",1.35504874523446,1,1672,17
"137","Lasso",7.75935038992292,0.88,1314,18
"138","Ada Lasso",8.03160712216116,0.94,6133,18
"139","Local prior",8.03160712216116,0.94,6133,18
"140","Non local",8.03160712216116,0.94,6133,18
"141","Ada mod",7.9283684367261,0.9,2044,18
"142","Lasso mod",7.90472162532667,0.84,1672,18
"143","Naive",9.17433817579275,0.1,200,18
"144","Oracle",7.72367963384038,1,2300,18
"145","Lasso",14.7311738651996,0.76,613,19
"146","Ada Lasso",15.6209602415216,0.92,18400,19
"147","Local prior",15.791802733443,0.86,1840,19
"148","Non local",15.6209602415216,0.92,18400,19
"149","Ada mod",14.9655135919517,0.78,681,19
"150","Lasso mod",15.3562148714044,0.9,4600,19
"151","Naive",16.3025952354095,0.1,200,19
"152","Oracle",13.9390493482619,1,1840,19
"153","Lasso",2.29606438083865,0.82,800,20
"154","Ada Lasso",2.27161537100809,0.92,1672,20
"155","Local prior",2.29809749820169,0.94,1672,20
"156","Non local",2.55147898171546,0.9,3680,20
"157","Ada mod",2.36022007581093,0.64,427,20
"158","Lasso mod",2.36623087311147,0.82,1533,20
"159","Naive",2.54783410551336,0.1,200,20
"160","Oracle",2.23315094040609,1,2300,20
"161","Lasso",7.7741126825807,0.74,593,21
