"","metodologia","mse","accuracy","n","seed"
"1","Lasso",57.8865121550099,0.62,557,1
"2","Ada Lasso",58.1089747189643,0.64,766,1
"3","Local prior",59.432953069016,0.64,1415,1
"4","Non local",61.5632301270161,0.64,2300,1
"5","Ada mod",58.2394486420119,0.6,368,1
"6","Lasso mod",58.3522015983064,0.52,383,1
"7","Naive",63.1932783730224,0.4,200,1
"8","Oracle",56.2682126014923,1,471,1
"9","Lasso",50.1341946731528,0.64,876,2
"10","Ada Lasso",52.1680532498773,0.62,1840,2
"11","Local prior",50.9560747033877,0.66,2044,2
"12","Non local",53.3156904756432,0.64,4600,2
"13","Ada mod",50.1341946731528,0.64,876,2
"14","Lasso mod",49.3012749274309,0.72,634,2
"15","Naive",52.2493491277426,0.4,200,2
"16","Oracle",48.8115085728539,1,557,2
"17","Lasso",64.1359754978078,0.6,497,3
"18","Ada Lasso",64.0187743620648,0.66,681,3
"19","Local prior",69.1957314770525,0.62,1226,3
"20","Non local",75.2574381433667,0.62,1672,3
"21","Ada mod",64.1359754978078,0.6,497,3
"22","Lasso mod",64.6353171439335,0.58,471,3
"23","Naive",70.446195482743,0.4,200,3
"24","Oracle",64.1271984655526,1,525,3
"25","Lasso",63.8845607003183,0.76,438,4
"26","Ada Lasso",66.3659079126854,0.7,1082,4
"27","Local prior",72.2795354504831,0.66,2300,4
"28","Non local",81.4120302217579,0.58,9200,4
"29","Ada mod",64.4928820836572,0.72,471,4
"30","Lasso mod",64.9447226483751,0.62,657,4
"31","Naive",66.626687476165,0.4,200,4
"32","Oracle",62.5035891007254,1,471,4
"33","Lasso",19.0032180506188,0.56,283,5
"34","Ada Lasso",19.2591725110098,0.68,736,5
"35","Local prior",19.3298717707175,0.66,1226,5
"36","Non local",18.5937175210912,0.68,1150,5
"37","Ada mod",18.7067810632547,0.62,306,5
"38","Lasso mod",19.0338557757718,0.5,296,5
"39","Naive",20.3232310741624,0.4,200,5
"40","Oracle",17.878018998546,1,511,5
"41","Lasso",59.1221558234025,0.62,541,6
