"","metodologia","mse","accuracy","n","seed"
"1","Lasso",87.2012565614287,0.38,736,1
"2","Ada Lasso",87.5062453906582,0.32,1226,1
"3","Local prior",90.3003056248512,0.24,2300,1
"4","Non local",94.3046238945188,0.24,9200,1
"5","Ada mod",87.2012565614287,0.38,736,1
"6","Lasso mod",88.1649054329325,0.28,1226,1
"7","Naive",98.7156855572084,0.8,200,1
"8","Oracle",92.5746987846787,1,245,1
"9","Lasso",102.171226642829,0.42,634,2
"10","Ada Lasso",102.431313676765,0.4,707,2
"11","Local prior",117.544440096866,0.26,3066,2
"12","Non local",118.572439659949,0.24,6133,2
"13","Ada mod",101.519754551397,0.38,766,2
"14","Lasso mod",101.201627126332,0.6,525,2
"15","Naive",107.076219216027,0.8,200,2
"16","Oracle",101.81831439771,1,252,2
"17","Lasso",89.2879896999228,0.44,525,3
"18","Ada Lasso",88.6142695105124,0.36,800,3
"19","Local prior",91.9833097152303,0.28,2300,3
"20","Non local",93.1025079792824,0.26,3680,3
"21","Ada mod",93.5298526730943,0.36,920,3
"22","Lasso mod",92.2964305327914,0.34,1226,3
"23","Naive",93.7300097104291,0.8,200,3
"24","Oracle",89.4934688321949,1,245,3
"25","Lasso",120.653783959364,0.5,497,4
"26","Ada Lasso",126.033429161142,0.42,876,4
"27","Local prior",135.694740186556,0.28,3066,4
"28","Non local",141.766049635891,0.24,2628,4
"29","Ada mod",120.978143696007,0.38,657,4
"30","Lasso mod",121.705145404487,0.44,575,4
"31","Naive",125.369978283185,0.8,200,4
"32","Oracle",123.807573097627,1,255,4
"33","Lasso",39.4427732648172,0.58,511,5
"34","Ada Lasso",42.8723505974401,0.36,1226,5
"35","Local prior",45.4420361377911,0.28,2628,5
"36","Non local",49.4617444068699,0.22,18400,5
"37","Ada mod",43.6123228470897,0.44,736,5
"38","Lasso mod",39.2102985230039,0.56,511,5
"39","Naive",40.1942837599682,0.8,200,5
"40","Oracle",39.8701276342276,1,262,5
"41","Lasso",105.660288605431,0.56,460,6
"42","Ada Lasso",106.134661190769,0.44,657,6
"43","Local prior",107.887579724186,0.36,1533,6
"44","Non local",108.142788346406,0.34,1840,6
"45","Ada mod",105.660288605431,0.56,460,6
"46","Lasso mod",104.181149287308,0.52,657,6
"47","Naive",112.276052042889,0.8,200,6
"48","Oracle",108.173665420958,1,259,6
"49","Lasso",76.8519794468195,0.54,525,7
"50","Ada Lasso",78.6944050603862,0.38,1314,7
"51","Local prior",80.4300610624412,0.36,1415,7
"52","Non local",81.1836640213688,0.34,1672,7
"53","Ada mod",77.0387299610288,0.56,497,7
"54","Lasso mod",79.0264118792226,0.52,766,7
"55","Naive",80.7168479029002,0.8,200,7
"56","Oracle",79.916139337602,1,270,7
"57","Lasso",66.0838472581042,0.52,368,8
"58","Ada Lasso",67.3494080374485,0.34,766,8
"59","Local prior",69.0184059497912,0.3,1226,8
"60","Non local",76.8108724169267,0.24,2044,8
"61","Ada mod",67.0702359478595,0.64,292,8
"62","Lasso mod",68.7496251425264,0.66,278,8
"63","Naive",71.1377374035813,0.8,200,8
"64","Oracle",69.4510027923039,1,259,8
"65","Lasso",50.1364865929867,0.66,418,9
"66","Ada Lasso",50.5285492235042,0.6,460,9
"67","Local prior",55.088595717242,0.32,2300,9
"68","Non local",58.9887522771414,0.26,3680,9
"69","Ada mod",50.382487311932,0.62,438,9
"70","Lasso mod",51.3116745840097,0.74,368,9
"71","Naive",53.5724352422231,0.8,200,9
"72","Oracle",52.186226051959,1,245,9
"73","Lasso",110.692198025622,0.54,340,10
"74","Ada Lasso",111.476981621925,0.36,634,10
"75","Local prior",111.514386827459,0.26,1533,10
"76","Non local",122.823570079875,0.28,3066,10
"77","Ada mod",111.327101163009,0.46,557,10
"78","Lasso mod",106.793807429395,0.48,613,10
"79","Naive",115.077653713938,0.8,200,10
"80","Oracle",113.817802985577,1,252,10
"81","Lasso",92.9214486660482,0.48,484,11
"82","Ada Lasso",96.5904147620526,0.38,920,11
"83","Local prior",103.213944428331,0.28,2628,11
"84","Non local",109.592940184881,0.24,3680,11
"85","Ada mod",94.018032268872,0.46,593,11
"86","Lasso mod",97.7645227395633,0.44,766,11
"87","Naive",98.0407337681643,0.8,200,11
"88","Oracle",94.7573890751036,1,245,11
"89","Lasso",66.9790479939243,0.46,438,12
"90","Ada Lasso",67.8852222898209,0.3,1533,12
"91","Local prior",68.6334537279334,0.26,2044,12
"92","Non local",72.0007830542963,0.24,3066,12
"93","Ada mod",67.2491121066844,0.34,634,12
"94","Lasso mod",66.3511146656933,0.32,968,12
"95","Naive",64.6923547310331,0.8,200,12
"96","Oracle",61.693342462568,1,248,12
"97","Lasso",122.27854281812,0.52,400,13
"98","Ada Lasso",127.612467706753,0.42,707,13
"99","Local prior",135.258351020326,0.26,1840,13
"100","Non local",132.10359893842,0.28,2300,13
"101","Ada mod",122.643115410902,0.48,448,13
"102","Lasso mod",131.111113881227,0.42,736,13
"103","Naive",127.705583046971,0.8,200,13
"104","Oracle",122.464888185629,1,255,13
"105","Lasso",165.932371009247,0.36,1082,14
"106","Ada Lasso",167.00536664726,0.32,1840,14
"107","Local prior",174.946022179586,0.26,3066,14
"108","Non local",176.965178553968,0.24,9200,14
"109","Ada mod",169.661115032361,0.34,1314,14
"110","Lasso mod",175.024260410114,0.28,4600,14
"111","Naive",173.487263470116,0.8,200,14
"112","Oracle",167.459234684004,1,262,14
"113","Lasso",121.022340297544,0.72,255,15
"114","Ada Lasso",114.364667884381,0.38,736,15
"115","Local prior",123.4094071117,0.32,2044,15
"116","Non local",139.145071842686,0.26,4600,15
"117","Ada mod",112.737905382502,0.46,525,15
"118","Lasso mod",118.791563936001,0.72,292,15
"119","Naive",127.354147934969,0.8,200,15
"120","Oracle",121.296695021445,1,252,15
"121","Lasso",214.779879134211,0.52,497,16
"122","Ada Lasso",219.460079427242,0.4,968,16
"123","Local prior",226.143545959052,0.3,2044,16
"124","Non local",226.143545959052,0.3,2044,16
"125","Ada mod",214.779879134211,0.52,497,16
"126","Lasso mod",217.774756354676,0.56,497,16
"127","Naive",236.018394795235,0.8,200,16
"128","Oracle",224.408699752205,1,252,16
"129","Lasso",86.8202165948724,0.48,593,17
"130","Ada Lasso",87.0644511488736,0.48,634,17
"131","Local prior",93.5406594740514,0.34,1415,17
"132","Non local",100.013852312559,0.28,2628,17
"133","Ada mod",87.4733732964412,0.48,657,17
"134","Lasso mod",87.9225838922023,0.48,613,17
"135","Naive",95.4783136162878,0.8,200,17
"136","Oracle",92.7921535900565,1,248,17
"137","Lasso",124.592313864061,0.6,391,18
"138","Ada Lasso",129.255809459139,0.34,681,18
"139","Local prior",142.928097439197,0.26,1672,18
"140","Non local",138.544154981452,0.28,2628,18
"141","Ada mod",130.247267327692,0.48,920,18
"142","Lasso mod",125.227746397904,0.58,575,18
"143","Naive",137.890999950818,0.8,200,18
"144","Oracle",129.554315527519,1,262,18
"145","Lasso",76.8339376525563,0.32,876,19
"146","Ada Lasso",76.6556379211434,0.28,1533,19
"147","Local prior",78.601720147102,0.26,3680,19
"148","Non local",81.8279368479913,0.24,4600,19
"149","Ada mod",76.6046655961229,0.3,1314,19
"150","Lasso mod",75.2238280609986,0.38,968,19
"151","Naive",76.5944420867539,0.8,200,19
"152","Oracle",73.5067151440116,1,255,19
"153","Lasso",130.306575936825,0.44,575,20
"154","Ada Lasso",132.400580633829,0.36,876,20
"155","Local prior",134.556667940944,0.26,1840,20
"156","Non local",134.556667940944,0.26,1840,20
"157","Ada mod",130.306575936825,0.44,575,20
"158","Lasso mod",129.244335793227,0.46,613,20
"159","Naive",136.483559494853,0.8,200,20
"160","Oracle",132.333527352922,1,248,20
"161","Lasso",102.383157834992,0.38,968,21
"162","Ada Lasso",106.655893320713,0.3,1840,21
"163","Local prior",109.461939006713,0.28,3066,21
"164","Non local",109.461939006713,0.28,3066,21
"165","Ada mod",100.182717569337,0.4,766,21
"166","Lasso mod",103.773637107456,0.36,968,21
"167","Naive",107.413436243255,0.8,200,21
"168","Oracle",104.736532998594,1,255,21
"169","Lasso",110.79622406996,0.56,525,22
"170","Ada Lasso",111.958261879986,0.48,681,22
"171","Local prior",111.349725850941,0.3,1840,22
"172","Non local",123.573143251412,0.28,2628,22
"173","Ada mod",110.79622406996,0.56,525,22
"174","Lasso mod",112.21195559919,0.68,497,22
"175","Naive",117.411058741535,0.8,200,22
"176","Oracle",111.921956228929,1,270,22
"177","Lasso",92.5279451079892,0.38,593,23
"178","Ada Lasso",93.8003104444395,0.38,1082,23
"179","Local prior",97.5959378509413,0.3,2628,23
"180","Non local",97.7211870549036,0.28,3066,23
"181","Ada mod",92.2979759582403,0.4,657,23
"182","Lasso mod",94.0646201382962,0.52,736,23
"183","Naive",98.7934475404503,0.8,200,23
"184","Oracle",93.9784225777065,1,259,23
"185","Lasso",49.9239208020906,0.34,681,24
"186","Ada Lasso",51.5338715765756,0.26,1840,24
"187","Local prior",51.745445454834,0.24,1533,24
"188","Non local",53.7058486883236,0.24,6133,24
"189","Ada mod",49.2136649654976,0.5,391,24
"190","Lasso mod",49.749336291003,0.7,301,24
"191","Naive",50.3171832281668,0.8,200,24
"192","Oracle",48.966159408583,1,259,24
"193","Lasso",143.241420551119,0.36,525,25
"194","Ada Lasso",150.198524973653,0.4,593,25
"195","Local prior",156.971216363305,0.3,1314,25
"196","Non local",169.043122808446,0.22,3066,25
