"","metodologia","mse","accuracy","n","seed"
"1","Lasso",226.092778503362,0.6,657,1
"2","Ada Lasso",226.577527811763,0.64,1314,1
"3","Local prior",230.917614612496,0.6,2300,1
"4","Non local",237.118282631849,0.6,6133,1
"5","Ada mod",225.285673215557,0.58,736,1
"6","Lasso mod",225.64591702636,0.58,557,1
"7","Naive",244.627590946657,0.4,200,1
"8","Oracle",223.115997956667,1,471,1
"9","Lasso",237.203523267043,0.58,1082,2
"10","Ada Lasso",236.856385763743,0.64,4600,2
"11","Local prior",236.856385763743,0.64,4600,2
"12","Non local",242.335940078193,0.58,9200,2
"13","Ada mod",236.411656669319,0.58,3066,2
"14","Lasso mod",236.148567929536,0.64,1672,2
"15","Naive",249.352813006712,0.4,200,2
"16","Oracle",240.244346784802,1,557,2
"17","Lasso",329.875995877265,0.54,1226,3
"18","Ada Lasso",337.898810390939,0.62,3680,3
"19","Local prior",338.414219701002,0.64,6133,3
"20","Non local",366.543323295574,0.6,Inf,3
"21","Ada mod",326.863543707667,0.6,1226,3
"22","Lasso mod",336.323708036337,0.6,4600,3
"23","Naive",331.230020074788,0.4,200,3
"24","Oracle",322.896764586285,1,525,3
"25","Lasso",250.151925280643,0.58,1533,4
"26","Ada Lasso",257.582871528188,0.6,Inf,4
"27","Local prior",252.458682504413,0.56,6133,4
"28","Non local",257.582871528188,0.6,Inf,4
"29","Ada mod",251.713623741529,0.62,2628,4
"30","Lasso mod",247.885576840448,0.6,2300,4
"31","Naive",272.974037272373,0.4,200,4
"32","Oracle",248.687752936245,1,471,4
"33","Lasso",92.1401278286179,0.6,3680,5
"34","Ada Lasso",91.8209324080624,0.62,6133,5
"35","Local prior",91.8209324080624,0.62,6133,5
"36","Non local",91.8209324080624,0.62,6133,5
"37","Ada mod",92.1401278286179,0.6,3680,5
"38","Lasso mod",93.4158404212096,0.5,383,5
"39","Naive",99.7533280607555,0.4,200,5
"40","Oracle",85.5344582597048,1,511,5
"41","Lasso",256.895951412532,0.58,1022,6
"42","Ada Lasso",256.763862120409,0.62,6133,6
"43","Local prior",256.763862120409,0.62,6133,6
"44","Non local",256.763862120409,0.62,6133,6
"45","Ada mod",259.823410036903,0.58,2628,6
"46","Lasso mod",252.748881833163,0.64,2044,6
"47","Naive",281.503897774149,0.4,200,6
"48","Oracle",250.283767182007,1,541,6
"49","Lasso",212.147016643028,0.66,634,7
"50","Ada Lasso",208.573609621163,0.7,2044,7
"51","Local prior",222.753003781505,0.64,6133,7
"52","Non local",222.753003781505,0.64,6133,7
"53","Ada mod",220.1805484669,0.58,2300,7
"54","Lasso mod",210.229931160818,0.68,800,7
"55","Naive",238.673501835771,0.4,200,7
"56","Oracle",209.339715799422,1,525,7
"57","Lasso",253.757577855254,0.58,800,8
"58","Ada Lasso",258.268228334756,0.6,2628,8
"59","Local prior",263.023190000899,0.62,3066,8
"60","Non local",262.867382717224,0.6,4600,8
"61","Ada mod",256.253583793773,0.64,2300,8
"62","Lasso mod",249.321413363535,0.68,968,8
"63","Naive",263.666511867108,0.4,200,8
"64","Oracle",248.236541768525,1,575,8
"65","Lasso",188.055246669715,0.54,800,9
"66","Ada Lasso",188.319539448708,0.58,1082,9
"67","Local prior",198.66204236339,0.58,2628,9
"68","Non local",196.96615472355,0.6,3680,9
"69","Ada mod",188.44130037853,0.56,736,9
"70","Lasso mod",186.979844970861,0.48,593,9
"71","Naive",208.756988496763,0.4,200,9
"72","Oracle",183.389954773487,1,448,9
"73","Lasso",214.854872549519,0.64,1840,10
"74","Ada Lasso",217.333302955553,0.6,2628,10
"75","Local prior",218.522778244027,0.62,3066,10
"76","Non local",223.764354274141,0.58,9200,10
"77","Ada mod",215.85887234017,0.62,2044,10
"78","Lasso mod",211.319002286517,0.62,1226,10
"79","Naive",236.573167713849,0.4,200,10
"80","Oracle",213.544059166755,1,511,10
"81","Lasso",220.289432676159,0.6,Inf,11
"82","Ada Lasso",220.289432676159,0.6,Inf,11
"83","Local prior",220.289432676159,0.6,Inf,11
"84","Non local",220.289432676159,0.6,Inf,11
"85","Ada mod",220.289432676159,0.6,Inf,11
"86","Lasso mod",220.289432676159,0.6,Inf,11
"87","Naive",225.506551189144,0.4,200,11
"88","Oracle",199.990620899171,1,497,11
"89","Lasso",277.145617226288,0.56,766,12
"90","Ada Lasso",275.902516126199,0.64,1226,12
"91","Local prior",276.587546399629,0.66,1415,12
"92","Non local",285.876215405875,0.6,Inf,12
"93","Ada mod",278.802577952756,0.58,1533,12
"94","Lasso mod",282.75548512622,0.62,471,12
"95","Naive",310.53701008082,0.4,200,12
"96","Oracle",270.959539914245,1,497,12
"97","Lasso",156.071571547379,0.68,800,13
"98","Ada Lasso",155.136317607808,0.6,1672,13
"99","Local prior",155.937968116279,0.64,1672,13
"100","Non local",162.978231935399,0.6,Inf,13
"101","Ada mod",162.484649818499,0.62,18400,13
"102","Lasso mod",154.16810592782,0.64,1314,13
"103","Naive",170.521658719286,0.4,200,13
"104","Oracle",157.570266685598,1,497,13
"105","Lasso",227.225576394291,0.64,1415,14
"106","Ada Lasso",242.361767715803,0.6,Inf,14
"107","Local prior",239.920156935391,0.62,9200,14
"108","Non local",242.361767715803,0.6,Inf,14
"109","Ada mod",242.361767715803,0.6,Inf,14
"110","Lasso mod",225.629010354515,0.7,3680,14
"111","Naive",247.737640791494,0.4,200,14
"112","Oracle",228.87066720604,1,541,14
"113","Lasso",307.653815602245,0.66,836,15
"114","Ada Lasso",307.19518226156,0.64,1150,15
"115","Local prior",322.127535709951,0.62,2628,15
"116","Non local",328.630104099385,0.58,6133,15
"117","Ada mod",316.728027375555,0.66,4600,15
"118","Lasso mod",322.44721491583,0.64,4600,15
"119","Naive",345.572554585687,0.4,200,15
"120","Oracle",307.597031276561,1,541,15
"121","Lasso",141.892814336358,0.6,2044,16
"122","Ada Lasso",140.485396512937,0.62,1314,16
"123","Local prior",142.544803448429,0.64,6133,16
"124","Non local",146.709530619784,0.62,18400,16
"125","Ada mod",142.262568514819,0.6,2044,16
"126","Lasso mod",140.867065204472,0.62,2044,16
"127","Naive",148.359046048344,0.4,200,16
"128","Oracle",137.894161769462,1,525,16
"129","Lasso",332.032806087239,0.56,557,17
"130","Ada Lasso",345.047477915207,0.56,1533,17
"131","Local prior",356.667861330658,0.54,3680,17
"132","Non local",359.420090119425,0.6,Inf,17
"133","Ada mod",348.568958356965,0.64,9200,17
"134","Lasso mod",341.711277623701,0.6,1314,17
"135","Naive",373.24710725407,0.4,200,17
"136","Oracle",337.795862450471,1,484,17
"137","Lasso",232.786944635901,0.64,1415,18
"138","Ada Lasso",247.313822388113,0.62,6133,18
"139","Local prior",240.032890691435,0.64,4600,18
"140","Non local",252.011469199546,0.6,Inf,18
"141","Ada mod",252.011469199546,0.6,Inf,18
"142","Lasso mod",252.011469199546,0.6,Inf,18
"143","Naive",262.085069826603,0.4,200,18
"144","Oracle",234.415762813287,1,593,18
"145","Lasso",185.913161276191,0.64,3066,19
"146","Ada Lasso",190.973254478387,0.62,9200,19
"147","Local prior",191.484742578141,0.6,4600,19
"148","Non local",190.973254478387,0.62,9200,19
"149","Ada mod",188.053222560513,0.62,9200,19
"150","Lasso mod",186.826026200139,0.58,1672,19
"151","Naive",202.380363816286,0.4,200,19
"152","Oracle",185.213892869049,1,497,19
"153","Lasso",252.476061218793,0.66,1022,20
"154","Ada Lasso",254.934605140646,0.62,3066,20
"155","Local prior",254.934605140646,0.62,3066,20
"156","Non local",254.785429456917,0.64,4600,20
"157","Ada mod",266.978114454343,0.58,9200,20
"158","Lasso mod",251.019922704084,0.62,1415,20
"159","Naive",280.435234799747,0.4,200,20
"160","Oracle",248.72183312303,1,471,20
"161","Lasso",134.747202094321,0.62,657,21
"162","Ada Lasso",134.982099694216,0.68,1022,21
"163","Local prior",136.160644894171,0.6,2044,21
"164","Non local",137.027094832209,0.6,4600,21
"165","Ada mod",134.285893891366,0.6,736,21
"166","Lasso mod",133.329857241277,0.64,1314,21
"167","Naive",150.413679531912,0.4,200,21
"168","Oracle",133.26478519475,1,511,21
"169","Lasso",276.479011154636,0.6,Inf,22
"170","Ada Lasso",276.479011154636,0.6,Inf,22
"171","Local prior",276.479011154636,0.6,Inf,22
"172","Non local",276.479011154636,0.6,Inf,22
"173","Ada mod",276.479011154636,0.6,Inf,22
"174","Lasso mod",269.587646411224,0.64,9200,22
"175","Naive",276.797773695411,0.4,200,22
"176","Oracle",252.944779762218,1,575,22
"177","Lasso",198.950737109344,0.5,511,23
"178","Ada Lasso",204.831739656832,0.54,2628,23
"179","Local prior",207.461980383259,0.56,9200,23
"180","Non local",207.548472505697,0.6,Inf,23
"181","Ada mod",207.548472505697,0.6,Inf,23
"182","Lasso mod",201.819584628276,0.54,1672,23
"183","Naive",226.523546600468,0.4,200,23
"184","Oracle",193.620182412627,1,484,23
"185","Lasso",179.724445834309,0.56,2628,24
"186","Ada Lasso",189.561687175429,0.6,Inf,24
"187","Local prior",186.553173212186,0.58,9200,24
"188","Non local",189.561687175429,0.6,Inf,24
"189","Ada mod",178.688957311378,0.62,6133,24
"190","Lasso mod",179.472540184379,0.6,9200,24
"191","Naive",193.164361618796,0.4,200,24
"192","Oracle",178.508653548906,1,511,24
"193","Lasso",472.330771248393,0.6,1672,25
"194","Ada Lasso",479.956204940483,0.64,6133,25
"195","Local prior",479.96236168226,0.66,4600,25
"196","Non local",479.96236168226,0.66,4600,25
"197","Ada mod",480.451450119593,0.56,3066,25
"198","Lasso mod",470.65441904214,0.56,657,25
"199","Naive",515.617777287538,0.4,200,25
"200","Oracle",464.591574115681,1,497,25
"201","Lasso",87.6068351247975,0.64,1082,26
"202","Ada Lasso",94.4636097491726,0.6,Inf,26
"203","Local prior",90.8507583213007,0.62,6133,26
"204","Non local",94.4636097491726,0.6,Inf,26
"205","Ada mod",91.1216659566678,0.62,4600,26
"206","Lasso mod",89.0723618959271,0.58,6133,26
"207","Naive",90.4651522434396,0.4,200,26
"208","Oracle",85.2743592031212,1,438,26
"209","Lasso",193.402525251096,0.64,657,27
"210","Ada Lasso",195.492869770586,0.66,1314,27
"211","Local prior",198.195248402613,0.62,1672,27
"212","Non local",203.641055509376,0.62,9200,27
"213","Ada mod",201.976029140014,0.7,1150,27
"214","Lasso mod",195.600446823263,0.66,634,27
"215","Naive",217.288388423647,0.4,200,27
"216","Oracle",194.441163372037,1,557,27
"217","Lasso",254.867992585542,0.58,9200,28
"218","Ada Lasso",254.867992585542,0.58,9200,28
"219","Local prior",254.867992585542,0.58,9200,28
"220","Non local",257.781835073459,0.6,Inf,28
"221","Ada mod",257.781835073459,0.6,Inf,28
"222","Lasso mod",257.781835073459,0.6,Inf,28
"223","Naive",275.506570347571,0.4,200,28
"224","Oracle",242.691569311716,1,484,28
"225","Lasso",152.344594145349,0.64,1150,29
"226","Ada Lasso",151.756568566492,0.68,2628,29
"227","Local prior",151.544627210063,0.64,3680,29
"228","Non local",156.976428395748,0.62,18400,29
"229","Ada mod",153.427891556884,0.62,1314,29
"230","Lasso mod",152.530012206635,0.64,1314,29
"231","Naive",164.491865726227,0.4,200,29
"232","Oracle",148.326596187021,1,557,29
"233","Lasso",219.801335958678,0.64,1022,30
"234","Ada Lasso",232.823188208044,0.58,18400,30
"235","Local prior",232.823188208044,0.58,18400,30
"236","Non local",237.408175854953,0.6,Inf,30
"237","Ada mod",218.270137040755,0.64,1150,30
"238","Lasso mod",222.781859777928,0.66,2628,30
"239","Naive",239.524939752587,0.4,200,30
"240","Oracle",216.192086955017,1,557,30
"241","Lasso",115.03654508076,0.6,Inf,31
"242","Ada Lasso",114.876266868717,0.62,9200,31
"243","Local prior",114.876266868717,0.62,9200,31
"244","Non local",115.03654508076,0.6,Inf,31
"245","Ada mod",114.876266868717,0.62,9200,31
"246","Lasso mod",115.03654508076,0.6,Inf,31
"247","Naive",119.442663457874,0.4,200,31
"248","Oracle",108.553993923578,1,511,31
"249","Lasso",147.018344345608,0.52,766,32
"250","Ada Lasso",145.095599092314,0.6,1533,32
"251","Local prior",148.216396439101,0.6,4600,32
"252","Non local",148.216396439101,0.6,4600,32
"253","Ada mod",148.116370129162,0.56,1314,32
"254","Lasso mod",145.565286743232,0.52,1533,32
"255","Naive",158.858183782766,0.4,200,32
"256","Oracle",143.924508465039,1,511,32
"257","Lasso",205.241690215335,0.6,2300,33
"258","Ada Lasso",208.809186441721,0.58,9200,33
"259","Local prior",208.809186441721,0.58,9200,33
"260","Non local",213.970120731618,0.6,Inf,33
"261","Ada mod",207.344235450393,0.6,4600,33
"262","Lasso mod",208.899535730625,0.62,18400,33
"263","Naive",223.23144819167,0.4,200,33
"264","Oracle",199.418554909881,1,484,33
"265","Lasso",230.733169237021,0.6,Inf,34
"266","Ada Lasso",230.733169237021,0.6,Inf,34
"267","Local prior",222.342307883289,0.64,6133,34
"268","Non local",230.733169237021,0.6,Inf,34
"269","Ada mod",230.733169237021,0.6,Inf,34
"270","Lasso mod",213.713518929378,0.62,1415,34
"271","Naive",229.119718055126,0.4,200,34
"272","Oracle",209.689679978467,1,511,34
"273","Lasso",133.521139803146,0.58,9200,35
"274","Ada Lasso",130.919526999436,0.64,9200,35
"275","Local prior",130.752552408893,0.6,2300,35
"276","Non local",135.645916331004,0.6,Inf,35
"277","Ada mod",132.618132713029,0.62,2300,35
"278","Lasso mod",127.947285715817,0.62,2300,35
"279","Naive",138.644581239271,0.4,200,35
"280","Oracle",126.400047619967,1,511,35
"281","Lasso",294.238734993151,0.68,3680,36
"282","Ada Lasso",294.496456789277,0.66,4600,36
"283","Local prior",302.214098386945,0.64,6133,36
"284","Non local",320.853458106849,0.6,Inf,36
"285","Ada mod",312.345611794106,0.62,18400,36
"286","Lasso mod",300.227403549097,0.66,6133,36
"287","Naive",321.203468781902,0.4,200,36
"288","Oracle",297.171053254059,1,557,36
"289","Lasso",57.6884082094864,0.64,557,37
"290","Ada Lasso",57.575470318803,0.72,836,37
"291","Local prior",58.9154241123346,0.7,1840,37
"292","Non local",59.5085238261783,0.62,18400,37
"293","Ada mod",57.0287263913065,0.64,681,37
"294","Lasso mod",57.1726662330093,0.68,836,37
"295","Naive",60.1552861792287,0.4,200,37
"296","Oracle",57.3680067709212,1,525,37
"297","Lasso",221.522461666086,0.66,2628,38
"298","Ada Lasso",228.779261325304,0.6,Inf,38
"299","Local prior",226.675563940408,0.62,6133,38
"300","Non local",228.779261325304,0.6,Inf,38
"301","Ada mod",228.779261325304,0.6,Inf,38
"302","Lasso mod",224.496128354633,0.62,3680,38
"303","Naive",250.637534592685,0.4,200,38
"304","Oracle",227.663397940542,1,497,38
"305","Lasso",282.300488242386,0.66,736,39
