"","metodologia","mse","accuracy","n","seed"
"116","Non local",513.951892809043,0.2,Inf,15
"117","Ada mod",493.865918836696,0.2,6133,15
"118","Lasso mod",491.250986759029,0.24,9200,15
"119","Naive",506.463275276505,0.8,200,15
"120","Oracle",502.237305725018,1,252,15
"121","Lasso",875.736151190686,0.42,681,16
"122","Ada Lasso",865.06711683657,0.3,1314,16
"123","Local prior",865.203058217063,0.28,2300,16
"124","Non local",865.203058217063,0.28,2300,16
"125","Ada mod",885.843628820096,0.32,968,16
"126","Lasso mod",871.675533128924,0.44,681,16
"127","Naive",1011.86810825176,0.8,200,16
"128","Oracle",986.023352424158,1,252,16
"129","Lasso",295.920031783035,0.48,657,17
"130","Ada Lasso",295.920031783035,0.48,657,17
"131","Local prior",321.574447091196,0.26,3066,17
"132","Non local",323.899106690112,0.22,18400,17
"133","Ada mod",308.494839437019,0.38,1533,17
"134","Lasso mod",316.468059993579,0.34,2628,17
"135","Naive",317.566993990917,0.8,200,17
"136","Oracle",308.722103183527,1,248,17
"137","Lasso",489.096096987518,0.34,1226,18
"138","Ada Lasso",499.097451440551,0.28,1840,18
"139","Local prior",518.615440176504,0.24,2044,18
"140","Non local",506.014793072054,0.22,9200,18
"141","Ada mod",496.195406166995,0.3,1533,18
"142","Lasso mod",501.418259091156,0.3,2628,18
"143","Naive",532.985490900555,0.8,200,18
"144","Oracle",505.294323759614,1,262,18
"145","Lasso",296.897951513894,0.26,1840,19
"146","Ada Lasso",308.226621393177,0.2,3680,19
"147","Local prior",308.773152687756,0.22,9200,19
"148","Non local",317.207559543625,0.2,Inf,19
"149","Ada mod",317.207559543625,0.2,Inf,19
"150","Lasso mod",297.255491032565,0.3,2628,19
"151","Naive",339.253688648585,0.8,200,19
"152","Oracle",311.880717388967,1,255,19
"153","Lasso",508.756952839755,0.36,876,20
"154","Ada Lasso",508.756952839755,0.36,876,20
"155","Local prior",520.527769301708,0.24,2300,20
"156","Non local",523.503521394091,0.24,6133,20
"157","Ada mod",505.361804232458,0.34,1314,20
"158","Lasso mod",509.731594149882,0.3,1415,20
"159","Naive",563.993733887319,0.8,200,20
"160","Oracle",538.654165203477,1,248,20
"161","Lasso",421.945514422868,0.28,2300,21
"162","Ada Lasso",444.17892971689,0.2,Inf,21
"163","Local prior",444.17892971689,0.2,Inf,21
"164","Non local",444.17892971689,0.2,Inf,21
"165","Ada mod",444.17892971689,0.2,Inf,21
"166","Lasso mod",444.17892971689,0.2,Inf,21
"167","Naive",462.641080538559,0.8,200,21
"168","Oracle",448.13733914626,1,255,21
"169","Lasso",483.903036545133,0.2,Inf,22
"170","Ada Lasso",483.903036545133,0.2,Inf,22
"171","Local prior",480.476547986946,0.24,6133,22
"172","Non local",483.903036545133,0.2,Inf,22
"173","Ada mod",483.903036545133,0.2,Inf,22
"174","Lasso mod",483.903036545133,0.2,Inf,22
"175","Naive",482.96579222612,0.8,200,22
"176","Oracle",470.692883034198,1,270,22
"177","Lasso",345.677223717757,0.2,3680,23
"178","Ada Lasso",337.41644513998,0.34,968,23
"179","Local prior",342.190603102673,0.24,2628,23
"180","Non local",361.388667424947,0.2,Inf,23
"181","Ada mod",345.677223717757,0.2,3680,23
"182","Lasso mod",346.833469930078,0.46,557,23
"183","Naive",396.533458535398,0.8,200,23
"184","Oracle",359.590557539313,1,259,23
"185","Lasso",213.280872300075,0.3,1314,24
"186","Ada Lasso",229.033571844069,0.22,9200,24
"187","Local prior",228.154571484259,0.26,3066,24
"188","Non local",233.844903668243,0.2,Inf,24
"189","Ada mod",220.773062749252,0.24,6133,24
"190","Lasso mod",221.961443245472,0.2,9200,24
"191","Naive",236.8280680432,0.8,200,24
"192","Oracle",227.262541451688,1,259,24
"193","Lasso",600.578987008214,0.3,681,25
"194","Ada Lasso",598.112874645892,0.28,1314,25
"195","Local prior",622.66888065222,0.26,3066,25
"196","Non local",635.351476480266,0.2,Inf,25
"197","Ada mod",583.239488148196,0.26,1672,25
"198","Lasso mod",588.104031102029,0.3,1150,25
"199","Naive",641.595373126905,0.8,200,25
"200","Oracle",607.670346650023,1,248,25
"201","Lasso",346.975923346415,0.32,657,26
"202","Ada Lasso",343.662417924023,0.16,1533,26
"203","Local prior",344.235716674181,0.18,1840,26
"204","Non local",357.546581052192,0.2,6133,26
"205","Ada mod",346.975923346415,0.32,657,26
"206","Lasso mod",348.732961816513,0.36,634,26
"207","Naive",388.268598884568,0.8,200,26
"208","Oracle",375.190547031409,1,242,26
"209","Lasso",199.787201380029,0.28,3066,27
"210","Ada Lasso",200.731817026634,0.22,18400,27
"211","Local prior",200.731817026634,0.22,18400,27
"212","Non local",200.731817026634,0.22,18400,27
"213","Ada mod",199.829584173037,0.26,6133,27
"214","Lasso mod",199.829584173037,0.26,6133,27
"215","Naive",215.454301390026,0.8,200,27
"216","Oracle",210.176293126774,1,255,27
"217","Lasso",558.249839557643,0.3,1082,28
"218","Ada Lasso",584.952671594043,0.24,2628,28
"219","Local prior",590.945723730829,0.2,4600,28
"220","Non local",605.405710282216,0.2,Inf,28
"221","Ada mod",560.443410940176,0.3,2300,28
"222","Lasso mod",578.376973300747,0.24,3680,28
"223","Naive",575.819967865518,0.8,200,28
"224","Oracle",555.972792753511,1,252,28
"225","Lasso",491.126899611528,0.4,920,29
"226","Ada Lasso",492.541645579806,0.28,3066,29
"227","Local prior",497.177358229014,0.26,4600,29
"228","Non local",511.603495995581,0.2,Inf,29
"229","Ada mod",490.522694850801,0.3,1840,29
"230","Lasso mod",493.161212500056,0.38,1533,29
"231","Naive",567.608254985189,0.8,200,29
"232","Oracle",530.664444267997,1,259,29
"233","Lasso",599.909475071645,0.26,3066,30
"234","Ada Lasso",600.385493538316,0.22,9200,30
"235","Local prior",600.322128629581,0.26,4600,30
"236","Non local",600.385493538316,0.22,9200,30
"237","Ada mod",615.804353447791,0.24,4600,30
"238","Lasso mod",596.092122815789,0.36,1415,30
"239","Naive",619.376014229656,0.8,200,30
"240","Oracle",611.479004962625,1,252,30
"241","Lasso",329.26411750084,0.5,557,31
"242","Ada Lasso",329.116759493295,0.32,1840,31
"243","Local prior",329.608981000618,0.28,2628,31
"244","Non local",342.1818585201,0.2,Inf,31
"245","Ada mod",330.2509058671,0.3,2628,31
"246","Lasso mod",327.002757782375,0.34,2300,31
"247","Naive",361.643546891748,0.8,200,31
"248","Oracle",339.417762107979,1,252,31
"249","Lasso",342.216346563142,0.24,6133,32
"250","Ada Lasso",342.216346563142,0.24,6133,32
"251","Local prior",342.216346563142,0.24,6133,32
"252","Non local",342.1189967103,0.22,9200,32
"253","Ada mod",342.216346563142,0.24,6133,32
"254","Lasso mod",342.216346563142,0.24,6133,32
"255","Naive",367.717316247991,0.8,200,32
"256","Oracle",347.454527845254,1,248,32
"257","Lasso",554.33670759954,0.36,1415,33
"258","Ada Lasso",603.181650497635,0.2,Inf,33
"259","Local prior",573.0021662671,0.24,6133,33
"260","Non local",603.181650497635,0.2,Inf,33
"261","Ada mod",603.181650497635,0.2,Inf,33
"262","Lasso mod",603.181650497635,0.2,Inf,33
"263","Naive",595.897592492015,0.8,200,33
"264","Oracle",565.356390725845,1,255,33
"265","Lasso",452.746168391573,0.52,438,34
"266","Ada Lasso",471.614423909612,0.24,6133,34
"267","Local prior",470.909646513524,0.28,2628,34
"268","Non local",471.614423909612,0.24,6133,34
"269","Ada mod",452.303460037874,0.4,968,34
"270","Lasso mod",459.49156182519,0.32,1533,34
"271","Naive",500.08561756553,0.8,200,34
"272","Oracle",466.21912957999,1,248,34
"273","Lasso",208.10372390382,0.26,2628,35
"274","Ada Lasso",209.558319694336,0.24,3680,35
"275","Local prior",215.714760121081,0.22,9200,35
"276","Non local",221.772985891464,0.2,Inf,35
"277","Ada mod",209.330080315589,0.34,1082,35
"278","Lasso mod",221.772985891464,0.2,Inf,35
"279","Naive",239.771247601395,0.8,200,35
"280","Oracle",230.319965854852,1,242,35
"281","Lasso",202.61276788036,0.22,18400,36
"282","Ada Lasso",200.848713698571,0.26,3066,36
"283","Local prior",201.557819304807,0.2,3066,36
"284","Non local",204.100774057817,0.2,Inf,36
"285","Ada mod",204.100774057817,0.2,Inf,36
"286","Lasso mod",202.579388911022,0.2,9200,36
"287","Naive",214.712607896684,0.8,200,36
"288","Oracle",206.496912438275,1,255,36
"289","Lasso",189.772530431703,0.28,1840,37
"290","Ada Lasso",196.506819725698,0.2,Inf,37
"291","Local prior",194.084298959016,0.22,18400,37
"292","Non local",196.506819725698,0.2,Inf,37
"293","Ada mod",196.506819725698,0.2,Inf,37
"294","Lasso mod",190.853882935284,0.24,9200,37
"295","Naive",192.981731314007,0.8,200,37
"296","Oracle",192.810847696918,1,255,37
"297","Lasso",489.499124755029,0.42,736,38
"298","Ada Lasso",498.507208693598,0.28,1672,38
"299","Local prior",501.92600464245,0.28,3066,38
"300","Non local",528.451690360876,0.22,18400,38
"301","Ada mod",496.414150177635,0.42,920,38
"302","Lasso mod",489.812130053085,0.46,575,38
"303","Naive",528.886440230004,0.8,200,38
"304","Oracle",519.309842928417,1,248,38
"305","Lasso",755.761293403894,0.28,1415,39
"306","Ada Lasso",758.850966572346,0.22,9200,39
"307","Local prior",779.359150168969,0.2,Inf,39
"308","Non local",779.359150168969,0.2,Inf,39
"309","Ada mod",773.896501353237,0.22,3680,39
"310","Lasso mod",779.359150168969,0.2,Inf,39
"311","Naive",794.463277273596,0.8,200,39
"312","Oracle",744.944537119198,1,259,39
"313","Lasso",275.827485480463,0.44,920,40
"314","Ada Lasso",276.025395020399,0.3,2044,40
"315","Local prior",276.774741802619,0.26,3680,40
"316","Non local",289.313303155639,0.2,Inf,40
"317","Ada mod",276.572184989157,0.4,800,40
"318","Lasso mod",276.091221254501,0.36,1022,40
"319","Naive",303.099953505771,0.8,200,40
"320","Oracle",285.938681309814,1,245,40
